time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.001622,-0.1322,0.0107,0.1887,0.231
0.001993,-0.0901,-0.0119,0.1262,0.156
0.004779,0.0333,0.0820,0.0482,0.101
0.011752,0.0570,0.0520,-0.0360,0.085
0.014257,0.0838,0.0560,-0.2093,0.232
0.019031,0.1345,0.0372,-0.4048,0.428
0.023704,0.1093,-0.0088,-0.5917,0.602
0.028781,0.1084,-0.0504,-0.7915,0.800
0.033496,0.1531,-0.0256,-1.0303,1.042
0.037917,0.0476,-0.0296,-1.3263,1.327
0.042751,-0.3431,-0.0551,-1.6949,1.730
0.047470,-0.1481,0.1630,-1.4458,1.462
0.052297,0.1461,0.4156,-1.2063,1.284
0.057112,0.3569,0.6024,-1.0885,1.294
0.061652,0.5553,0.8113,-0.8544,1.303
0.066480,0.6449,0.9616,-0.8153,1.416
0.071746,0.7174,1.0798,-0.8605,1.556
0.076032,0.7268,1.0518,-1.1379,1.711
0.080786,0.7581,0.9862,-1.3308,1.822
0.085487,0.6918,0.8352,-1.3037,1.696
0.091591,0.5277,0.6989,-1.1596,1.453
0.095106,0.3870,0.6200,-0.9778,1.221
0.099769,0.2994,0.6341,-0.7113,0.999
0.104427,0.1795,0.5887,-0.7611,0.979
0.109321,0.0199,0.5157,-1.0520,1.172
0.114047,-0.1449,0.4208,-1.3803,1.450
0.119053,0.0818,0.1752,-0.9590,0.978
0.123461,0.2804,0.1890,0.0657,0.344
0.128417,0.2869,0.4415,0.7453,0.913
0.133195,0.0583,0.5240,0.2900,0.602
0.137759,-0.0076,0.4245,0.0708,0.430
0.142611,0.1169,0.2502,0.4407,0.520
0.152322,0.1267,0.0985,0.5728,0.595
0.153751,0.2259,-0.0044,0.5089,0.557
0.156565,0.4640,-0.0539,0.3733,0.598
0.161411,0.6796,-0.1524,-0.0255,0.697
0.166136,0.6977,-0.1755,0.2451,0.760
0.171493,0.5402,-0.2662,0.0757,0.607
0.175545,0.3464,-0.3951,-0.0434,0.527
0.180619,0.1741,-0.4477,-0.1956,0.519
0.185406,-0.0689,-0.4984,-0.4925,0.704
0.191265,-0.2080,-0.5859,-0.6565,0.904
0.194673,-0.4871,-0.6343,-0.9849,1.269
0.199678,-0.5864,-0.4440,-1.0414,1.275
0.203991,-0.4873,0.1101,-0.9027,1.032
0.208895,-0.7944,0.7278,-0.8837,1.393
0.213862,-1.4688,1.5157,-0.8215,2.265
0.218251,-2.0315,1.8722,-1.8045,3.300
0.223320,-2.1285,1.7318,-2.1670,3.497
0.227897,-1.9877,1.3471,-2.4563,3.435
0.232855,-2.0877,0.8049,-2.8437,3.618
0.237163,-1.8409,0.4258,-3.5447,4.017
0.242248,-1.5049,0.0666,-3.8515,4.136
0.251013,-0.5746,-0.2686,-4.0508,4.100
0.251483,0.3255,-0.2766,-4.4021,4.423
0.256142,0.9597,-0.3388,-4.4542,4.569
0.260845,1.1413,-0.4653,-4.6737,4.833
0.266196,0.8708,-0.9100,-5.1339,5.286
0.272338,0.7229,-0.9455,-5.7577,5.879
0.275400,0.4884,-0.9520,-6.3573,6.447
0.279840,0.0589,-0.8607,-6.8781,6.932
0.284624,-0.5159,-0.6436,-7.1582,7.206
0.289423,-0.8015,-0.4021,-7.2500,7.305
0.294296,-1.2254,-0.4354,-7.2605,7.376
0.298781,-1.7170,-0.7982,-7.2556,7.499
0.303612,-1.8125,-1.1660,-7.0002,7.324
0.308190,-1.9650,-1.5764,-6.6983,7.156
0.313397,-2.2260,-2.2719,-6.4040,7.150
0.317825,-2.5508,-2.7622,-6.0854,7.153
0.322563,-2.8667,-2.6765,-5.7043,6.923
0.327374,-2.3336,-2.3821,-5.4592,6.397
0.332169,-1.1667,-2.1446,-3.9918,4.679
0.336735,-0.2598,-1.2651,-1.5807,2.041
0.341446,-0.0027,0.1126,-0.1047,0.154
0.346452,-0.2942,1.0748,1.0649,1.541
0.352076,-0.4945,1.3001,1.7622,2.245
0.357043,-0.3921,1.0057,2.0313,2.300
0.364189,-0.5260,0.4388,1.9627,2.079
0.365253,-0.9994,-0.0534,1.6708,1.948
0.371543,-1.2022,-0.2535,1.5629,1.988
0.374966,-1.2758,-0.3020,1.7200,2.163
0.379606,-1.2792,-0.2797,1.8437,2.261
0.384071,-1.0885,-0.1265,1.8334,2.136
0.388946,-0.5882,0.1872,1.5585,1.676
0.395866,0.0040,0.3708,1.0857,1.147
0.398800,0.8456,0.5744,0.5339,1.153
0.403227,1.6109,0.5538,-0.0644,1.705
0.407867,2.0031,0.1800,-0.7393,2.143
0.412833,2.1292,-0.2990,-1.4615,2.600
0.417460,1.7963,-1.0537,-2.0639,2.932
0.422181,1.1866,-1.8443,-2.6687,3.454
0.426992,0.5127,-2.5678,-3.1284,4.080
0.432244,0.0634,-3.0571,-3.4503,4.610
0.436517,-0.3360,-3.2818,-3.7206,4.973
0.442268,-0.7043,-3.2522,-3.9316,5.151
0.446112,-1.0045,-3.0069,-4.0246,5.123
0.451311,-1.2210,-2.6853,-4.0578,5.017
0.455193,-1.3283,-2.3788,-4.0890,4.914
0.460021,-1.3639,-2.1578,-4.1181,4.845
0.465072,-0.7413,-1.5604,-5.0661,5.353
0.471332,-0.2233,-1.3116,-4.8547,5.034
0.474790,1.0144,-1.5579,-3.8097,4.239
0.479177,2.0640,-1.6145,-3.1668,4.110
0.483749,2.4689,-1.8093,-2.9259,4.234
0.488494,2.4059,-2.3109,-2.8207,4.369
0.493256,2.4714,-3.4101,-2.4919,4.893
0.497945,3.1556,-5.0046,-2.2684,6.336
0.502785,2.9696,-5.0658,-2.6358,6.437
0.507427,2.6986,-4.9465,-3.2399,6.500
0.512276,2.0830,-4.8056,-3.3758,6.231
0.517086,1.1800,-4.4803,-3.3199,5.700
0.521786,0.5667,-4.3215,-3.1063,5.352
0.526589,0.0417,-4.2685,-2.7325,5.068
0.531873,-0.5386,-4.1408,-2.2831,4.759
0.536250,-0.9078,-3.9684,-2.1298,4.594
0.541140,-0.9444,-3.8658,-2.2457,4.569
0.550781,-0.6985,-3.8873,-2.5027,4.676
0.552461,-0.3085,-3.9578,-2.7701,4.841
0.555459,0.0756,-4.1409,-3.0297,5.131
0.560127,0.4110,-4.3373,-3.0992,5.347
0.566894,0.6570,-4.5227,-3.0056,5.470
0.569426,0.7650,-4.6825,-2.6833,5.451
0.574030,0.7777,-4.7783,-2.3108,5.364
0.578720,0.7760,-4.9388,-1.8938,5.346
0.583417,0.7739,-5.1202,-1.5598,5.408
0.588402,0.7521,-5.3052,-1.2493,5.502
0.593130,0.6290,-5.5147,-0.9751,5.635
0.598011,0.4760,-5.6624,-0.7548,5.732
0.603227,0.1853,-5.7718,-0.5090,5.797
0.607747,-0.1959,-5.8692,-0.1925,5.876
0.612488,-0.6274,-6.1942,0.5370,6.249
0.617387,-1.1978,-6.5516,1.3956,6.805
0.621542,-2.1880,-6.5784,1.7931,7.161
0.626601,-3.1458,-6.5909,1.8029,7.522
0.632263,-3.8589,-6.5338,1.7249,7.782
0.635901,-4.6154,-6.3287,2.0995,8.109
0.640631,-5.5709,-6.0388,2.7431,8.662
0.653094,-6.5866,-5.7701,3.2835,9.352
0.654394,-7.3635,-5.4514,3.6397,9.858
0.655338,-7.9659,-5.1736,3.9296,10.279
0.659573,-8.4292,-4.8573,4.0819,10.550
0.667539,-8.6790,-4.5181,4.1100,10.613
0.668888,-8.6766,-4.1519,4.0608,10.441
0.673701,-8.4433,-3.7971,3.9567,10.068
0.679506,-8.0507,-3.4365,3.8060,9.545
0.683017,-7.5608,-3.0888,3.6379,8.941
0.687520,-7.0212,-2.8010,3.3177,8.255
0.692579,-6.4175,-2.5787,2.9737,7.528
0.699038,-5.8815,-2.3774,2.7169,6.901
0.702066,-5.3891,-2.1482,2.5530,6.338
0.707143,-4.9572,-1.9978,2.4037,5.860
