time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.001099,-1.0704,-0.2326,0.3677,1.155
0.005089,-0.9531,-0.1889,0.2776,1.011
0.007829,-0.8059,-0.1573,0.2116,0.848
0.014023,-0.6453,-0.1378,0.1627,0.680
0.017115,-0.4900,-0.1349,0.1166,0.521
0.022835,-0.3516,-0.1342,0.0733,0.383
0.027603,-0.2346,-0.1407,0.0308,0.275
0.032506,-0.1389,-0.1423,-0.0111,0.199
0.036362,-0.0689,-0.1391,-0.0618,0.167
0.040701,-0.0082,-0.1288,-0.1117,0.171
0.045825,0.0385,-0.1067,-0.1633,0.199
0.051025,0.0784,-0.0824,-0.2144,0.243
0.055434,0.1137,-0.0559,-0.2650,0.294
0.059844,0.1495,-0.0342,-0.3079,0.344
0.065795,0.1831,-0.0126,-0.3482,0.394
0.069688,0.2195,-0.0006,-0.3811,0.440
0.074087,0.2540,0.0068,-0.4021,0.476
0.079036,0.2910,0.0119,-0.4112,0.504
0.085015,0.3307,0.0076,-0.4014,0.520
0.089075,0.3634,-0.0059,-0.3731,0.521
0.093972,0.3986,-0.0287,-0.3380,0.523
0.097655,0.4340,-0.0631,-0.2866,0.524
0.102495,0.4647,-0.0995,-0.2215,0.524
0.108206,0.4907,-0.1450,-0.1520,0.534
0.112618,0.5121,-0.1997,-0.0854,0.556
0.117006,0.5194,-0.2515,-0.0217,0.578
0.121727,0.5176,-0.2958,0.0440,0.598
0.126143,0.4994,-0.3397,0.1068,0.613
0.132072,0.4744,-0.3737,0.1645,0.626
0.135805,0.4451,-0.4027,0.2147,0.637
0.140234,0.4088,-0.4315,0.2598,0.649
0.146005,0.3703,-0.4506,0.3020,0.657
0.150075,0.3367,-0.4647,0.3391,0.667
0.154715,0.3126,-0.4764,0.3782,0.684
0.159560,0.3004,-0.4786,0.4099,0.698
0.165629,0.2998,-0.4784,0.4344,0.712
0.169369,0.3108,-0.4807,0.4491,0.728
0.173898,0.3238,-0.4735,0.4472,0.727
0.178288,0.3460,-0.4688,0.4335,0.726
0.184741,0.3726,-0.4665,0.4056,0.722
0.188186,0.3989,-0.4524,0.3684,0.707
0.193496,0.4272,-0.4242,0.3244,0.684
0.197522,0.4552,-0.3796,0.2832,0.657
0.201886,0.4850,-0.3143,0.2403,0.626
0.208154,0.5191,-0.2354,0.1933,0.602
0.211898,0.5595,-0.1478,0.1423,0.596
0.216243,0.6063,-0.0636,0.0873,0.616
0.221048,0.6546,0.0056,0.0281,0.655
0.225892,0.7115,0.0575,-0.0329,0.715
0.230499,0.7748,0.0781,-0.0889,0.784
0.236012,0.8425,0.0727,-0.1282,0.855
0.240893,0.9146,0.0392,-0.1537,0.928
0.245033,0.9913,-0.0174,-0.1441,1.002
0.249490,1.0611,-0.0946,-0.1019,1.070
0.254211,1.1190,-0.1899,-0.0271,1.135
0.259461,1.1745,-0.2986,0.0684,1.214
0.265001,1.2276,-0.4087,0.1705,1.305
0.268496,1.2684,-0.5277,0.2651,1.399
0.273259,1.3113,-0.6483,0.3477,1.504
0.277898,1.3490,-0.7706,0.4116,1.607
0.286088,1.3770,-0.8971,0.4475,1.703
0.287474,1.4048,-1.0205,0.4532,1.795
0.292915,1.4253,-1.1362,0.4219,1.871
0.298468,1.4389,-1.2394,0.3562,1.932
0.302107,1.4554,-1.3254,0.2634,1.986
0.306898,1.4827,-1.3919,0.1545,2.040
0.311238,1.5112,-1.4347,0.0300,2.084
0.317417,1.5460,-1.4538,-0.1026,2.125
0.320942,1.5777,-1.4493,-0.2358,2.155
0.326090,1.6041,-1.4236,-0.3697,2.176
0.330107,1.6302,-1.3743,-0.5116,2.193
0.335631,1.6441,-1.3085,-0.6640,2.204
