time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.000733,0.2118,0.0233,-0.1250,0.247
0.004611,0.1819,0.0396,-0.1139,0.218
0.009373,0.1430,0.0769,-0.1550,0.225
0.014362,0.1047,0.0783,-0.1318,0.186
0.019520,0.0598,0.0443,-0.1445,0.162
0.023918,0.0556,-0.0034,-0.1192,0.132
0.029287,-0.0241,-0.0222,-0.0778,0.084
0.033511,-0.0605,-0.0289,-0.0440,0.080
0.038245,-0.0705,-0.0427,-0.0271,0.087
0.042914,-0.0545,-0.0421,-0.0175,0.071
0.047283,-0.0766,-0.0274,-0.0079,0.082
0.052626,-0.0749,-0.0270,-0.0103,0.080
0.058125,-0.0780,-0.0361,0.0087,0.086
0.061774,-0.0930,-0.0428,0.0110,0.103
0.066938,-0.1127,-0.0541,0.0110,0.126
0.070940,-0.1370,-0.0535,0.0229,0.149
0.076508,-0.1233,-0.0459,0.0133,0.132
0.081813,-0.1476,-0.0383,0.0252,0.155
0.085829,-0.1504,-0.0308,0.0204,0.155
0.089921,-0.1272,-0.0092,0.0440,0.135
0.096262,-0.1233,-0.0210,0.0320,0.129
0.100260,-0.1028,-0.0042,0.0365,0.109
0.104718,-0.1087,0.0266,0.0268,0.115
0.109292,-0.0860,0.0286,0.0149,0.092
0.113788,-0.0802,0.0212,0.0219,0.086
0.118652,-0.1077,0.0234,0.0100,0.111
0.123213,-0.0803,0.0326,0.0004,0.087
0.129162,-0.0462,0.0347,-0.0115,0.059
0.133621,-0.0314,0.0059,0.0051,0.032
0.137776,-0.0286,0.0177,-0.0069,0.034
0.142237,-0.0067,-0.0014,0.0073,0.010
0.148134,-0.0396,0.0176,0.0119,0.045
0.151909,-0.0130,0.0032,0.0118,0.018
0.156271,-0.0056,0.0056,0.0092,0.012
0.169672,0.0064,-0.0063,-0.0075,0.012
0.170297,-0.0077,0.0127,-0.0050,0.016
0.170656,0.0138,-0.0229,-0.0169,0.032
0.175983,0.0020,0.0105,-0.0238,0.026
0.181441,0.0115,0.0317,-0.0142,0.037
0.185307,0.0092,0.0172,0.0001,0.020
0.189505,0.0116,0.0195,0.0024,0.023
0.194586,0.0211,0.0075,-0.0191,0.029
0.199062,0.0115,0.0003,0.0094,0.015
0.203952,0.0067,-0.0139,0.0021,0.016
0.208635,-0.0052,-0.0019,0.0161,0.017
