time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.001474,0.0750,-0.0122,-0.0215,0.079
0.001761,0.0200,0.0068,-0.0267,0.034
0.004922,-0.0014,0.0162,-0.0080,0.018
0.011016,-0.0298,0.0161,0.0200,0.039
0.016136,-0.0366,0.0254,0.0431,0.062
0.019542,-0.0195,-0.0010,0.0233,0.030
0.024271,-0.0501,-0.0176,0.0250,0.059
0.028596,-0.0211,-0.0365,0.0291,0.051
0.033925,0.0054,-0.0125,0.0260,0.029
0.039142,0.0222,-0.0029,0.0491,0.054
0.043264,0.0507,0.0185,0.0436,0.069
0.048074,0.0528,0.0135,0.0263,0.061
0.052491,0.0573,0.0253,0.0021,0.063
0.057917,0.0619,0.0203,0.0160,0.067
0.062659,0.0570,0.0011,0.0132,0.058
0.067357,0.0664,-0.0132,0.0295,0.074
0.071373,0.0450,-0.0227,0.0408,0.065
0.076397,0.0189,0.0012,0.0237,0.030
0.081204,0.0097,-0.0131,0.0162,0.023
0.086971,0.0005,0.0012,0.0088,0.009
0.091334,-0.0157,-0.0249,0.0299,0.042
0.095496,-0.0388,-0.0366,0.0295,0.061
0.100307,-0.0333,-0.0316,0.0172,0.049
0.104742,-0.0516,-0.0290,0.0098,0.060
0.110321,-0.0246,-0.0407,0.0072,0.048
0.113816,0.0188,-0.0190,0.0308,0.041
0.118892,0.0262,-0.0023,0.0161,0.031
0.123585,0.0192,0.0001,0.0135,0.023
0.129355,0.0265,0.0143,0.0394,0.050
0.133051,0.0076,0.0284,0.0200,0.036
0.137928,-0.0112,0.0233,0.0007,0.026
0.150234,-0.0582,0.0089,-0.0018,0.059
0.151727,-0.0813,-0.0031,-0.0161,0.083
0.151887,-0.0614,-0.0031,-0.0185,0.064
0.157557,-0.0631,-0.0054,-0.0043,0.063
0.161879,-0.0434,0.0136,-0.0068,0.046
0.166294,-0.0145,0.0182,-0.0235,0.033
0.171898,-0.0071,-0.0010,-0.0116,0.014
0.176851,-0.0023,-0.0010,-0.0140,0.014
0.181080,-0.0046,-0.0294,-0.0141,0.033
0.185767,0.0169,-0.0340,-0.0140,0.040
0.189763,0.0122,-0.0100,-0.0022,0.016
0.195299,0.0241,0.0067,0.0025,0.025
0.199972,0.0169,0.0256,0.0049,0.031
0.204902,0.0169,0.0135,0.0166,0.027
0.209806,0.0075,0.0229,0.0212,0.032
0.213453,-0.0042,-0.0105,0.0305,0.033
0.219371,0.0079,-0.0223,0.0350,0.042
0.224330,0.0271,-0.0317,0.0372,0.056
0.229470,0.0367,-0.0148,0.0037,0.040
0.233495,0.0226,-0.0242,0.0086,0.034
0.237321,0.0465,-0.0193,0.0110,0.052
0.241930,0.0442,-0.0002,0.0086,0.045
0.247002,0.0704,0.0022,0.0062,0.071
0.252050,0.0608,-0.0145,0.0348,0.072
0.256828,0.0750,-0.0026,0.0227,0.078
0.261191,0.0654,-0.0002,0.0013,0.065
0.266271,0.0654,0.0021,-0.0105,0.066
0.270898,0.0395,-0.0003,0.0111,0.041
0.275274,0.0232,-0.0170,0.0064,0.029
0.280071,0.0190,-0.0050,-0.0172,0.026
0.284786,-0.0066,0.0045,-0.0146,0.017
0.289560,0.0037,0.0091,-0.0143,0.017
0.294443,-0.0003,0.0066,0.0097,0.012
0.299412,-0.0162,-0.0006,-0.0044,0.017
0.303764,0.0060,-0.0078,-0.0113,0.015
0.308556,-0.0171,-0.0006,0.0080,0.019
0.313363,-0.0329,-0.0197,0.0033,0.038
0.318024,-0.0414,0.0018,0.0107,0.043
0.323139,-0.0357,-0.0125,0.0084,0.039
0.336104,-0.0372,0.0160,0.0252,0.048
0.336648,-0.0529,0.0182,0.0134,0.058
0.337135,-0.0518,0.0228,-0.0126,0.058
0.341629,-0.0200,0.0273,-0.0313,0.046
0.347176,-0.0194,0.0365,-0.0166,0.045
0.351339,-0.0141,0.0338,-0.0329,0.049
0.356153,-0.0255,0.0193,-0.0444,0.055
0.360961,-0.0296,-0.0046,-0.0297,0.042
0.366147,-0.0242,0.0144,-0.0198,0.034
0.370086,-0.0284,0.0190,-0.0386,0.051
0.375199,-0.0065,0.0140,-0.0524,0.055
0.379640,-0.0133,0.0210,-0.0543,0.060
0.384750,-0.0320,0.0351,-0.0326,0.058
0.389033,-0.0505,0.0015,-0.0157,0.053
0.395163,-0.0571,0.0039,-0.0204,0.061
0.398913,-0.0612,0.0015,-0.0228,0.065
0.403245,-0.0510,-0.0009,-0.0132,0.053
0.408168,-0.0410,0.0085,-0.0298,0.051
0.413088,-0.0573,0.0275,0.0012,0.064
0.417705,-0.0284,0.0083,0.0177,0.034
0.422362,-0.0236,0.0153,0.0033,0.028
0.431794,-0.0331,0.0152,-0.0110,0.038
0.432361,-0.0307,-0.0110,-0.0039,0.033
0.436491,-0.0544,-0.0109,-0.0087,0.056
0.442695,-0.0756,-0.0155,-0.0017,0.077
0.446791,-0.0634,-0.0344,0.0006,0.072
