time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.001113,-0.3600,0.0518,-0.3231,0.487
0.012131,-0.2563,0.0369,-0.2872,0.387
0.012439,-0.1655,0.0055,-0.2423,0.293
0.015252,-0.1231,0.0170,-0.2027,0.238
0.019037,-0.0147,0.0072,-0.1444,0.145
0.023292,0.0858,-0.0359,-0.1317,0.161
0.028321,0.1619,-0.1189,-0.0882,0.219
0.032523,0.2542,-0.1324,-0.0568,0.292
0.039364,0.3484,-0.1529,-0.0209,0.381
0.042007,0.4703,-0.1186,0.0480,0.487
0.047184,0.5889,-0.1250,0.0904,0.609
0.051652,0.6331,-0.0885,0.1327,0.653
0.056312,0.6390,-0.0524,0.1344,0.655
0.061118,0.5833,-0.0094,0.1147,0.595
0.066081,0.5233,0.0166,0.1358,0.541
0.070630,0.4661,0.0091,0.1235,0.482
0.075756,0.3621,-0.0267,0.1163,0.381
0.080768,0.2731,-0.0646,0.1045,0.299
0.084909,0.1636,-0.1164,0.1025,0.225
0.089507,0.0668,-0.1155,0.1055,0.170
0.094211,0.0157,-0.1052,0.0707,0.128
0.099474,-0.0398,-0.0356,0.0861,0.101
0.103942,-0.0358,-0.0235,0.1157,0.123
0.108716,-0.0202,-0.0043,0.1262,0.128
0.113961,-0.0167,-0.0044,0.1415,0.143
0.118570,-0.0110,0.0028,0.0926,0.093
0.125599,-0.0267,0.0597,0.0608,0.089
0.127479,0.0311,0.0947,0.0221,0.102
0.132307,0.0695,0.0678,0.0171,0.099
0.138232,0.1006,0.0293,0.0335,0.110
0.141824,0.0601,0.0029,0.1187,0.133
0.147058,0.0032,-0.0398,0.0704,0.081
0.151559,-0.0437,-0.0656,-0.0010,0.079
0.156084,-0.1329,-0.1006,0.0612,0.178
0.161000,-0.2096,-0.1282,0.2058,0.320
0.165561,-0.3688,-0.1627,0.2637,0.482
0.170450,-0.4936,-0.1495,0.2687,0.582
0.175424,-0.5415,-0.1198,0.2593,0.612
0.186092,-0.5058,-0.0452,0.1765,0.538
0.186804,-0.4254,0.0168,-0.0197,0.426
0.189184,-0.3053,0.0760,-0.1765,0.361
0.193750,-0.1031,0.1275,-0.3348,0.373
0.198949,-0.0211,0.0409,-0.4732,0.475
0.203470,0.0415,-0.0830,-0.6108,0.618
0.208061,0.0871,-0.1892,-0.6691,0.701
0.213789,0.1612,-0.2827,-0.7222,0.792
0.218491,0.2541,-0.3351,-0.7277,0.841
0.222169,0.1994,-0.3349,-0.6339,0.744
0.227542,-0.0017,-0.2874,-0.5508,0.621
0.232278,-0.2035,-0.2521,-0.4500,0.554
0.236965,-0.3752,-0.1839,-0.2794,0.503
0.241445,-0.4722,-0.0831,-0.1342,0.498
0.246881,-0.5237,0.0430,-0.0949,0.534
0.250740,-0.5536,0.1086,-0.1034,0.574
0.255499,-0.5644,0.1572,-0.1287,0.600
0.260466,-0.4967,0.1886,-0.1256,0.546
0.264979,-0.4700,0.2364,-0.0754,0.531
0.269917,-0.5005,0.2696,-0.0140,0.569
0.275317,-0.5430,0.3261,-0.0223,0.634
0.279240,-0.5378,0.3822,-0.0664,0.663
0.284272,-0.4406,0.4426,-0.1294,0.638
0.288855,-0.3469,0.4597,-0.1826,0.604
0.294060,-0.2853,0.5360,-0.2403,0.653
0.298520,-0.2721,0.6448,-0.2576,0.746
0.303067,-0.2284,0.6911,-0.1875,0.752
0.307898,-0.2207,0.6942,-0.0376,0.729
0.312601,-0.1417,0.5287,0.0799,0.553
0.318770,-0.0487,0.3837,0.1938,0.433
0.322425,0.1578,0.2564,0.3778,0.483
0.327331,0.3751,0.1777,0.4940,0.645
0.331440,0.6979,0.1163,0.5762,0.912
0.336156,1.0042,0.1503,0.6057,1.182
0.341418,1.2656,0.1413,0.5683,1.395
0.345579,1.3334,0.1206,0.8064,1.563
0.350465,1.2145,-0.0614,0.5990,1.356
0.355464,1.2555,-0.2157,0.1090,1.279
0.359959,1.4952,-0.1718,-0.1208,1.510
0.365146,1.9529,-0.0690,-0.1642,1.961
0.369586,2.4273,-0.0929,-0.1957,2.437
0.374977,2.7529,-0.1925,-0.4665,2.799
0.378864,3.0165,-0.3246,-0.6829,3.110
0.383788,3.2677,-0.3439,-0.7363,3.367
0.389248,3.4399,-0.3226,-0.7710,3.540
0.393072,3.4762,-0.3109,-0.8563,3.594
0.398513,3.6160,-0.3136,-0.9229,3.745
0.402510,3.8476,-0.3353,-0.9398,3.975
0.407291,4.1638,-0.3307,-0.9356,4.280
0.411991,4.5073,-0.3810,-0.9390,4.620
0.418059,4.8806,-0.4167,-0.9067,4.982
0.421463,5.2695,-0.4402,-0.9079,5.365
0.426214,5.5860,-0.4921,-0.8398,5.670
0.431787,5.8230,-0.5411,-0.7478,5.896
0.436116,6.0600,-0.6398,-0.7226,6.136
0.440489,6.2642,-0.7187,-0.7448,6.349
0.445269,6.5461,-0.6942,-0.7764,6.628
0.450001,6.8845,-0.5854,-0.7147,6.946
0.454618,7.2488,-0.4758,-0.6647,7.295
0.459551,7.6611,-0.4202,-0.6381,7.699
0.464318,8.1936,-0.4231,-0.6032,8.227
0.469042,8.8556,-0.4911,-0.7823,8.904
0.474040,9.3569,-0.5236,-1.1822,9.446
0.478759,9.5412,-0.4491,-1.4507,9.661
0.484551,9.6114,-0.4990,-1.1709,9.695
0.487760,9.4340,-0.3937,-1.7175,9.597
0.492536,9.0591,0.0341,-2.5622,9.414
0.499310,7.8018,0.8072,-3.8853,8.753
0.502956,6.0362,1.8102,-4.4994,7.743
0.507738,4.0987,2.7821,-5.2393,7.210
0.512002,2.1662,3.6302,-6.5792,7.820
0.516811,0.7867,4.6039,-8.0073,9.270
0.521492,0.7510,5.9778,-7.6995,9.777
0.526436,1.7756,6.7602,-6.9897,9.885
0.531736,2.7416,7.0613,-8.0509,11.054
0.536871,3.6574,7.3684,-9.9009,12.872
0.540584,4.2555,8.4188,-10.9167,14.428
0.544919,4.6135,9.9767,-9.8126,14.734
0.557328,3.6347,11.2799,-7.5992,14.078
0.558611,1.6689,12.7016,-7.1870,14.689
0.560321,0.7287,12.4492,-7.5172,14.561
0.571064,0.8963,10.6002,-7.3883,12.952
0.571987,1.5022,8.4374,-5.7168,10.302
0.573178,0.9213,6.5911,-5.3039,8.510
0.578875,-0.2665,5.3246,-6.9417,8.753
0.584687,0.0459,3.8360,-6.8155,7.821
0.587261,1.3517,2.1205,-6.5692,7.034
0.592073,2.8299,0.9855,-5.9805,6.689
0.599126,3.3960,0.5206,-4.5417,5.695
0.601619,2.4789,0.3754,-3.8243,4.573
0.606361,1.0245,0.0365,-4.6662,4.777
0.611355,0.4076,-0.5596,-5.2907,5.336
0.615901,0.8282,-1.2070,-5.2375,5.438
0.620822,1.8217,-1.4049,-4.8891,5.403
0.625463,3.2618,-1.0342,-4.4896,5.645
0.632370,5.0367,-0.3820,-3.4925,6.141
0.635327,6.4804,-0.0039,-1.5213,6.657
0.639999,6.5658,-0.1594,-1.4824,6.733
0.644403,5.4550,-0.2261,-3.0528,6.255
0.649253,5.1297,-0.3718,-4.0861,6.569
0.653928,6.3704,-1.2658,-4.0304,7.644
0.658984,8.1007,-2.7851,-3.7842,9.365
0.663619,8.8507,-4.1977,-4.0221,10.589
0.673407,8.2969,-4.9423,-4.5949,10.695
0.674532,6.9068,-4.8815,-4.7525,9.701
0.679066,5.2588,-4.1673,-4.6152,8.144
0.687805,3.8374,-3.3096,-4.4784,6.763
0.688557,2.8331,-2.6453,-4.0829,5.630
0.691763,2.1425,-2.3983,-3.5686,4.804
0.696565,1.6102,-2.5244,-3.1556,4.350
0.701854,1.0411,-2.8957,-2.7876,4.152
0.705846,0.5678,-3.1861,-2.5032,4.091
0.710964,0.1319,-3.2898,-2.0920,3.901
0.715275,-0.1290,-3.1129,-1.6734,3.537
0.720592,-0.2950,-2.7864,-1.1821,3.041
0.724945,-0.3058,-2.4745,-0.7459,2.603
0.729632,-0.2394,-2.2411,-0.3948,2.288
0.734355,-0.0212,-2.1187,-0.0368,2.119
0.739531,0.3614,-2.2044,0.3479,2.261
0.744747,0.8518,-2.3944,0.7791,2.658
0.749280,1.4126,-2.6377,1.3104,3.266
0.753743,2.0515,-2.7828,2.0936,4.042
0.759310,2.5390,-2.8751,3.0269,4.886
0.763730,2.6330,-2.8235,3.9994,5.559
0.768024,2.2492,-2.5496,4.7516,5.843
0.772451,1.4609,-2.0060,5.5034,6.037
0.778204,0.2252,-1.3414,6.2086,6.356
0.784639,-1.5718,-0.7566,6.5019,6.732
0.786954,-3.6715,-0.4623,6.3272,7.330
0.791349,-5.8230,-0.0954,6.2810,8.565
0.796016,-7.6827,0.1688,6.3487,9.968
0.800788,-9.0338,0.1822,6.2801,11.004
0.806597,-10.2297,-0.1077,5.9232,11.821
0.810660,-11.5659,-0.5169,5.6405,12.878
0.817862,-13.4447,-1.0477,5.8661,14.706
0.819772,-16.1033,-1.5924,6.5974,17.475
0.824523,-19.3221,-2.1722,7.5427,20.856
0.829309,-22.8644,-2.7132,8.6079,24.581
0.834823,-26.2911,-3.2304,9.6926,28.206
0.839231,-29.0565,-4.0355,10.7598,31.246
0.843860,-30.5313,-5.1911,11.4066,33.003
0.848454,-30.9418,-6.3760,11.2380,33.531
0.852950,-30.1545,-7.2619,10.7495,32.826
0.858907,-28.2420,-7.9671,10.9682,31.327
0.863609,-25.5727,-8.7478,12.1797,29.645
0.867827,-22.8221,-9.5158,13.8661,28.349
0.872083,-20.3102,-10.0978,15.1765,27.291
0.878067,-17.5419,-10.5747,16.6704,26.409
0.883794,-16.3332,-12.3251,20.3696,28.872
0.886033,-18.1785,-18.2870,18.4819,31.725
0.890785,-12.8042,-23.8250,10.8437,29.140
0.896474,7.4808,-20.6720,17.0566,27.825
0.901482,28.0300,-11.4853,28.5597,41.632
0.905165,33.0311,0.0188,15.5492,36.508
0.909940,32.3147,16.6270,-11.3708,38.079
0.915604,35.1148,27.9442,-26.1845,51.957
0.919525,35.7329,24.2789,-22.4411,48.682
0.924032,26.4156,19.2876,-17.3616,37.030
0.928632,8.0334,19.3285,-23.2761,31.303
0.933889,-7.8328,21.8383,-24.6220,33.831
0.938848,-18.7401,23.8494,-15.9741,34.281
0.943106,-25.2869,22.6728,-4.8319,34.305
0.948536,-24.3259,19.8698,0.2510,31.411
0.952446,-17.5172,19.1240,3.9371,26.231
0.958294,-7.3791,18.3962,6.8152,20.960
0.961753,2.5908,13.8448,8.1771,16.287
0.966721,9.5802,7.4108,8.3107,14.689
0.971338,12.2877,2.1666,7.7850,14.707
0.976048,12.2210,-1.5398,6.6912,14.018
