time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.001048,0.0082,-0.0037,-0.0713,0.072
0.004187,-0.0022,-0.0013,-0.0707,0.071
0.008595,-0.0172,0.0012,-0.0655,0.068
0.013488,-0.0346,-0.0012,-0.0556,0.065
0.018499,-0.0494,0.0013,-0.0410,0.064
0.022820,-0.0571,0.0037,-0.0338,0.066
0.028166,-0.0648,0.0061,-0.0267,0.070
0.032481,-0.0653,0.0061,-0.0244,0.070
0.037288,-0.0635,0.0061,-0.0222,0.068
0.041729,-0.0642,0.0061,-0.0200,0.067
0.047005,-0.0625,0.0060,-0.0226,0.067
0.051301,-0.0584,0.0084,-0.0252,0.064
0.056481,-0.0497,0.0036,-0.0231,0.055
0.060885,-0.0434,0.0060,-0.0234,0.050
0.065696,-0.0372,0.0060,-0.0261,0.046
0.070207,-0.0239,0.0131,-0.0216,0.035
0.075055,-0.0060,0.0154,-0.0147,0.022
0.079819,0.0116,0.0201,-0.0103,0.025
0.084660,0.0268,0.0176,-0.0106,0.034
0.089473,0.0395,0.0175,-0.0087,0.044
0.094502,0.0498,0.0174,-0.0091,0.054
0.098826,0.0506,0.0149,-0.0071,0.053
0.103482,0.0586,0.0124,-0.0075,0.060
0.108292,0.0594,0.0076,-0.0032,0.060
0.113208,0.0554,0.0028,0.0011,0.055
0.118065,0.0586,-0.0019,0.0054,0.059
0.122852,0.0548,-0.0066,0.0049,0.055
0.127764,0.0510,-0.0089,0.0044,0.052
0.132485,0.0473,-0.0136,0.0063,0.050
0.136899,0.0436,-0.0158,0.0082,0.047
0.141485,0.0399,-0.0180,0.0077,0.044
0.146633,0.0363,-0.0155,0.0048,0.040
0.150912,0.0400,-0.0201,0.0019,0.045
0.155583,0.0413,-0.0199,0.0014,0.046
0.162080,0.0474,-0.0126,0.0008,0.049
0.165741,0.0511,-0.0125,-0.0020,0.053
0.170088,0.0620,-0.0101,-0.0001,0.063
0.174752,0.0680,-0.0100,-0.0005,0.069
0.180126,0.0788,-0.0123,0.0015,0.080
0.184216,0.0873,-0.0146,0.0059,0.089
0.189004,0.0981,-0.0168,0.0055,0.100
0.199797,0.1041,-0.0167,0.0050,0.106
0.200497,0.1077,-0.0142,0.0023,0.109
0.203059,0.1114,-0.0165,0.0091,0.113
0.207777,0.1079,-0.0116,0.0183,0.110
0.212562,0.0975,-0.0115,0.0155,0.099
0.217643,0.0919,-0.0115,0.0152,0.094
0.222030,0.0815,-0.0090,0.0149,0.083
0.227894,0.0689,-0.0042,0.0219,0.072
0.231883,0.0589,0.0030,0.0264,0.065
0.236513,0.0513,0.0053,0.0260,0.058
0.240936,0.0438,0.0076,0.0257,0.051
0.245982,0.0387,0.0099,0.0255,0.047
0.250754,0.0311,0.0075,0.0228,0.039
0.255286,0.0213,0.0074,0.0179,0.029
0.260210,0.0116,0.0050,0.0129,0.018
0.264858,0.0043,0.0049,0.0103,0.012
0.269612,-0.0029,0.0025,0.0102,0.011
0.274264,-0.0101,0.0048,0.0100,0.015
0.282882,-0.0101,0.0072,0.0075,0.014
0.283737,-0.0077,0.0095,0.0073,0.014
0.288371,-0.0077,0.0046,0.0047,0.010
0.294444,-0.0007,0.0046,0.0069,0.008
0.298065,0.0063,0.0069,0.0068,0.012
0.302995,0.0038,0.0021,0.0090,0.010
0.307530,0.0085,-0.0003,0.0112,0.014
0.312211,0.0108,-0.0027,0.0110,0.016
0.317087,0.0179,-0.0050,0.0086,0.020
0.322244,0.0226,-0.0073,0.0132,0.027
0.326426,0.0296,-0.0097,0.0131,0.034
0.331415,0.0366,-0.0120,0.0106,0.040
0.335895,0.0412,-0.0143,0.0105,0.045
0.341191,0.0387,-0.0189,0.0080,0.044
0.345683,0.0434,-0.0188,0.0032,0.047
0.350115,0.0457,-0.0163,0.0008,0.049
0.354777,0.0481,-0.0114,0.0008,0.049
0.359740,0.0528,-0.0066,0.0008,0.053
0.364490,0.0528,-0.0042,0.0009,0.053
0.369197,0.0504,-0.0018,0.0033,0.051
0.373975,0.0552,0.0029,0.0081,0.056
0.383382,0.0600,0.0029,0.0176,0.063
0.383909,0.0576,0.0004,0.0152,0.060
0.388165,0.0530,-0.0043,0.0104,0.054
0.394500,0.0437,-0.0044,0.0081,0.045
0.397550,0.0368,-0.0044,0.0057,0.038
0.402345,0.0253,-0.0067,0.0033,0.026
0.406866,0.0139,-0.0091,0.0034,0.017
0.411836,0.0073,-0.0091,0.0011,0.012
0.416557,0.0055,-0.0090,-0.0013,0.011
0.421570,0.0086,-0.0066,-0.0036,0.011
0.426079,0.0093,-0.0066,-0.0035,0.012
0.430778,0.0123,-0.0043,-0.0081,0.015
0.435692,0.0153,0.0005,-0.0151,0.022
0.440505,0.0207,0.0004,-0.0173,0.027
0.445578,0.0237,-0.0044,-0.0196,0.031
0.450090,0.0196,-0.0021,-0.0219,0.029
0.454400,0.0155,-0.0045,-0.0194,0.025
0.459183,0.0115,-0.0069,-0.0168,0.022
0.464151,0.0123,-0.0093,-0.0120,0.020
0.468666,0.0083,-0.0093,-0.0095,0.016
0.473383,0.0021,-0.0093,-0.0047,0.011
0.482442,-0.0017,-0.0117,0.0001,0.012
0.483169,-0.0030,-0.0116,-0.0024,0.012
0.487575,-0.0043,-0.0116,-0.0024,0.013
0.492751,0.0039,-0.0140,0.0023,0.015
0.497254,0.0169,-0.0187,-0.0000,0.025
0.501938,0.0274,-0.0186,-0.0024,0.033
0.506566,0.0307,-0.0162,0.0024,0.035
0.512164,0.0388,-0.0114,0.0048,0.041
0.516330,0.0445,-0.0090,-0.0022,0.045
0.521251,0.0454,-0.0019,-0.0022,0.046
0.525802,0.0441,0.0027,0.0026,0.044
0.530718,0.0380,0.0074,0.0050,0.039
0.535474,0.0367,0.0048,0.0074,0.038
0.540227,0.0332,0.0047,0.0098,0.035
0.546404,0.0226,0.0045,0.0146,0.027
0.549712,0.0168,0.0020,0.0170,0.024
0.554279,0.0158,0.0019,0.0218,0.027
0.559688,0.0149,-0.0006,0.0193,0.024
0.564356,0.0068,-0.0055,0.0120,0.015
0.568865,0.0058,-0.0031,0.0120,0.014
0.573419,0.0095,-0.0079,0.0144,0.019
0.585934,0.0085,-0.0103,0.0074,0.015
0.586826,-0.0020,-0.0151,0.0027,0.015
0.587950,-0.0149,-0.0174,0.0028,0.023
0.592373,-0.0276,-0.0174,0.0005,0.033
0.602210,-0.0332,-0.0054,0.0030,0.034
0.602954,-0.0270,0.0016,0.0055,0.028
0.606357,-0.0209,0.0063,0.0008,0.022
0.611184,-0.0268,0.0109,-0.0039,0.029
0.616677,-0.0350,0.0084,-0.0038,0.036
0.620914,-0.0432,0.0082,-0.0037,0.044
0.625349,-0.0561,0.0057,-0.0109,0.057
0.630298,-0.0666,0.0032,-0.0156,0.068
0.634899,-0.0747,0.0031,-0.0178,0.077
0.639976,-0.0733,0.0031,-0.0129,0.074
0.645922,-0.0671,0.0030,-0.0081,0.068
0.649221,-0.0611,0.0005,-0.0056,0.061
0.653906,-0.0527,0.0005,-0.0104,0.054
0.659238,-0.0444,-0.0020,-0.0127,0.046
0.663481,-0.0339,-0.0020,-0.0103,0.035
0.668981,-0.0257,-0.0068,-0.0078,0.028
0.672907,-0.0199,-0.0092,-0.0055,0.023
0.677814,-0.0142,-0.0115,-0.0078,0.020
0.686405,-0.0086,-0.0139,-0.0078,0.018
0.687405,0.0042,-0.0115,-0.0030,0.013
0.691731,0.0097,-0.0114,0.0041,0.016
0.702471,0.0176,-0.0138,0.0064,0.023
0.703002,0.0207,-0.0161,0.0112,0.028
0.705679,0.0262,-0.0160,0.0207,0.037
0.710498,0.0244,-0.0159,0.0229,0.037
0.715126,0.0274,-0.0135,0.0276,0.041
0.719848,0.0280,-0.0039,0.0298,0.041
0.724631,0.0286,0.0032,0.0297,0.041
0.729941,0.0245,0.0079,0.0225,0.034
0.734472,0.0179,0.0054,0.0200,0.027
0.739613,0.0092,0.0053,0.0152,0.019
0.745664,-0.0020,0.0052,0.0152,0.016
0.748879,-0.0107,0.0099,0.0152,0.021
0.753403,-0.0121,0.0097,0.0152,0.022
0.758392,-0.0111,0.0120,0.0104,0.019
0.763808,-0.0078,0.0071,0.0104,0.015
0.767723,-0.0069,0.0070,0.0080,0.013
0.772616,-0.0084,0.0021,0.0057,0.010
0.778251,-0.0076,-0.0003,0.0010,0.008
0.785568,-0.0043,0.0020,-0.0037,0.006
0.786572,-0.0033,-0.0004,-0.0059,0.007
0.791196,-0.0025,-0.0005,-0.0057,0.006
0.802202,-0.0041,-0.0005,-0.0056,0.007
0.802707,-0.0031,-0.0006,-0.0054,0.006
0.805845,0.0026,0.0018,-0.0076,0.008
0.810184,0.0035,0.0088,-0.0002,0.009
0.815011,0.0068,0.0040,0.0096,0.012
0.819544,0.0124,0.0015,0.0193,0.023
0.824409,0.0156,0.0062,0.0241,0.029
0.829580,0.0260,0.0038,0.0242,0.036
0.834244,0.0291,0.0037,0.0242,0.038
0.838617,0.0276,-0.0035,0.0220,0.035
0.848237,0.0261,-0.0083,0.0149,0.031
0.849072,0.0174,-0.0154,0.0056,0.024
0.853231,0.0088,-0.0200,-0.0014,0.022
0.858549,-0.0045,-0.0199,-0.0130,0.024
0.862575,-0.0083,-0.0198,-0.0197,0.029
0.867071,-0.0192,-0.0196,-0.0169,0.032
0.871732,-0.0324,-0.0195,-0.0141,0.040
0.876997,-0.0432,-0.0146,-0.0186,0.049
0.881826,-0.0442,-0.0074,-0.0206,0.049
0.885789,-0.0429,-0.0050,-0.0179,0.047
0.890758,-0.0369,-0.0050,-0.0104,0.039
0.899215,-0.0310,-0.0027,-0.0006,0.031
0.902633,-0.0275,0.0045,0.0069,0.029
0.904773,-0.0265,0.0115,0.0095,0.030
0.909489,-0.0231,0.0114,0.0145,0.030
0.914141,-0.0172,0.0113,0.0218,0.030
0.919016,-0.0186,0.0136,0.0316,0.039
0.923639,-0.0198,0.0182,0.0365,0.045
0.928822,-0.0164,0.0228,0.0415,0.050
0.933578,-0.0131,0.0226,0.0488,0.055
0.937968,-0.0145,0.0224,0.0514,0.058
0.943882,-0.0087,0.0246,0.0491,0.056
0.952387,-0.0100,0.0220,0.0469,0.053
0.952881,-0.0089,0.0171,0.0447,0.049
0.956870,-0.0078,0.0098,0.0402,0.042
0.961976,-0.0021,0.0050,0.0333,0.034
0.966508,0.0084,-0.0093,0.0288,0.031
0.971560,0.0213,-0.0140,0.0244,0.035
0.976502,0.0317,-0.0162,0.0177,0.040
0.981624,0.0350,-0.0232,0.0039,0.042
0.985772,0.0382,-0.0254,-0.0122,0.047
0.990548,0.0390,-0.0276,-0.0259,0.054
0.995463,0.0351,-0.0322,-0.0349,0.059
1.003682,0.0312,-0.0296,-0.0437,0.061
1.005135,0.0225,-0.0317,-0.0502,0.064
1.009855,0.0116,-0.0291,-0.0567,0.065
1.022105,0.0054,-0.0242,-0.0583,0.063
1.022884,-0.0031,-0.0193,-0.0576,0.061
1.023578,-0.0092,-0.0120,-0.0545,0.057
1.028642,-0.0129,-0.0072,-0.0515,0.054
1.033113,-0.0167,-0.0025,-0.0486,0.051
1.037735,-0.0228,-0.0001,-0.0433,0.049
1.042534,-0.0289,-0.0002,-0.0405,0.050
1.048789,-0.0326,-0.0002,-0.0354,0.048
1.052548,-0.0363,-0.0026,-0.0279,0.046
1.056828,-0.0399,-0.0003,-0.0230,0.046
1.063233,-0.0412,-0.0004,-0.0158,0.044
1.066834,-0.0402,-0.0028,-0.0133,0.042
1.071133,-0.0393,-0.0052,-0.0133,0.042
1.075843,-0.0383,-0.0052,-0.0156,0.042
