time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.001049,-0.2788,0.2557,0.1768,0.418
0.003452,-0.1271,0.2404,0.1747,0.323
0.007677,0.0329,0.2300,0.1934,0.302
0.014261,0.1728,0.2223,0.2186,0.356
0.017268,0.3000,0.2123,0.2409,0.439
0.022991,0.4223,0.1977,0.2507,0.529
0.026610,0.5377,0.1832,0.2502,0.621
0.031641,0.6537,0.1711,0.2443,0.719
0.036373,0.7681,0.1638,0.2330,0.819
0.041180,0.8619,0.1588,0.2164,0.903
0.046248,0.9374,0.1656,0.1996,0.973
0.050385,0.9849,0.1724,0.1872,1.017
0.055204,0.9947,0.1861,0.1890,1.030
0.059946,0.9670,0.2021,0.1954,1.007
0.064802,0.9112,0.2132,0.1995,0.957
0.069427,0.8293,0.2267,0.2085,0.885
0.074134,0.7501,0.2354,0.2079,0.813
0.079071,0.7142,0.2440,0.1909,0.778
0.083923,0.7356,0.2526,0.1598,0.794
0.088798,0.7641,0.2611,0.1244,0.817
0.093240,0.7806,0.2767,0.0844,0.832
0.097930,0.7778,0.2898,0.0496,0.831
0.103483,0.7558,0.2981,0.0200,0.813
0.107669,0.7171,0.2945,-0.0093,0.775
0.112078,0.6713,0.2674,-0.0336,0.723
0.117865,0.6207,0.2334,-0.0649,0.666
0.122635,0.5653,0.1999,-0.0913,0.607
0.126225,0.5119,0.1716,-0.1152,0.552
0.131810,0.4582,0.1486,-0.1438,0.503
0.135970,0.4088,0.1378,-0.1676,0.463
0.140542,0.3660,0.1273,-0.1961,0.434
0.146589,0.3253,0.1195,-0.2223,0.412
0.150113,0.2818,0.1073,-0.2414,0.386
0.155082,0.2382,0.0858,-0.2512,0.357
0.159516,0.1968,0.0552,-0.2539,0.326
0.164744,0.1720,0.0202,-0.2449,0.300
0.169042,0.1661,-0.0144,-0.2288,0.283
0.174296,0.1768,-0.0487,-0.2104,0.279
0.178557,0.2038,-0.0827,-0.1969,0.295
0.183445,0.2448,-0.1117,-0.1905,0.330
0.188027,0.2833,-0.1309,-0.1913,0.366
0.193087,0.3192,-0.1452,-0.2040,0.406
0.197513,0.3479,-0.1476,-0.2119,0.433
0.203324,0.3694,-0.1451,-0.2175,0.453
0.207551,0.3885,-0.1355,-0.2230,0.468
0.211615,0.4076,-0.1142,-0.2237,0.479
0.216322,0.4172,-0.0860,-0.2194,0.479
0.222426,0.4197,-0.0509,-0.2127,0.473
0.225780,0.4222,-0.0091,-0.2082,0.471
0.230543,0.4153,0.0394,-0.2011,0.463
0.235385,0.4016,0.0874,-0.1890,0.452
0.240452,0.3811,0.1278,-0.1625,0.434
0.244834,0.3539,0.1629,-0.1286,0.410
0.249699,0.3369,0.1904,-0.0898,0.397
0.254457,0.3205,0.2033,-0.0555,0.384
0.259173,0.3144,0.2040,-0.0235,0.375
0.264256,0.3112,0.1951,-0.0009,0.367
0.268973,0.3039,0.1932,0.0099,0.360
0.273271,0.2826,0.1865,0.0185,0.339
0.278068,0.2404,0.1798,0.0226,0.301
0.283208,0.1771,0.1637,0.0221,0.242
0.287616,0.0950,0.1382,0.0241,0.169
0.292214,0.0082,0.1035,0.0239,0.107
0.297255,-0.0833,0.0572,0.0262,0.104
0.303315,-0.1679,0.0139,0.0238,0.170
0.306451,-0.2433,-0.0314,0.0191,0.246
0.311675,-0.2976,-0.0737,0.0094,0.307
0.319385,-0.3358,-0.1083,-0.0074,0.353
0.320839,-0.3579,-0.1306,-0.0364,0.383
0.325761,-0.3785,-0.1406,-0.0727,0.410
0.330194,-0.3949,-0.1407,-0.1140,0.434
0.335113,-0.1903,-0.1789,-0.1337,0.293
0.339682,0.2827,-0.2835,-0.1821,0.440
0.344801,0.3083,-0.2707,-0.2500,0.480
0.349179,0.2478,-0.2531,-0.2723,0.447
0.354059,0.1582,-0.2403,-0.2563,0.385
0.358660,0.0441,-0.2275,-0.2452,0.337
0.363507,-0.1931,-0.1596,-0.3015,0.392
0.368480,-0.3380,-0.1014,-0.3606,0.504
0.372856,-0.3155,-0.1458,-0.3310,0.480
0.377818,-0.5630,-0.1595,-0.3593,0.687
0.383238,-0.7937,-0.1560,-0.4076,0.906
0.387153,-0.8509,-0.2048,-0.3966,0.961
0.392602,-0.9334,-0.2700,-0.3715,1.040
0.397881,-1.0704,-0.3325,-0.3609,1.178
0.403039,-1.1521,-0.3971,-0.3433,1.266
0.406382,-1.2313,-0.4494,-0.3258,1.351
0.411835,-1.3153,-0.4895,-0.3132,1.438
0.415410,-1.2934,-0.5222,-0.3029,1.427
0.420121,-1.1795,-0.5403,-0.3192,1.336
0.425127,-1.0257,-0.5439,-0.3574,1.215
0.432306,-0.8701,-0.5425,-0.4080,1.104
0.434450,-0.7148,-0.5313,-0.4615,1.003
0.440039,-0.5693,-0.5199,-0.5108,0.925
0.443870,-0.4333,-0.5180,-0.5461,0.868
0.448630,-0.3043,-0.5278,-0.5723,0.836
