time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.001116,0.1079,-0.0043,-0.0185,0.110
0.001388,0.1415,-0.0162,-0.0046,0.142
0.005583,0.1463,-0.0303,0.0089,0.150
0.010552,0.1417,-0.0396,0.0247,0.149
0.015178,0.1372,-0.0440,0.0283,0.147
0.020070,0.1402,-0.0507,0.0342,0.153
0.024653,0.1217,-0.0526,0.0329,0.137
0.029430,0.1033,-0.0497,0.0291,0.118
0.034019,0.0826,-0.0420,0.0181,0.094
0.039080,0.0667,-0.0392,0.0096,0.078
0.043682,0.0652,-0.0386,0.0011,0.076
0.048420,0.0685,-0.0334,-0.0050,0.076
0.053167,0.0767,-0.0235,-0.0111,0.081
0.058185,0.0899,-0.0089,-0.0243,0.094
0.062495,0.1009,0.0103,-0.0423,0.110
0.067752,0.1050,0.0317,-0.0604,0.125
0.072078,0.0997,0.0434,-0.0712,0.130
0.076703,0.0900,0.0574,-0.0798,0.133
0.081655,0.0783,0.0689,-0.0836,0.134
0.087598,0.0574,0.0850,-0.0780,0.129
0.091029,0.0391,0.1033,-0.0652,0.128
0.096065,0.0187,0.1215,-0.0502,0.133
0.100663,0.0008,0.1395,-0.0423,0.146
0.105264,-0.0145,0.1502,-0.0321,0.154
0.110134,-0.0296,0.1584,-0.0244,0.163
0.115089,-0.0422,0.1641,-0.0118,0.170
0.119884,-0.0594,0.1650,-0.0064,0.176
0.124489,-0.0814,0.1589,-0.0106,0.179
0.129113,-0.1009,0.1504,-0.0124,0.182
0.133818,-0.1253,0.1397,-0.0165,0.188
0.138528,-0.1570,0.1267,-0.0348,0.205
0.143267,-0.1865,0.1188,-0.0482,0.226
0.148199,-0.2113,0.1109,-0.0519,0.244
0.152810,-0.2433,0.0959,-0.0507,0.266
0.157490,-0.2610,0.0811,-0.0469,0.277
0.165356,-0.2619,0.0568,-0.0477,0.272
0.167931,-0.2461,0.0373,-0.0506,0.254
0.171579,-0.2351,0.0204,-0.0630,0.244
0.176338,-0.2314,0.0178,-0.0823,0.246
0.180988,-0.2302,0.0177,-0.0991,0.251
0.187943,-0.2339,0.0199,-0.1086,0.259
0.190453,-0.2352,0.0269,-0.1132,0.262
0.195178,-0.2367,0.0338,-0.1082,0.262
0.200815,-0.2359,0.0430,-0.1008,0.260
0.204834,-0.2304,0.0497,-0.0886,0.252
0.209480,-0.2275,0.0564,-0.0741,0.246
0.214298,-0.2200,0.0677,-0.0595,0.238
0.219132,-0.2078,0.0789,-0.0473,0.227
0.224042,-0.1909,0.0876,-0.0375,0.213
0.229515,-0.1693,0.0890,-0.0252,0.193
0.233402,-0.1454,0.0880,-0.0152,0.171
0.238549,-0.1145,0.0844,-0.0028,0.142
0.242870,-0.0764,0.0832,0.0050,0.113
0.248202,-0.0409,0.0819,0.0152,0.093
0.252285,-0.0079,0.0758,0.0280,0.081
0.257042,0.0226,0.0578,0.0407,0.074
0.270242,0.0507,0.0375,0.0511,0.081
0.270727,0.0740,0.0125,0.0662,0.100
0.271133,0.0974,-0.0147,0.0812,0.128
0.276108,0.1184,-0.0441,0.0986,0.160
0.280761,0.1346,-0.0662,0.1182,0.191
0.285718,0.1509,-0.0857,0.1329,0.219
0.290421,0.1625,-0.1099,0.1427,0.243
0.295934,0.1789,-0.1291,0.1500,0.267
0.299686,0.1929,-0.1410,0.1546,0.285
0.304429,0.2067,-0.1575,0.1568,0.304
0.309185,0.2157,-0.1691,0.1566,0.316
0.313904,0.2245,-0.1758,0.1539,0.324
0.318787,0.2402,-0.1824,0.1488,0.336
0.323525,0.2554,-0.1866,0.1414,0.346
0.328438,0.2702,-0.1882,0.1364,0.356
0.333012,0.2918,-0.1898,0.1337,0.373
0.337541,0.3203,-0.1889,0.1357,0.396
0.342106,0.3555,-0.1951,0.1353,0.427
0.347562,0.3857,-0.2013,0.1420,0.458
0.351827,0.4204,-0.2099,0.1535,0.494
0.356547,0.4478,-0.2256,0.1651,0.528
0.361588,0.4775,-0.2388,0.1769,0.562
0.368699,0.5071,-0.2450,0.1887,0.594
0.370817,0.5413,-0.2584,0.1984,0.632
0.375615,0.5754,-0.2694,0.2036,0.667
0.380219,0.6094,-0.2782,0.2115,0.702
0.384916,0.6433,-0.2965,0.2125,0.740
0.389915,0.6773,-0.3220,0.2162,0.780
0.394516,0.7113,-0.3474,0.2227,0.822
0.399597,0.7430,-0.3729,0.2225,0.861
0.404217,0.7748,-0.4055,0.2249,0.903
0.408865,0.8041,-0.4403,0.2253,0.944
0.413535,0.8357,-0.4821,0.2236,0.990
0.418297,0.8695,-0.5260,0.2174,1.039
0.422934,0.9033,-0.5649,0.2068,1.085
0.427900,0.9368,-0.6036,0.1893,1.130
0.432853,0.9726,-0.6349,0.1673,1.173
0.437345,1.0083,-0.6684,0.1407,1.218
0.441872,1.0416,-0.7016,0.1096,1.261
0.448059,1.0726,-0.7322,0.0739,1.301
0.451385,1.0990,-0.7578,0.0312,1.335
0.456193,1.1183,-0.7714,-0.0183,1.359
0.461005,1.1307,-0.7824,-0.0701,1.377
0.466608,1.1360,-0.7886,-0.1192,1.388
0.471410,1.1366,-0.7852,-0.1658,1.391
0.475092,1.1206,-0.7746,-0.2050,1.378
0.479763,1.0950,-0.7617,-0.2415,1.356
0.484616,1.0597,-0.7369,-0.2754,1.320
0.489597,1.0149,-0.7076,-0.3066,1.275
0.494126,0.9650,-0.6783,-0.3327,1.226
0.498830,0.9148,-0.6445,-0.3515,1.173
0.503639,0.8642,-0.6036,-0.3678,1.116
0.508575,0.8204,-0.5535,-0.3837,1.061
0.513204,0.7784,-0.4895,-0.3993,1.003
0.518153,0.7479,-0.4283,-0.4147,0.956
0.522607,0.7192,-0.3604,-0.4201,0.907
0.527578,0.6970,-0.2882,-0.4252,0.866
0.532092,0.6837,-0.2190,-0.4228,0.833
0.536771,0.6721,-0.1552,-0.4175,0.806
0.541466,0.6647,-0.0942,-0.4165,0.790
0.547656,0.6637,-0.0504,-0.4176,0.786
0.551235,0.6669,-0.0117,-0.4182,0.787
0.555675,0.6766,0.0173,-0.4114,0.792
0.560779,0.6926,0.0507,-0.3994,0.801
0.568543,0.7128,0.0814,-0.3751,0.810
0.570507,0.7373,0.1165,-0.3457,0.823
0.575154,0.7661,0.1535,-0.3136,0.842
0.585503,0.7994,0.1853,-0.2835,0.868
0.586071,0.8301,0.2072,-0.2483,0.891
0.588893,0.8585,0.2239,-0.2154,0.913
0.593622,0.8847,0.2213,-0.1917,0.932
0.599982,0.9088,0.2043,-0.1703,0.947
0.603136,0.9286,0.1777,-0.1558,0.958
0.608095,0.9392,0.1465,-0.1485,0.962
0.613178,0.9407,0.1131,-0.1411,0.958
0.617788,0.9356,0.0846,-0.1432,0.950
0.622278,0.9238,0.0658,-0.1502,0.938
0.628801,0.9101,0.0495,-0.1644,0.926
0.632370,0.8921,0.0358,-0.1739,0.910
0.636793,0.8698,0.0222,-0.1788,0.888
0.641508,0.8502,0.0134,-0.1766,0.868
0.647509,0.8262,0.0072,-0.1771,0.845
0.650992,0.7955,0.0058,-0.1777,0.815
0.655657,0.7650,0.0068,-0.1785,0.786
0.660552,0.7301,0.0103,-0.1866,0.754
0.666031,0.6907,0.0163,-0.1973,0.719
0.670590,0.6515,0.0271,-0.2178,0.687
0.674580,0.6172,0.0475,-0.2363,0.663
0.685678,0.5877,0.0679,-0.2621,0.647
0.686473,0.5606,0.0884,-0.2883,0.637
0.688795,0.5382,0.1042,-0.3100,0.630
0.693910,0.5181,0.1130,-0.3320,0.626
0.701055,0.5002,0.1148,-0.3544,0.624
0.702935,0.4869,0.1169,-0.3773,0.627
0.708417,0.4735,0.1168,-0.3981,0.630
