time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.001008,-0.0443,0.0074,-0.0921,0.102
0.002515,-0.0138,0.0386,-0.1044,0.112
0.006952,-0.0049,0.0339,-0.1190,0.124
0.012499,0.0251,0.0507,-0.0813,0.099
0.016611,0.0193,0.0270,-0.0701,0.078
0.021288,0.0088,0.0107,-0.0139,0.020
0.026514,0.0291,-0.0388,0.0110,0.050
0.030824,0.0495,-0.0238,0.0334,0.064
0.035600,0.0697,-0.0374,0.0152,0.081
0.040611,0.0947,-0.0200,0.0208,0.099
0.044928,0.0863,-0.0313,0.0358,0.099
0.049678,0.0828,-0.0283,0.0508,0.101
0.056268,0.0724,-0.0325,0.0585,0.099
0.060709,0.0812,-0.0248,0.0543,0.101
0.064183,0.0948,-0.0219,0.0335,0.103
0.069163,0.0846,-0.0334,0.0486,0.103
0.073666,0.0674,-0.0352,0.0730,0.105
0.078271,0.0338,-0.0442,0.0972,0.112
0.083119,-0.0066,-0.0341,0.1189,0.124
0.087722,-0.0395,-0.0360,0.1145,0.126
0.092447,-0.0651,-0.0142,0.1291,0.145
0.097382,-0.0692,-0.0234,0.1200,0.141
0.102037,-0.0306,-0.0302,0.1157,0.123
0.106928,-0.0183,-0.0155,0.1211,0.123
0.111990,-0.0038,-0.0082,0.0980,0.098
0.116125,0.0059,-0.0222,0.0751,0.079
0.120943,0.0250,0.0018,0.0714,0.076
0.126342,0.0512,-0.0148,0.0560,0.077
0.130955,0.0725,-0.0217,0.0503,0.091
0.135381,0.0795,-0.0287,0.0541,0.100
0.141084,0.0580,-0.0308,0.0651,0.092
0.144793,0.0367,-0.0164,0.0618,0.074
0.149643,0.0488,0.0003,0.0490,0.069
0.154052,0.0371,-0.0021,0.0745,0.083
0.160615,0.0113,-0.0259,0.0999,0.104
0.163928,0.0095,-0.0116,0.0801,0.081
0.168319,0.0575,-0.0283,0.0842,0.106
0.173436,0.0435,-0.0188,0.0741,0.088
0.180973,0.0297,0.0097,0.0642,0.071
0.183009,0.0017,-0.0167,0.0567,0.059
0.188346,-0.0165,-0.0168,0.0588,0.063
0.192443,-0.0108,-0.0264,0.0776,0.083
0.196734,-0.0359,-0.0193,0.0558,0.069
0.201779,-0.0395,-0.0289,0.0390,0.063
0.206436,-0.0502,-0.0289,0.0342,0.067
0.211053,-0.0798,-0.0099,0.0247,0.084
0.215900,-0.0879,-0.0125,0.0129,0.090
0.221160,-0.0793,0.0017,0.0083,0.080
0.226362,-0.0946,-0.0175,-0.0010,0.096
0.229953,-0.1005,-0.0009,-0.0340,0.106
0.234889,-0.1112,0.0013,-0.0524,0.123
0.240705,-0.1053,0.0178,-0.0494,0.118
0.244262,-0.1068,0.0390,-0.0535,0.126
0.249266,-0.1178,0.0244,-0.0456,0.129
0.253648,-0.1288,0.0004,-0.0426,0.136
0.259684,-0.1209,0.0075,-0.0372,0.127
0.263402,-0.1133,0.0028,-0.0438,0.121
0.268020,-0.1034,-0.0114,-0.0337,0.109
0.272908,-0.1031,-0.0089,-0.0404,0.111
0.277871,-0.0863,0.0056,-0.0423,0.096
0.282890,-0.0698,0.0081,-0.0514,0.087
0.286867,-0.0487,0.0153,-0.0557,0.076
0.291821,-0.0493,0.0178,-0.0694,0.087
0.297880,-0.0570,0.0107,-0.0713,0.092
0.301073,-0.0694,0.0133,-0.0660,0.097
0.305649,-0.0748,0.0135,-0.0632,0.099
0.311261,-0.0540,0.0516,-0.0866,0.114
0.315360,-0.0549,0.0160,-0.0908,0.107
0.320779,-0.0535,0.0162,-0.0856,0.102
0.324868,-0.0593,0.0022,-0.0804,0.100
0.329577,-0.0343,0.0240,-0.0871,0.097
0.334494,-0.0237,0.0218,-0.0749,0.082
0.340596,-0.0371,0.0174,-0.0747,0.085
0.344136,-0.0100,0.0153,-0.0745,0.077
0.348926,0.0096,0.0015,-0.0577,0.059
0.354077,0.0125,0.0115,-0.0648,0.067
0.357909,0.0178,0.0214,-0.0720,0.077
0.362973,0.0278,0.0074,-0.0387,0.048
0.367779,0.0424,0.0008,-0.0247,0.049
0.372988,0.0428,-0.0154,-0.0393,0.060
0.381750,0.0790,0.0113,-0.0181,0.082
0.382019,0.1031,-0.0216,-0.0327,0.110
0.386350,0.1414,-0.0068,-0.0259,0.144
0.391308,0.1415,0.0008,-0.0287,0.144
0.395896,0.1464,0.0130,-0.0220,0.149
0.400822,0.1443,0.0061,-0.0225,0.146
0.405366,0.1162,0.0041,-0.0160,0.117
0.410050,0.0741,-0.0194,0.0167,0.078
0.415161,0.0846,-0.0355,0.0301,0.097
0.420831,0.0690,-0.0231,0.0198,0.075
0.424537,0.0631,-0.0321,0.0260,0.075
0.429161,0.0455,-0.0197,0.0346,0.060
0.433933,0.0471,0.0044,0.0171,0.050
0.438980,0.0251,-0.0002,0.0186,0.031
0.443941,0.0365,-0.0047,0.0321,0.049
0.448175,0.0431,-0.0164,0.0312,0.056
0.452967,0.0616,-0.0066,0.0304,0.069
0.457534,0.0871,-0.0372,0.0343,0.101
0.462628,0.0556,-0.0321,0.0215,0.068
0.467746,0.0600,-0.0127,0.0207,0.065
0.471791,0.0407,-0.0149,0.0294,0.052
0.479852,0.0287,-0.0194,0.0309,0.046
0.481733,0.0405,-0.0120,0.0182,0.046
0.486389,0.0522,0.0024,-0.0088,0.053
0.491269,0.0401,0.0262,-0.0118,0.049
0.495487,0.0139,0.0261,-0.0385,0.049
0.501518,0.0235,0.0426,-0.0341,0.059
0.505167,0.0236,0.0305,-0.0322,0.050
0.510314,0.0498,0.0208,-0.0302,0.062
0.514799,0.0356,-0.0362,-0.0165,0.053
0.520420,0.0357,-0.0548,-0.0195,0.068
0.524439,0.0335,-0.0662,0.0036,0.074
0.528874,0.0361,-0.0300,0.0099,0.048
0.533468,0.0457,-0.0060,0.0138,0.048
0.538484,0.0150,0.0013,0.0106,0.018
0.544169,0.0296,0.0250,0.0169,0.042
0.547812,0.0109,0.0130,0.0185,0.025
0.552845,0.0207,0.0295,0.0296,0.047
0.557322,0.0068,0.0221,0.0430,0.049
0.562222,0.0287,0.0172,0.0231,0.041
0.566732,0.0504,0.0076,0.0343,0.061
0.572217,0.0435,0.0074,0.0454,0.063
0.580597,0.0675,0.0216,0.0304,0.077
0.581621,0.0749,0.0118,0.0417,0.086
0.585855,0.0514,-0.0098,0.0576,0.078
0.591145,0.0162,-0.0217,0.0615,0.067
0.595345,-0.0068,-0.0027,0.0702,0.071
0.601123,-0.0176,0.0162,0.0741,0.078
0.605107,0.0000,0.0301,0.0591,0.066
0.610001,0.0080,0.0036,0.0537,0.054
0.615372,0.0040,-0.0037,0.0484,0.049
0.620996,-0.0118,-0.0158,0.0575,0.061
0.623777,-0.0393,-0.0135,0.0333,0.053
0.628663,-0.0287,0.0007,0.0497,0.057
0.633357,0.0033,0.0076,0.0399,0.041
0.638698,0.0302,0.0619,0.0419,0.081
0.644231,0.0545,0.0730,0.0369,0.098
0.647647,0.0336,0.0604,0.0272,0.074
0.652407,-0.0062,0.0359,-0.0014,0.036
0.656965,-0.0194,0.0282,-0.0131,0.037
0.662370,-0.0279,0.0135,-0.0271,0.041
0.666751,0.0065,-0.0034,-0.0220,0.023
0.671187,0.0145,-0.0036,-0.0264,0.030
0.684059,0.0437,0.0152,-0.0308,0.056
0.684923,0.0656,-0.0231,-0.0614,0.093
0.685430,0.0352,-0.0137,-0.0704,0.080
0.690391,0.0455,-0.0304,-0.0889,0.104
0.700120,0.0439,-0.0565,-0.0954,0.119
0.701130,0.0304,-0.0586,-0.1138,0.132
0.704220,0.0099,-0.0630,-0.1250,0.140
