time,gFx,gFy,gFz,TgF
8.0276E-4,-0.1231,1.0052,-0.0037,1.013
0.001018698,-0.1223,1.0045,-0.0024,1.012
0.004807031,-0.1218,1.0030,-0.0054,1.010
0.005547865,-0.1209,1.0021,-0.0063,1.009
0.008034531,-0.1209,0.9984,-0.0076,1.006
0.010295781,-0.1184,1.0001,-0.0076,1.007
0.012813021,-0.1174,0.9989,-0.0083,1.006
0.015171146,-0.1165,0.9999,-0.0066,1.007
0.018657188,-0.1170,0.9996,-0.0066,1.006
0.02010776,-0.1192,0.9994,-0.0051,1.006
0.022311667,-0.1204,1.0006,-0.0049,1.008
0.024427969,-0.1231,0.9991,-0.0037,1.007
0.026739219,-0.1257,1.0006,-0.0020,1.008
0.030014531,-0.1248,1.0006,-0.0024,1.008
0.031806667,-0.1245,0.9984,-0.0015,1.006
0.034119688,-0.1243,0.9981,-0.0005,1.006
0.036682188,-0.1231,0.9972,0.0007,1.005
0.038902135,-0.1209,0.9969,-0.0010,1.004
0.041170625,-0.1214,0.9981,-0.0007,1.005
0.044543385,-0.1223,0.9969,-0.0005,1.004
0.045900938,-0.1233,0.9957,0.0007,1.003
0.04831526,-0.1233,0.9960,-0.0002,1.004
0.050884219,-0.1233,0.9945,0.0000,1.002
0.053175,-0.1231,0.9960,0.0005,1.004
0.055555521,-0.1238,0.9942,-0.0015,1.002
0.05772526,-0.1233,0.9960,0.0000,1.004
0.06005875,-0.1228,0.9950,0.0012,1.003
0.062481042,-0.1226,0.9960,0.0024,1.003
0.065087396,-0.1231,0.9952,0.0012,1.003
0.067338594,-0.1231,0.9952,0.0012,1.003
0.069730052,-0.1221,0.9967,0.0012,1.004
0.071895156,-0.1214,0.9972,0.0000,1.005
0.074285417,-0.1223,0.9989,-0.0005,1.006
0.076679844,-0.1209,0.9989,-0.0012,1.006
0.080225677,-0.1196,1.0006,-0.0012,1.008
0.081438438,-0.1182,1.0001,-0.0027,1.007
0.084735938,-0.1194,1.0003,-0.0024,1.007
0.086411927,-0.1192,1.0018,-0.0022,1.009
0.088618177,-0.1196,1.0008,-0.0020,1.008
0.091152656,-0.1211,1.0028,-0.0012,1.010
0.093183594,-0.1187,1.0008,-0.0015,1.008
0.096265573,-0.1192,0.9989,-0.0027,1.006
0.09834776,-0.1209,0.9986,-0.0029,1.006
0.100617917,-0.1209,0.9986,-0.0046,1.006
0.104023594,-0.1199,0.9974,-0.0034,1.005
0.105169948,-0.1214,0.9972,-0.0012,1.005
0.107875781,-0.1214,0.9967,0.0000,1.004
0.109990208,-0.1199,0.9972,0.0005,1.004
0.112706667,-0.1196,0.9962,0.0000,1.003
0.114834219,-0.1196,0.9962,-0.0017,1.003
0.117517552,-0.1184,0.9967,0.0005,1.004
0.119506302,-0.1184,0.9964,0.0024,1.003
0.122093229,-0.1187,0.9947,0.0027,1.002
0.124396146,-0.1194,0.9942,0.0042,1.001
0.126422969,-0.1196,0.9952,0.0044,1.002
0.129308229,-0.1235,0.9962,0.0054,1.004
0.131345156,-0.1243,0.9957,0.0061,1.003
0.133751198,-0.1233,0.9974,0.0059,1.005
0.135996771,-0.1216,0.9984,0.0042,1.006
0.138272917,-0.1192,1.0003,0.0042,1.007
0.140604219,-0.1201,1.0023,0.0032,1.009
0.144478438,-0.1189,1.0043,0.0042,1.011
0.146222917,-0.1184,1.0050,0.0020,1.012
0.147944219,-0.1177,1.0062,0.0005,1.013
0.150609167,-0.1162,1.0040,0.0007,1.011
0.152538542,-0.1160,1.0033,0.0000,1.010
0.155169948,-0.1157,1.0043,-0.0012,1.011
0.15721349,-0.1152,1.0035,-0.0022,1.010
0.159817969,-0.1160,1.0021,-0.0012,1.009
0.162515365,-0.1172,1.0008,-0.0007,1.008
0.164724844,-0.1160,1.0011,0.0000,1.008
0.16683599,-0.1165,0.9989,-0.0015,1.006
0.169324219,-0.1182,0.9996,-0.0002,1.007
0.171585312,-0.1192,1.0006,0.0010,1.008
0.174419375,-0.1209,1.0018,0.0002,1.009
0.176200781,-0.1196,1.0038,0.0005,1.011
0.178726562,-0.1196,1.0018,0.0015,1.009
0.180979167,-0.1204,1.0021,0.0012,1.009
0.184647187,-0.1204,1.0013,0.0002,1.009
0.185720156,-0.1196,0.9994,0.0012,1.007
0.188281667,-0.1199,0.9996,0.0027,1.007
0.190480573,-0.1201,0.9986,0.0042,1.006
0.193011198,-0.1199,0.9967,0.0068,1.004
0.195428125,-0.1172,0.9947,0.0076,1.002
0.197677812,-0.1184,0.9935,0.0083,1.001
0.200133229,-0.1172,0.9942,0.0093,1.001
0.202552865,-0.1148,0.9952,0.0098,1.002
0.204717292,-0.1145,0.9964,0.0078,1.003
0.207374844,-0.1165,0.9979,0.0063,1.005
0.209731979,-0.1160,0.9991,0.0068,1.006
0.211849271,-0.1165,0.9989,0.0078,1.006
0.214409062,-0.1162,0.9964,0.0100,1.003
0.21682349,-0.1177,0.9964,0.0110,1.003
0.219019375,-0.1182,0.9940,0.0122,1.001
0.221589687,-0.1179,0.9930,0.0166,1.000
0.224500521,-0.1194,0.9913,0.0198,0.999
0.226248333,-0.1209,0.9881,0.0242,0.996
0.22843151,-0.1182,0.9852,0.0271,0.993
0.231074948,-0.1148,0.9818,0.0266,0.989
0.233248229,-0.1157,0.9818,0.0254,0.989
0.235812083,-0.1138,0.9837,0.0239,0.991
0.237903542,-0.1106,0.9872,0.0200,0.994
0.240440573,-0.1062,0.9916,0.0178,0.997
0.243805469,-0.1018,0.9979,0.0154,1.003
0.245169792,-0.0984,1.0030,0.0137,1.008
0.247392604,-0.0930,1.0094,0.0107,1.014
0.249825365,-0.0899,1.0113,0.0063,1.015
0.25204651,-0.0908,1.0155,0.0037,1.020
0.254406198,-0.0918,1.0167,0.0027,1.021
0.256876354,-0.0962,1.0167,0.0015,1.021
0.259297396,-0.1021,1.0135,0.0027,1.019
0.261507656,-0.1072,1.0084,0.0061,1.014
0.264575208,-0.1113,1.0040,0.0081,1.010
0.266563073,-0.1145,1.0018,0.0103,1.008
0.269138229,-0.1182,0.9979,0.0120,1.005
0.271306042,-0.1209,0.9964,0.0129,1.004
0.273564115,-0.1235,0.9974,0.0149,1.005
0.275887083,-0.1245,0.9981,0.0159,1.006
0.278314271,-0.1257,1.0008,0.0159,1.009
0.280606094,-0.1257,1.0025,0.0144,1.011
0.284822031,-0.1235,1.0052,0.0139,1.013
0.285399427,-0.1201,1.0057,0.0122,1.013
0.287812135,-0.1162,1.0030,0.0110,1.010
0.290013229,-0.1150,1.0011,0.0110,1.008
0.292502083,-0.1135,0.9979,0.0129,1.004
0.294727344,-0.1135,0.9957,0.0132,1.002
0.297300156,-0.1138,0.9940,0.0117,1.001
0.29989474,-0.1106,0.9930,0.0090,0.999
0.302288698,-0.1094,0.9940,0.0073,1.000
0.304461094,-0.1074,0.9962,0.0066,1.002
0.30681401,-0.1040,0.9974,0.0066,1.003
0.308951823,-0.0989,0.9974,0.0083,1.002
0.311671823,-0.0957,1.0003,0.0105,1.005
0.313926042,-0.0923,1.0003,0.0105,1.005
0.316502344,-0.0911,0.9996,0.0095,1.004
0.31872026,-0.0879,0.9989,0.0095,1.003
0.32090099,-0.0850,0.9994,0.0076,1.003
0.324573385,-0.0818,1.0003,0.0039,1.004
0.325581042,-0.0791,0.9999,0.0029,1.003
0.32801651,-0.0784,1.0011,0.0010,1.004
0.330955417,-0.0784,0.9996,0.0007,1.003
0.33301474,-0.0791,0.9994,0.0015,1.002
0.335375677,-0.0789,0.9969,0.0027,1.000
0.337376719,-0.0769,0.9942,0.0015,0.997
0.339916042,-0.0776,0.9933,0.0022,0.996
0.342134271,-0.0803,0.9928,0.0012,0.996
0.344847396,-0.0820,0.9918,0.0017,0.995
0.347040625,-0.0850,0.9942,0.0034,0.998
0.349598177,-0.0869,0.9962,0.0081,1.000
0.351828854,-0.0879,1.0021,0.0105,1.006
0.354034896,-0.0894,1.0043,0.0139,1.008
0.356481562,-0.0918,1.0057,0.0168,1.010
0.359129479,-0.0940,1.0084,0.0178,1.013
0.361143385,-0.0938,1.0086,0.0183,1.013
0.364718177,-0.0913,1.0101,0.0190,1.014
0.365934531,-0.0872,1.0101,0.0171,1.014
0.368370312,-0.0833,1.0101,0.0144,1.014
0.370634479,-0.0781,1.0106,0.0100,1.014
0.372968021,-0.0750,1.0138,0.0085,1.017
0.375387708,-0.0732,1.0162,0.0068,1.019
0.377971094,-0.0723,1.0162,0.0046,1.019
0.380382448,-0.0728,1.0162,0.0015,1.019
0.382705677,-0.0723,1.0150,-0.0027,1.018
0.385265781,-0.0732,1.0121,-0.0051,1.015
0.387331302,-0.0730,1.0091,-0.0085,1.012
0.389551667,-0.0759,1.0067,-0.0085,1.010
0.391822864,-0.0779,1.0060,-0.0103,1.009
0.394298229,-0.0818,1.0047,-0.0100,1.008
0.396852552,-0.0857,1.0045,-0.0088,1.008
0.399085,-0.0913,1.0047,-0.0088,1.009
0.401404427,-0.0952,1.0091,-0.0073,1.014
0.404249948,-0.0972,1.0123,-0.0066,1.017
0.406082448,-0.0942,1.0160,-0.0071,1.020
0.408534531,-0.0940,1.0172,-0.0078,1.022
0.411524739,-0.0918,1.0167,-0.0068,1.021
0.413324792,-0.0877,1.0172,-0.0083,1.021
0.415901927,-0.0806,1.0152,-0.0105,1.018
0.418249219,-0.0723,1.0126,-0.0117,1.015
0.420649948,-0.0657,1.0079,-0.0134,1.010
0.424021719,-0.0630,1.0028,-0.0142,1.005
0.425312864,-0.0610,0.9989,-0.0146,1.001
0.427683125,-0.0606,0.9962,-0.0137,0.998
0.430350364,-0.0601,0.9942,-0.0149,0.996
0.43234375,-0.0620,0.9911,-0.0178,0.993
0.435260937,-0.0601,0.9881,-0.0190,0.990
0.437129635,-0.0606,0.9872,-0.0198,0.989
0.439608802,-0.0620,0.9864,-0.0210,0.989
0.441734375,-0.0657,0.9857,-0.0222,0.988
0.445214271,-0.0686,0.9852,-0.0232,0.988
0.446693594,-0.0706,0.9847,-0.0230,0.988
0.448997292,-0.0698,0.9815,-0.0215,0.984
0.451297552,-0.0706,0.9776,-0.0203,0.980
0.453795573,-0.0715,0.9732,-0.0208,0.976
0.45602,-0.0732,0.9720,-0.0222,0.975
0.458379583,-0.0779,0.9701,-0.0230,0.973
0.460914739,-0.0855,0.9737,-0.0220,0.978
0.46467026,-0.0930,0.9754,-0.0200,0.980
0.465676302,-0.1004,0.9769,-0.0190,0.982
0.468161667,-0.1094,0.9779,-0.0168,0.984
0.470532864,-0.1174,0.9801,-0.0154,0.987
0.472550156,-0.1253,0.9811,-0.0168,0.989
0.475143958,-0.1292,0.9813,-0.0154,0.990
0.47740526,-0.1326,0.9835,-0.0146,0.993
0.481463021,-0.1340,0.9869,-0.0173,0.996
0.482474792,-0.1355,0.9918,-0.0225,1.001
0.484688229,-0.1355,0.9972,-0.0303,1.007
0.486951823,-0.1348,1.0023,-0.0376,1.012
0.4892225,-0.1336,1.0043,-0.0449,1.014
0.49151125,-0.1309,1.0079,-0.0523,1.018
0.49397151,-0.1294,1.0069,-0.0586,1.017
0.496761823,-0.1262,1.0065,-0.0649,1.016
0.499170729,-0.1275,1.0067,-0.0691,1.017
