time,gFx,gFy,gFz,TgF
4.68803E-4,-0.1636,0.9930,-0.0054,1.006
0.001504688,-0.1709,0.9920,-0.0039,1.007
0.003663334,-0.1765,0.9920,0.0000,1.008
0.00631573,-0.1809,0.9896,0.0012,1.006
0.008520834,-0.1824,0.9889,0.0024,1.006
0.01059474,-0.1812,0.9886,0.0024,1.005
0.013448907,-0.1787,0.9906,0.0007,1.007
0.01567823,-0.1775,0.9891,0.0015,1.005
0.017837917,-0.1765,0.9884,-0.0012,1.004
0.020265625,-0.1765,0.9879,-0.0027,1.004
0.023811511,-0.1770,0.9876,-0.0024,1.003
0.024969584,-0.1795,0.9876,-0.0027,1.004
0.027147032,-0.1797,0.9901,-0.0027,1.006
0.030724532,-0.1802,0.9923,0.0007,1.009
0.031952448,-0.1802,0.9930,0.0029,1.009
0.034554584,-0.1773,0.9950,0.0056,1.011
0.0368725,-0.1719,0.9967,0.0068,1.011
0.039241303,-0.1675,0.9989,0.0024,1.013
0.041427188,-0.1636,1.0011,-0.0024,1.014
0.044129636,-0.1611,1.0016,-0.0068,1.014
0.046889167,-0.1587,1.0013,-0.0105,1.014
0.048709115,-0.1577,0.9996,-0.0125,1.012
0.051199948,-0.1621,0.9984,-0.0120,1.012
0.053335573,-0.1643,0.9967,-0.0103,1.010
0.055749063,-0.1633,0.9960,-0.0076,1.009
0.058489167,-0.1607,0.9967,-0.0051,1.010
0.060464844,-0.1577,0.9960,-0.0068,1.008
0.064451615,-0.1587,0.9950,-0.0093,1.008
0.06553224,-0.1592,0.9960,-0.0122,1.009
0.067760105,-0.1604,0.9957,-0.0139,1.009
0.069895938,-0.1624,0.9950,-0.0129,1.008
0.072474063,-0.1629,0.9955,-0.0137,1.009
0.07461349,-0.1631,0.9933,-0.0132,1.007
0.07721099,-0.1621,0.9896,-0.0103,1.003
0.080520834,-0.1614,0.9891,-0.0090,1.002
0.082006146,-0.1653,0.9879,-0.0085,1.002
0.084316355,-0.1695,0.9898,-0.0068,1.004
0.086615834,-0.1714,0.9920,-0.0071,1.007
0.088916667,-0.1721,0.9930,-0.0063,1.008
0.092022396,-0.1709,0.9913,-0.0068,1.006
0.093783282,-0.1699,0.9938,-0.0068,1.008
0.096912969,-0.1685,0.9947,-0.0093,1.009
0.098318855,-0.1655,0.9942,-0.0103,1.008
0.100963073,-0.1619,0.9974,-0.0107,1.011
0.10396198,-0.1590,1.0001,-0.0122,1.013
0.105676927,-0.1560,0.9989,-0.0146,1.011
0.107871459,-0.1570,0.9979,-0.0156,1.010
0.110385157,-0.1572,0.9977,-0.0146,1.010
0.113086875,-0.1594,0.9979,-0.0149,1.011
0.115491771,-0.1590,0.9981,-0.0137,1.011
0.117510105,-0.1570,0.9986,-0.0134,1.011
0.120018542,-0.1570,0.9979,-0.0125,1.010
0.123227709,-0.1582,0.9972,-0.0110,1.010
0.124572865,-0.1582,0.9960,-0.0103,1.008
0.126797344,-0.1592,0.9952,-0.0093,1.008
0.129489532,-0.1592,0.9928,-0.0100,1.006
0.13171948,-0.1604,0.9901,-0.0085,1.003
0.13419849,-0.1604,0.9891,-0.0061,1.002
0.136429948,-0.1614,0.9916,-0.0054,1.005
0.138725365,-0.1643,0.9898,-0.0063,1.003
0.141136771,-0.1675,0.9906,-0.0068,1.005
0.143857709,-0.1677,0.9889,-0.0066,1.003
0.146166719,-0.1658,0.9869,-0.0081,1.001
0.148660886,-0.1655,0.9852,-0.0076,0.999
0.150912761,-0.1655,0.9847,-0.0061,0.999
0.153555365,-0.1633,0.9823,-0.0051,0.996
0.155229896,-0.1626,0.9825,-0.0037,0.996
0.157609271,-0.1643,0.9813,-0.0017,0.995
0.160078386,-0.1658,0.9808,0.0000,0.995
0.164353073,-0.1651,0.9820,0.0015,0.996
0.164902136,-0.1648,0.9825,0.0020,0.996
0.167217709,-0.1653,0.9828,0.0022,0.997
0.169722709,-0.1682,0.9847,0.0022,0.999
0.171869063,-0.1670,0.9852,0.0022,0.999
0.174238646,-0.1648,0.9869,0.0020,1.001
0.176701459,-0.1651,0.9842,0.0020,0.998
