time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.001139,0.2909,-0.0747,0.0554,0.305
0.002093,0.3539,-0.0152,-0.0369,0.356
0.006827,0.3525,0.0296,-0.0717,0.361
0.011635,0.2775,0.0290,-0.0615,0.286
0.016348,0.1273,0.0071,-0.0279,0.130
0.022264,-0.0194,-0.0121,0.0218,0.032
0.025994,-0.1460,-0.0478,0.0402,0.159
0.030715,-0.2383,-0.0712,0.0442,0.253
0.035297,-0.2232,-0.0993,0.0458,0.249
0.041111,-0.1847,-0.0962,0.0167,0.209
0.045046,-0.1371,-0.1288,-0.0192,0.189
0.049590,-0.0521,-0.1421,-0.0333,0.155
0.054336,0.0155,-0.1363,-0.0731,0.155
0.059118,0.0516,-0.1307,-0.0650,0.155
0.063688,0.0234,-0.1014,-0.0711,0.126
0.068676,-0.0213,-0.0889,-0.0676,0.114
0.073241,-0.0419,-0.0908,-0.0524,0.113
0.077965,-0.0412,-0.0522,-0.0089,0.067
0.082872,-0.0572,-0.0424,-0.0109,0.072
0.088713,-0.0187,-0.0374,0.0322,0.053
0.092350,0.0243,-0.0277,0.0227,0.043
0.101392,0.0454,-0.0726,0.0251,0.089
0.102098,0.0877,-0.0863,0.0322,0.127
0.106730,0.0753,-0.1023,0.0179,0.128
0.111444,0.0346,-0.1062,0.0107,0.112
0.117720,-0.0079,-0.0959,0.0059,0.096
0.120640,-0.0310,-0.0786,-0.0084,0.085
0.125354,-0.0491,-0.0734,-0.0013,0.088
0.130008,-0.0598,-0.0705,-0.0014,0.092
0.135155,-0.0538,-0.0937,-0.0134,0.109
0.147064,-0.0738,-0.1002,-0.0040,0.125
0.147568,-0.0961,-0.0971,-0.0112,0.137
0.148956,-0.0827,-0.0608,-0.0232,0.105
0.155171,-0.1003,-0.0485,-0.0423,0.119
0.158812,-0.0845,-0.0433,-0.0660,0.116
0.163311,-0.0546,-0.0359,-0.0706,0.096
0.168000,-0.0370,-0.0285,-0.0608,0.077
0.172833,-0.0124,-0.0425,-0.0273,0.052
0.177614,0.0214,-0.0138,-0.0129,0.029
0.182361,0.0310,0.0052,-0.0270,0.041
0.187033,0.0809,0.0075,-0.0195,0.084
0.191671,0.1042,-0.0259,-0.0119,0.108
0.196528,0.1107,-0.0876,-0.0043,0.141
0.201577,0.0889,-0.1606,0.0200,0.185
0.206297,0.0554,-0.2047,0.0300,0.214
0.210751,0.0224,-0.3030,0.0472,0.307
0.216678,0.0087,-0.3815,0.0620,0.387
0.220394,0.0405,-0.5164,0.0908,0.526
0.224935,0.0604,-0.6810,0.1336,0.697
0.230326,0.1088,-0.7945,0.1569,0.817
0.234826,0.1739,-0.9023,0.1991,0.940
0.239243,0.2625,-0.9856,0.2029,1.040
0.243892,0.3556,-1.0493,0.1996,1.126
0.248694,0.4247,-1.1078,0.2010,1.203
0.254644,0.4820,-1.1564,0.1952,1.268
0.258278,0.5253,-1.1762,0.1655,1.299
0.263440,0.5357,-1.2434,0.1668,1.364
0.267836,0.5562,-1.3031,0.1513,1.425
0.272472,0.5794,-1.3765,0.1761,1.504
0.277357,0.5674,-1.3972,0.1864,1.519
0.281907,0.5866,-1.3418,0.2108,1.480
0.286771,0.5822,-1.2965,0.2162,1.438
0.291635,0.6018,-1.2279,0.2407,1.388
0.296687,0.6405,-1.1505,0.2367,1.338
0.301003,0.6792,-1.0597,0.2141,1.277
0.305721,0.7131,-0.9579,0.1825,1.208
0.310275,0.7066,-0.8428,0.1158,1.106
0.315249,0.7620,-0.7098,0.0262,1.042
0.319772,0.8362,-0.5946,-0.0600,1.028
0.324774,0.9387,-0.4853,-0.1620,1.069
