time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.001219,-0.0465,0.0472,0.0455,0.080
0.001505,-0.3189,0.0966,0.0336,0.335
0.007996,-0.8677,0.0602,0.0740,0.873
0.013858,-0.0180,-0.0780,0.0047,0.080
0.015424,0.0041,-0.1152,0.0284,0.119
0.020153,-0.0599,-0.0336,-0.0025,0.069
0.026952,0.1541,-0.0784,-0.0426,0.178
0.030633,0.2693,-0.0967,-0.0492,0.290
0.034796,0.1132,-0.0437,-0.0581,0.135
0.038997,-0.0324,-0.0006,-0.0384,0.050
0.044189,-0.0960,-0.0006,-0.0213,0.098
0.049813,-0.0690,0.0066,0.0621,0.093
0.053616,-0.0706,0.0065,0.0523,0.088
0.058968,-0.0295,-0.0172,0.0450,0.056
0.062904,0.0184,0.0280,-0.0121,0.036
0.067834,0.0564,0.0207,-0.0213,0.064
0.072240,0.0324,0.0110,0.0170,0.038
0.077932,0.0276,-0.0033,0.0053,0.028
0.082044,-0.0009,0.0110,0.0221,0.025
0.087208,-0.0290,0.0062,0.0316,0.043
0.091586,-0.0238,0.0157,0.0126,0.031
0.096915,-0.0114,0.0037,0.0009,0.012
0.100962,-0.0040,-0.0082,-0.0083,0.012
0.107072,0.0176,0.0109,0.0158,0.026
0.110462,0.0296,-0.0058,-0.0078,0.031
0.115182,0.0059,-0.0034,-0.0241,0.025
0.119848,0.0037,0.0062,0.0025,0.008
0.124384,-0.0221,0.0133,0.0122,0.029
0.129364,0.0234,-0.0105,-0.0161,0.030
0.133916,0.0378,-0.0128,-0.0205,0.045
0.138802,0.0569,-0.0150,-0.0273,0.065
0.143532,0.0497,-0.0078,-0.0530,0.073
0.148384,0.0188,0.0089,-0.0571,0.061
0.153618,0.0190,-0.0077,-0.0446,0.049
0.157768,-0.0140,-0.0100,-0.0038,0.018
0.162636,-0.0301,0.0020,-0.0107,0.032
0.167374,-0.0365,0.0020,-0.0011,0.037
0.172278,0.0117,0.0091,-0.0130,0.020
0.177393,0.0192,0.0209,-0.0294,0.041
0.181750,0.0266,-0.0077,-0.0411,0.050
0.187250,0.0552,0.0066,-0.0241,0.061
0.191526,0.0339,0.0422,-0.0382,0.066
0.195595,-0.0015,0.0300,-0.0189,0.035
0.202156,-0.0034,0.0203,0.0026,0.021
0.207378,0.0018,0.0012,-0.0046,0.005
0.210882,-0.0263,-0.0012,0.0121,0.029
0.215323,-0.0304,-0.0225,0.0309,0.049
0.219230,-0.0226,-0.0104,0.0259,0.036
0.223921,0.0041,-0.0293,0.0091,0.031
0.228968,0.0021,-0.0291,0.0185,0.035
0.234783,0.0142,0.0258,-0.0030,0.030
0.239476,0.0098,0.0256,-0.0123,0.030
0.243960,0.0171,0.0325,0.0139,0.039
0.248198,-0.0017,0.0038,0.0352,0.035
0.252878,-0.0394,-0.0128,0.0183,0.045
0.257663,-0.0436,-0.0269,0.0087,0.052
0.271384,-0.0264,-0.0077,0.0206,0.034
0.271656,-0.0164,0.0137,0.0038,0.022
0.271807,-0.0541,0.0207,-0.0104,0.059
0.277180,-0.0535,0.0229,-0.0102,0.059
0.282222,-0.0293,-0.0010,-0.0315,0.043
0.287878,-0.0218,0.0038,-0.0169,0.028
