time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.001149,0.0354,-0.0632,-0.0680,0.099
0.004112,0.0500,-0.0531,-0.0600,0.094
0.008257,0.0526,-0.0383,-0.0521,0.083
0.013785,0.0554,-0.0284,-0.0419,0.075
0.017638,0.0533,-0.0209,-0.0294,0.064
0.021933,0.0514,-0.0135,-0.0218,0.057
0.027768,0.0471,-0.0037,-0.0165,0.050
0.032446,0.0428,0.0059,-0.0113,0.045
0.036816,0.0338,0.0202,-0.0180,0.043
0.041287,0.0130,0.0296,-0.0247,0.041
0.045668,-0.0054,0.0390,-0.0289,0.049
0.050778,-0.0261,0.0364,-0.0285,0.053
0.055698,-0.0324,0.0291,-0.0232,0.049
0.060931,-0.0315,0.0218,-0.0180,0.042
0.064608,-0.0260,0.0122,-0.0128,0.031
0.070361,-0.0181,0.0098,-0.0076,0.022
0.074594,-0.0102,0.0051,-0.0072,0.013
0.079205,0.0000,0.0028,0.0002,0.003
0.083940,0.0102,0.0005,0.0101,0.014
0.088879,0.0180,0.0054,0.0151,0.024
0.093879,0.0234,0.0078,0.0129,0.028
0.097702,0.0266,0.0031,0.0132,0.030
0.102849,0.0322,-0.0062,0.0111,0.035
0.108544,0.0401,-0.0084,0.0114,0.042
0.112922,0.0528,-0.0177,0.0093,0.056
0.117181,0.0631,-0.0173,0.0025,0.065
0.121501,0.0662,-0.0170,0.0029,0.068
0.126251,0.0623,-0.0190,0.0009,0.065
0.131240,0.0538,-0.0211,-0.0058,0.058
0.135783,0.0429,-0.0254,-0.0149,0.052
0.140455,0.0369,-0.0179,-0.0120,0.043
0.145926,0.0284,-0.0057,-0.0211,0.036
0.150526,0.0224,-0.0007,-0.0229,0.032
0.154678,0.0189,0.0066,-0.0200,0.028
0.159657,0.0106,0.0138,-0.0123,0.021
0.165400,-0.0001,0.0210,-0.0023,0.021
0.168929,-0.0059,0.0210,-0.0019,0.022
0.173721,-0.0094,0.0258,-0.0062,0.028
0.185781,-0.0105,0.0257,-0.0057,0.028
0.186317,-0.0021,0.0233,-0.0099,0.025
0.188153,0.0111,0.0186,-0.0189,0.029
0.192958,0.0170,0.0186,-0.0136,0.029
0.198304,0.0110,0.0210,-0.0083,0.025
0.203077,0.0075,0.0210,-0.0078,0.024
0.208621,0.0159,0.0187,-0.0049,0.025
0.212834,0.0313,0.0092,-0.0091,0.034
0.216425,0.0467,0.0046,-0.0085,0.048
0.221229,0.0620,0.0095,-0.0031,0.063
0.226072,0.0654,0.0144,-0.0025,0.067
0.230692,0.0617,0.0169,0.0005,0.064
0.235409,0.0558,0.0052,0.0035,0.056
0.240144,0.0548,-0.0041,0.0065,0.055
0.246010,0.0564,-0.0133,0.0047,0.058
0.249580,0.0629,-0.0152,0.0076,0.065
0.254324,0.0718,-0.0172,0.0129,0.075
0.259337,0.0783,-0.0143,0.0015,0.080
0.263859,0.0944,-0.0162,-0.0098,0.096
0.268614,0.1058,-0.0205,-0.0115,0.108
0.273780,0.1029,-0.0247,-0.0180,0.107
0.278205,0.0955,-0.0265,-0.0197,0.101
0.287292,0.0811,-0.0306,-0.0167,0.088
0.287883,0.0741,-0.0323,-0.0113,0.082
0.292114,0.0671,-0.0269,-0.0083,0.073
0.298048,0.0674,-0.0262,-0.0076,0.073
0.302790,0.0632,-0.0208,-0.0094,0.067
0.307760,0.0638,-0.0225,-0.0087,0.068
0.311572,0.0597,-0.0290,-0.0057,0.067
0.316053,0.0535,-0.0401,-0.0004,0.067
0.320709,0.0381,-0.0606,0.0023,0.072
0.325595,0.0161,-0.0857,0.0047,0.087
0.330820,-0.0218,-0.1177,0.0140,0.121
0.335256,-0.0613,-0.1683,0.0372,0.183
0.339624,-0.0737,-0.2255,0.0672,0.247
0.344478,-0.0069,-0.2727,0.1066,0.293
0.349514,0.1645,-0.2909,0.1078,0.351
0.354577,0.4016,-0.2543,0.0475,0.478
0.359435,0.6183,-0.1728,-0.0526,0.644
0.369260,0.7269,-0.0706,-0.1233,0.741
0.369887,0.7164,0.0214,-0.1245,0.727
0.373793,0.6379,0.0961,-0.0829,0.650
0.377471,0.5344,0.1394,-0.0490,0.554
0.382919,0.4249,0.1562,-0.0273,0.453
0.394031,0.3475,0.1706,-0.0178,0.388
0.395989,0.2996,0.1872,-0.0179,0.354
0.396807,0.2621,0.2014,-0.0229,0.331
0.401356,0.2251,0.2084,-0.0280,0.308
0.407051,0.1960,0.1941,-0.0332,0.278
0.411612,0.1722,0.1609,-0.0363,0.238
0.416065,0.1610,0.1209,-0.0394,0.205
0.420236,0.1812,0.0814,-0.0450,0.204
0.425536,0.2281,0.0518,-0.0458,0.238
0.430170,0.2847,0.0296,-0.0658,0.294
0.434724,0.3413,0.0409,-0.1171,0.363
0.439250,0.4603,0.0878,-0.1181,0.483
0.444324,0.6150,0.1370,-0.0760,0.635
0.448638,0.7337,0.1883,-0.0743,0.761
0.454313,0.8452,0.2298,-0.0776,0.879
0.458342,0.9334,0.2641,-0.0760,0.973
0.464978,0.9724,0.2746,-0.0743,1.013
0.468717,0.9841,0.2568,-0.0893,1.021
0.473683,0.9813,0.2229,-0.1237,1.014
0.477214,0.9810,0.2062,-0.1750,1.018
0.483250,0.9923,0.2161,-0.2049,1.036
0.487179,1.0414,0.2217,-0.2179,1.087
0.491605,1.1327,0.2039,-0.2380,1.175
0.497519,1.2420,0.1677,-0.2769,1.284
0.501060,1.3951,0.1063,-0.2912,1.429
0.505795,1.5964,0.0079,-0.2925,1.623
0.511161,1.7764,-0.1057,-0.3471,1.813
0.516273,1.8900,-0.2107,-0.4213,1.948
0.519728,1.9136,-0.2858,-0.4820,1.994
0.524506,1.8523,-0.3244,-0.5152,1.950
0.530621,1.7183,-0.3386,-0.4974,1.821
0.534362,1.5525,-0.3500,-0.4359,1.650
0.539462,1.3528,-0.3703,-0.3404,1.443
0.543860,1.0884,-0.3972,-0.2274,1.181
0.548404,0.7306,-0.4212,-0.0947,0.849
0.553121,0.3152,-0.4426,0.0522,0.546
0.558028,-0.1147,-0.4567,0.2010,0.512
0.571012,-0.5235,-0.4611,0.3251,0.770
0.572228,-0.8706,-0.4514,0.4097,1.063
0.572798,-1.1417,-0.4179,0.5069,1.317
0.578709,-1.3397,-0.3775,0.6360,1.530
0.586067,-1.4701,-0.3302,0.7448,1.681
0.587425,-1.4884,-0.2808,0.8197,1.722
0.591032,-1.1231,-0.2308,1.1113,1.597
0.596571,-0.5556,-0.3766,0.9924,1.198
0.600648,-0.1903,-0.4694,0.7887,0.937
0.605279,-0.0152,-0.5621,0.7105,0.906
0.609712,-0.0685,-0.5877,0.6597,0.886
0.614765,-0.3019,-0.6540,0.6958,1.001
0.620632,-0.5840,-0.6054,0.8282,1.180
0.624437,-0.7376,-0.5379,0.9540,1.320
0.630615,-0.7702,-0.5015,0.9272,1.306
0.634101,-0.6745,-0.4939,0.8888,1.220
0.639438,-0.5604,-0.5459,0.8846,1.181
0.643761,-0.5140,-0.5907,0.8379,1.147
0.649230,-0.3175,-0.7309,0.6603,1.035
0.654261,-0.1217,-0.7585,0.5075,0.921
0.658069,0.1763,-0.9555,0.3723,1.041
0.667581,0.4689,-1.0709,0.2214,1.190
0.668296,0.5841,-1.1070,0.1791,1.264
0.671891,0.6104,-1.1334,0.2782,1.317
0.676738,0.6988,-1.1978,0.4421,1.455
0.683633,0.8158,-1.3096,0.5849,1.650
0.686148,0.9188,-1.3275,0.6258,1.732
0.690553,0.9339,-1.1895,0.4648,1.582
0.695230,0.8017,-0.9602,0.2788,1.282
0.700073,0.5221,-0.7331,0.0003,0.900
0.704680,0.2653,-0.4579,-0.2064,0.568
0.709382,-0.0310,-0.1014,-0.2173,0.242
0.714183,-0.2662,0.3220,-0.2884,0.508
0.718953,-0.4693,0.7023,-0.2194,0.873
0.723590,-0.7411,1.0296,-0.2375,1.291
0.728392,-0.9007,1.2537,-0.3621,1.586
0.733126,-0.8050,1.1857,-0.4828,1.512
0.738355,-0.7032,1.0339,-0.7257,1.446
0.744525,-0.7555,0.9418,-1.0404,1.594
0.748897,-1.1387,0.9188,-1.1424,1.856
0.752888,-1.6757,0.8643,-1.1757,2.222
0.756918,-2.1683,0.7877,-1.0999,2.556
0.763784,-2.5018,0.7272,-0.9466,2.772
0.766972,-2.5881,0.6802,-0.8331,2.803
0.772645,-2.5280,0.5081,-0.7068,2.674
0.777340,-2.5011,0.4882,-0.7299,2.651
0.784346,-2.4809,0.4960,-0.6206,2.605
0.785954,-2.5107,0.7058,-0.5271,2.661
0.790170,-2.4087,0.8832,-0.3061,2.584
0.795092,-2.1343,0.9588,-0.1348,2.344
0.799796,-1.4943,0.9973,-0.0873,1.799
0.804510,-0.7876,1.0132,-0.0504,1.284
0.809030,-0.1959,0.9662,0.0314,0.986
0.813802,0.2286,1.0021,0.0365,1.029
0.818692,0.3698,1.0973,0.0123,1.158
0.823501,0.0110,1.2567,0.0162,1.257
0.828140,-0.5960,1.3725,0.0451,1.497
0.832862,-1.2533,1.5688,0.1304,2.012
0.837676,-1.3989,1.3369,0.2040,1.946
0.844084,-1.3649,0.8834,0.0416,1.626
0.848021,-1.5525,0.5501,-0.0348,1.647
0.851905,-2.0698,0.4749,0.0687,2.125
0.856459,-2.5632,0.5663,0.3969,2.655
0.862299,-2.2070,0.4998,0.7641,2.388
0.868128,-1.6106,0.2523,0.5589,1.723
0.871927,-1.4536,0.4070,0.2671,1.533
0.875385,-1.0028,0.6665,0.4844,1.298
0.882786,-0.1479,0.5128,0.1450,0.553
0.886085,0.5049,0.4724,-0.3472,0.774
0.891099,0.8652,0.5427,-0.0567,1.023
