time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.001623,0.0563,0.0457,0.0144,0.074
0.002560,0.0616,-0.0142,-0.0232,0.067
0.006017,0.1239,0.0047,-0.0986,0.158
0.010952,0.1786,0.0139,-0.1331,0.223
0.015594,0.2403,0.0160,-0.1364,0.277
0.021410,0.1971,-0.0127,-0.1801,0.267
0.024790,0.1426,0.0062,-0.1950,0.242
0.029791,0.1076,0.0512,-0.1626,0.202
0.034374,0.1420,0.0816,-0.1448,0.219
0.039091,0.1953,0.0144,-0.1225,0.231
0.044985,0.2602,-0.0213,-0.1384,0.296
0.048792,0.2322,-0.0543,-0.1376,0.275
0.053367,0.1810,-0.0134,-0.1511,0.236
0.058548,0.1635,0.0485,-0.1171,0.207
0.063262,0.1700,0.1147,-0.1095,0.232
0.067949,0.2503,0.0617,-0.0876,0.272
0.072288,0.2517,0.0330,-0.0968,0.272
0.077208,0.2248,0.0566,-0.0824,0.246
0.081872,0.1579,0.0730,0.0198,0.175
0.086893,0.0822,0.0656,0.0690,0.126
0.091204,0.0310,0.0178,0.1273,0.132
0.096035,0.0777,-0.0176,0.1187,0.143
0.102151,0.0600,-0.0456,0.1150,0.137
0.105786,0.1042,-0.0781,0.1161,0.174
0.110517,0.0984,-0.0699,0.1339,0.180
0.115053,0.0761,-0.0405,0.0922,0.126
0.119831,0.0423,-0.0208,0.0461,0.066
0.124643,0.0800,-0.0344,0.0526,0.102
0.136301,0.0868,-0.0503,0.0212,0.103
0.136820,0.0389,-0.0589,-0.0267,0.075
0.138624,0.0152,-0.0342,-0.0339,0.051
0.143457,0.0369,0.0069,-0.0624,0.073
0.148345,0.0250,0.0097,-0.1121,0.115
0.152992,0.0109,0.0409,-0.0996,0.108
0.157621,0.0278,-0.0207,-0.1228,0.128
0.162816,-0.0004,-0.0105,-0.1150,0.116
0.167449,-0.0332,-0.0076,-0.0860,0.093
0.172174,-0.0444,0.0120,-0.0833,0.095
0.176710,-0.0270,0.0171,-0.0855,0.091
0.181990,0.0022,0.0198,-0.0662,0.069
0.186093,0.0334,0.0083,-0.0495,0.060
0.190920,0.0168,0.0443,-0.0449,0.065
0.195848,-0.0781,0.0159,-0.0144,0.081
0.201852,-0.1864,0.0257,0.0516,0.195
0.205386,-0.2514,-0.0121,0.0767,0.263
0.210240,-0.2780,0.0050,0.1062,0.298
0.214738,-0.2642,-0.0136,0.1164,0.289
0.219366,-0.2103,-0.0037,0.1384,0.252
0.224467,-0.1452,-0.0057,0.0915,0.172
0.234444,-0.1139,-0.0291,0.1114,0.162
0.234964,-0.1140,-0.0547,0.0980,0.160
0.238251,-0.2235,-0.0588,0.0943,0.250
0.243825,-0.3180,-0.0724,0.0977,0.340
0.247869,-0.3694,-0.0313,0.1129,0.387
0.252490,-0.3730,0.0402,0.0473,0.378
0.257530,-0.2795,0.0874,0.0106,0.293
0.262326,-0.1133,0.0938,-0.0187,0.148
0.266830,0.0039,0.0313,-0.0169,0.036
0.271559,0.0609,-0.0140,-0.0674,0.092
0.276426,0.0626,-0.0020,-0.0748,0.098
0.281879,0.0217,0.0479,-0.0157,0.055
0.285923,-0.0166,0.0475,0.0192,0.054
0.290593,-0.0117,0.0661,0.0110,0.068
0.295571,0.0479,0.0347,0.0122,0.060
0.300105,0.0998,0.0250,-0.0128,0.104
0.304823,0.0635,0.0438,0.0362,0.085
0.309801,0.0820,0.0459,0.0491,0.106
0.314170,0.0696,0.0408,0.0336,0.087
0.319031,0.0336,0.0025,-0.0104,0.035
0.323944,0.0216,0.0049,-0.0397,0.045
0.334182,0.0263,0.0097,-0.0331,0.043
0.334814,0.0073,-0.0141,-0.0004,0.016
0.337892,0.0193,-0.0400,-0.0035,0.045
0.342593,-0.0020,-0.0372,-0.0184,0.042
0.347352,-0.0257,0.0082,-0.0428,0.051
0.352070,-0.0135,0.0675,-0.0812,0.106
