time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.001037,0.1633,-0.0359,0.3055,0.348
0.002954,0.1655,-0.0329,0.2548,0.306
0.007878,0.1583,-0.0063,0.1814,0.241
0.012509,0.1464,0.0082,0.0875,0.171
0.017652,0.1346,0.0107,0.0015,0.135
0.022118,0.1156,0.0155,-0.0482,0.126
0.028117,0.0990,0.0084,-0.0669,0.120
0.031588,0.0921,0.0204,-0.0428,0.104
0.036189,0.1017,-0.0175,-0.0142,0.104
0.041463,0.0779,-0.0362,0.0071,0.086
0.045865,0.0638,-0.0619,0.0260,0.093
0.050421,0.0687,-0.0802,0.0258,0.109
0.055254,0.0760,-0.0865,0.0258,0.118
0.061443,0.0619,-0.0644,-0.0027,0.089
0.064724,0.0384,-0.0732,-0.0143,0.084
0.069514,0.0175,-0.0796,-0.0022,0.082
0.074538,0.0061,-0.0907,0.0073,0.091
0.078829,-0.0075,-0.0827,0.0048,0.083
0.083870,0.0003,-0.0677,0.0283,0.073
0.088357,-0.0110,-0.0551,0.0278,0.063
0.093794,-0.0127,-0.0521,0.0462,0.071
0.097950,-0.0146,-0.0373,0.0597,0.072
0.102949,-0.0094,-0.0654,0.0684,0.095
0.107576,-0.0043,-0.0411,0.0748,0.085
0.112364,0.0293,-0.0478,0.0644,0.085
0.117136,0.0388,-0.0330,0.0660,0.083
0.121675,0.0671,-0.0090,0.0721,0.099
0.127241,0.0643,0.0078,0.0662,0.093
0.131592,0.0758,0.0364,0.0529,0.099
0.136163,0.1157,0.0624,0.0394,0.137
0.140709,0.1245,0.0834,0.0446,0.156
0.145483,0.1287,0.1092,0.0898,0.191
0.150232,0.1520,0.1419,0.1391,0.250
0.154842,0.1636,0.1815,0.1924,0.311
0.170039,0.1563,0.1805,0.2476,0.344
0.170322,0.1564,0.2555,0.2879,0.415
0.170515,0.1660,0.2778,0.2969,0.439
0.180138,0.1733,0.3022,0.3367,0.484
0.180736,0.1877,0.3098,0.3736,0.520
0.183764,0.1663,0.3008,0.3889,0.519
0.189502,0.1855,0.2965,0.4064,0.536
0.194647,0.1807,0.2544,0.4191,0.522
0.197712,0.1830,0.2126,0.4411,0.523
0.202114,0.1734,0.1616,0.4727,0.529
0.206854,0.1542,0.0730,0.4828,0.512
0.212180,0.1706,0.0041,0.5333,0.560
0.216932,0.1678,-0.0738,0.5313,0.562
0.221231,0.1673,-0.1131,0.5344,0.571
0.226058,0.1833,-0.1213,0.5305,0.574
0.231092,0.1897,-0.1412,0.5221,0.573
0.235472,0.1983,-0.1564,0.5139,0.573
0.240284,0.2042,-0.1880,0.5297,0.598
0.249245,0.2217,-0.1886,0.5099,0.587
0.249923,0.2554,-0.2059,0.4998,0.598
0.254714,0.3076,-0.2017,0.4922,0.614
0.259256,0.3091,-0.2000,0.4610,0.590
0.263961,0.3388,-0.1841,0.4372,0.583
0.269236,0.3538,-0.1802,0.3945,0.560
0.273247,0.3824,-0.1836,0.3781,0.568
0.278156,0.3986,-0.1727,0.3547,0.561
0.283005,0.4426,-0.1833,0.3691,0.605
0.288853,0.4527,-0.1844,0.3549,0.604
0.292461,0.4693,-0.1618,0.3547,0.610
0.297240,0.4900,-0.1418,0.3639,0.627
0.302318,0.5150,-0.1172,0.3633,0.641
0.306847,0.5416,-0.1166,0.3789,0.671
0.311739,0.5795,-0.0947,0.3774,0.698
0.316189,0.5598,-0.0729,0.4112,0.698
0.320762,0.5400,-0.0561,0.4515,0.706
0.325755,0.5391,-0.0868,0.4770,0.725
0.330667,0.5310,-0.0626,0.5161,0.743
0.335127,0.4824,-0.0482,0.5736,0.751
0.340026,0.4436,-0.0480,0.6351,0.776
0.349643,0.4217,-0.0075,0.6817,0.802
0.350348,0.3833,-0.0052,0.7063,0.804
0.354173,0.3808,0.0232,0.7327,0.826
0.359548,0.3450,0.0443,0.7302,0.809
0.363500,0.3498,0.0462,0.7488,0.828
0.369445,0.3569,0.0340,0.7694,0.849
0.372890,0.3591,0.0243,0.7919,0.870
0.377960,0.3614,0.0171,0.8237,0.900
0.382853,0.3706,-0.0067,0.8149,0.895
0.387170,0.3940,-0.0445,0.8512,0.939
0.391964,0.3912,-0.0606,0.8446,0.933
0.396829,0.4146,-0.1003,0.8335,0.936
0.401399,0.4522,-0.1278,0.8582,0.978
0.406077,0.4468,-0.1503,0.8378,0.961
0.411151,0.4679,-0.1774,0.8346,0.973
0.415801,0.4913,-0.2043,0.8316,0.987
0.420980,0.4887,-0.2143,0.8313,0.988
0.425447,0.5005,-0.2291,0.8336,0.999
0.430131,0.5101,-0.2247,0.8291,0.999
0.434588,0.5246,-0.2203,0.8392,1.014
0.439249,0.5462,-0.1970,0.8541,1.033
0.448350,0.5512,-0.1858,0.8550,1.034
0.449353,0.5753,-0.1890,0.8726,1.062
0.453951,0.5874,-0.1660,0.8761,1.068
0.458489,0.5948,-0.1385,0.8845,1.075
0.462913,0.5974,-0.0827,0.8810,1.068
0.469070,0.6000,-0.0298,0.8706,1.058
0.472648,0.6146,-0.0153,0.8604,1.057
0.478239,0.6149,0.0205,0.8456,1.046
0.481961,0.6129,0.0274,0.8120,1.018
0.486976,0.6348,0.0723,0.8000,1.024
0.491916,0.6305,0.0955,0.8072,1.029
0.496331,0.6312,0.1138,0.8025,1.027
0.501094,0.6296,0.1462,0.7884,1.019
0.506146,0.6163,0.1450,0.8006,1.021
0.510899,0.5843,0.1866,0.7986,1.007
0.515278,0.5859,0.1923,0.7967,1.007
0.519951,0.5662,0.2192,0.7997,1.004
0.524530,0.5776,0.1890,0.7625,0.975
0.529631,0.5701,0.1567,0.7612,0.964
0.534436,0.5604,0.0866,0.7601,0.948
0.539521,0.5507,-0.0279,0.7615,0.940
0.549951,0.5366,-0.1392,0.7631,0.943
0.550862,0.5322,-0.2923,0.7554,0.969
0.553327,0.5256,-0.4774,0.7505,1.033
0.558186,0.5383,-0.6562,0.7318,1.121
