time,wx (rad/s),wy (rad/s),wz (rad/s)
0.001050,0.09,0.03,-0.32
0.001294,0.09,0.04,-0.33
0.002912,0.09,0.04,-0.34
0.004824,0.10,0.04,-0.34
0.007175,0.10,0.04,-0.35
0.010600,0.11,0.05,-0.35
0.012509,0.12,0.08,-0.35
0.014344,0.13,0.10,-0.35
0.017815,0.14,0.12,-0.33
0.018930,0.14,0.11,-0.32
0.021847,0.15,0.10,-0.31
0.023820,0.15,0.10,-0.31
0.026297,0.16,0.10,-0.30
0.028919,0.16,0.12,-0.30
0.031056,0.16,0.15,-0.31
0.033359,0.17,0.19,-0.32
0.035572,0.17,0.23,-0.32
0.038371,0.16,0.27,-0.33
0.040440,0.16,0.29,-0.34
0.042837,0.16,0.31,-0.35
0.045151,0.16,0.31,-0.35
0.047665,0.15,0.30,-0.35
0.049810,0.15,0.28,-0.34
0.052189,0.15,0.26,-0.33
0.054528,0.15,0.23,-0.32
0.058206,0.15,0.20,-0.30
0.059280,0.15,0.18,-0.29
0.061805,0.15,0.16,-0.28
0.064460,0.15,0.16,-0.28
0.066641,0.15,0.15,-0.28
0.068832,0.14,0.15,-0.28
0.071166,0.14,0.14,-0.27
0.073508,0.15,0.14,-0.27
0.075931,0.15,0.14,-0.27
0.078432,0.15,0.13,-0.28
0.080791,0.15,0.13,-0.28
0.083088,0.15,0.13,-0.28
0.085485,0.15,0.13,-0.28
0.087727,0.15,0.13,-0.29
0.090109,0.15,0.13,-0.28
0.092496,0.15,0.12,-0.29
0.095064,0.15,0.12,-0.29
0.098698,0.15,0.12,-0.29
0.099795,0.15,0.11,-0.29
0.101953,0.16,0.10,-0.29
0.104461,0.16,0.10,-0.30
0.106645,0.16,0.10,-0.30
0.109463,0.16,0.10,-0.30
0.111798,0.16,0.10,-0.31
0.114196,0.15,0.10,-0.31
0.116639,0.15,0.10,-0.32
0.118725,0.15,0.10,-0.33
0.120985,0.15,0.10,-0.34
0.123453,0.15,0.09,-0.34
0.126845,0.15,0.09,-0.35
0.128152,0.15,0.08,-0.36
0.130599,0.15,0.07,-0.37
0.133082,0.16,0.07,-0.38
0.135197,0.16,0.06,-0.39
0.138374,0.16,0.05,-0.40
0.139916,0.16,0.04,-0.41
0.142881,0.17,0.04,-0.42
0.144833,0.17,0.03,-0.43
0.147562,0.18,0.02,-0.44
0.149773,0.18,0.01,-0.44
0.151864,0.19,-0.00,-0.45
0.154163,0.19,-0.01,-0.45
0.158792,0.20,-0.01,-0.46
0.158962,0.20,-0.02,-0.46
0.161370,0.21,-0.02,-0.47
0.163720,0.22,-0.02,-0.48
0.165997,0.23,-0.01,-0.49
0.168378,0.23,0.01,-0.50
0.170810,0.24,0.02,-0.50
0.173356,0.24,0.04,-0.51
0.175591,0.25,0.06,-0.52
0.182710,0.25,0.07,-0.53
0.183114,0.26,0.08,-0.54
0.183371,0.27,0.10,-0.56
0.184970,0.27,0.11,-0.57
0.187635,0.28,0.12,-0.59
0.190743,0.28,0.14,-0.60
0.192164,0.29,0.16,-0.61
0.194545,0.29,0.18,-0.63
0.198112,0.30,0.20,-0.64
0.199257,0.31,0.21,-0.65
0.201540,0.31,0.21,-0.66
0.203902,0.32,0.21,-0.68
0.206282,0.32,0.20,-0.69
0.208721,0.33,0.20,-0.70
0.211064,0.33,0.21,-0.72
0.213505,0.34,0.22,-0.73
0.215773,0.34,0.23,-0.75
0.218402,0.35,0.25,-0.76
0.220812,0.35,0.27,-0.77
0.223300,0.35,0.28,-0.77
0.225461,0.35,0.29,-0.78
0.227696,0.35,0.28,-0.78
0.230199,0.36,0.27,-0.78
0.232586,0.36,0.25,-0.79
0.234868,0.37,0.25,-0.79
0.238406,0.37,0.24,-0.80
0.239553,0.38,0.25,-0.80
0.241922,0.38,0.26,-0.82
0.244343,0.39,0.28,-0.83
0.246820,0.38,0.30,-0.84
0.249066,0.39,0.32,-0.85
0.251408,0.39,0.33,-0.85
0.253718,0.39,0.34,-0.85
0.256448,0.39,0.34,-0.84
0.258734,0.39,0.34,-0.84
0.260949,0.39,0.32,-0.83
0.263509,0.40,0.31,-0.83
0.265900,0.40,0.30,-0.82
0.267944,0.40,0.30,-0.81
0.270479,0.41,0.29,-0.81
0.272837,0.41,0.29,-0.80
0.275587,0.41,0.30,-0.80
0.283309,0.41,0.30,-0.81
0.283776,0.42,0.31,-0.81
0.284047,0.42,0.33,-0.81
0.284699,0.42,0.33,-0.81
0.286846,0.42,0.33,-0.81
0.289290,0.43,0.33,-0.82
0.291596,0.43,0.32,-0.82
0.294337,0.44,0.32,-0.83
0.296487,0.44,0.31,-0.85
0.299047,0.44,0.31,-0.86
0.301229,0.44,0.31,-0.87
0.303560,0.45,0.30,-0.88
0.305794,0.44,0.30,-0.89
0.308179,0.44,0.29,-0.90
0.310745,0.44,0.28,-0.90
0.313164,0.44,0.27,-0.91
0.315379,0.44,0.25,-0.91
0.318301,0.45,0.24,-0.92
0.320064,0.45,0.22,-0.92
0.322767,0.45,0.21,-0.93
0.324949,0.45,0.20,-0.93
0.327495,0.45,0.18,-0.93
0.329695,0.45,0.17,-0.94
0.332216,0.44,0.16,-0.94
0.334323,0.44,0.15,-0.94
0.337877,0.44,0.13,-0.93
0.339035,0.44,0.12,-0.93
0.341534,0.44,0.11,-0.92
0.344335,0.44,0.08,-0.91
0.346350,0.45,0.05,-0.90
0.349084,0.45,0.01,-0.90
0.350988,0.45,-0.02,-0.90
0.353256,0.46,-0.04,-0.90
0.355610,0.46,-0.06,-0.91
0.358496,0.46,-0.07,-0.91
0.361050,0.46,-0.07,-0.91
0.362898,0.46,-0.07,-0.92
0.365294,0.46,-0.07,-0.92
0.367632,0.46,-0.08,-0.91
0.369992,0.46,-0.09,-0.91
0.372444,0.46,-0.11,-0.91
0.375102,0.47,-0.13,-0.91
0.378519,0.47,-0.14,-0.91
0.379644,0.47,-0.13,-0.92
0.381775,0.47,-0.12,-0.94
0.384150,0.47,-0.10,-0.97
0.386813,0.47,-0.07,-1.00
0.388980,0.46,-0.04,-1.02
0.391179,0.45,-0.00,-1.04
0.394967,0.43,0.02,-1.06
0.396320,0.42,0.02,-1.06
0.398775,0.42,0.01,-1.05
0.400715,0.42,-0.02,-1.04
0.403138,0.41,-0.06,-1.04
0.405430,0.41,-0.10,-1.04
0.407868,0.40,-0.12,-1.04
0.410485,0.39,-0.13,-1.04
0.412851,0.38,-0.14,-1.04
0.414975,0.37,-0.13,-1.05
0.418543,0.36,-0.12,-1.06
0.419690,0.34,-0.12,-1.06
0.422211,0.33,-0.11,-1.06
0.424592,0.31,-0.11,-1.06
0.428732,0.30,-0.10,-1.05
0.429287,0.29,-0.10,-1.05
0.431808,0.28,-0.11,-1.04
0.434033,0.27,-0.12,-1.04
0.436407,0.25,-0.13,-1.03
0.439211,0.24,-0.14,-1.03
0.441036,0.22,-0.14,-1.03
0.445040,0.21,-0.15,-1.02
0.445991,0.19,-0.16,-1.02
0.448212,0.18,-0.17,-1.00
0.450603,0.16,-0.17,-0.99
0.452932,0.14,-0.19,-0.98
0.455401,0.13,-0.21,-0.96
0.458452,0.12,-0.23,-0.95
0.460077,0.11,-0.24,-0.94
0.462600,0.10,-0.25,-0.93
0.464929,0.09,-0.26,-0.92
0.467419,0.08,-0.27,-0.90
0.469515,0.08,-0.29,-0.89
0.471950,0.07,-0.30,-0.87
0.474415,0.07,-0.32,-0.85
0.478763,0.06,-0.34,-0.84
0.479076,0.06,-0.36,-0.82
0.481702,0.05,-0.37,-0.80
0.483986,0.04,-0.40,-0.78
0.485988,0.03,-0.42,-0.76
0.488405,0.03,-0.44,-0.74
0.490875,0.03,-0.45,-0.72
0.493639,0.03,-0.47,-0.69
0.495488,0.03,-0.48,-0.67
0.498349,0.03,-0.50,-0.64
0.500204,0.03,-0.52,-0.61
0.502833,0.02,-0.53,-0.59
0.504984,0.02,-0.54,-0.57
0.507373,0.02,-0.55,-0.55
0.509845,0.02,-0.54,-0.54
0.512473,0.02,-0.54,-0.52
0.514807,0.02,-0.53,-0.51
0.518991,0.01,-0.52,-0.50
0.519671,0.01,-0.51,-0.48
0.521663,0.01,-0.50,-0.47
0.524033,0.00,-0.49,-0.46
0.526430,0.00,-0.48,-0.45
0.528826,-0.00,-0.48,-0.44
0.531215,-0.00,-0.48,-0.43
0.533604,-0.01,-0.49,-0.41
0.535830,-0.01,-0.50,-0.40
0.538454,-0.02,-0.52,-0.39
0.541148,-0.02,-0.54,-0.39
0.543172,-0.02,-0.55,-0.38
0.545580,-0.02,-0.55,-0.36
0.547952,-0.03,-0.56,-0.36
0.550799,-0.04,-0.57,-0.36
0.552467,-0.05,-0.57,-0.35
0.554875,-0.05,-0.59,-0.35
0.559079,-0.06,-0.60,-0.34
0.559693,-0.06,-0.60,-0.35
0.562048,-0.07,-0.60,-0.35
0.565413,-0.07,-0.61,-0.36
0.566715,-0.07,-0.62,-0.36
0.569094,-0.08,-0.63,-0.37
0.571387,-0.09,-0.65,-0.37
0.574109,-0.10,-0.65,-0.38
0.576356,-0.11,-0.65,-0.39
0.579154,-0.12,-0.64,-0.40
0.582378,-0.13,-0.63,-0.42
0.587096,-0.13,-0.62,-0.44
0.587493,-0.14,-0.62,-0.46
0.588111,-0.15,-0.61,-0.49
0.590701,-0.16,-0.60,-0.51
0.592886,-0.17,-0.60,-0.54
0.595199,-0.18,-0.58,-0.57
0.598570,-0.19,-0.58,-0.60
0.599864,-0.20,-0.57,-0.63
0.602287,-0.21,-0.56,-0.66
0.604684,-0.22,-0.56,-0.69
0.607378,-0.22,-0.55,-0.72
0.609384,-0.23,-0.53,-0.75
0.611807,-0.24,-0.51,-0.79
0.614206,-0.24,-0.49,-0.83
0.616752,-0.24,-0.47,-0.87
0.618928,-0.24,-0.46,-0.91
0.621321,-0.25,-0.45,-0.95
0.623718,-0.25,-0.45,-0.98
0.625988,-0.24,-0.44,-1.02
0.628471,-0.24,-0.43,-1.05
0.630923,-0.23,-0.43,-1.09
0.633198,-0.22,-0.44,-1.13
0.635482,-0.21,-0.44,-1.17
0.638349,-0.20,-0.45,-1.21
0.640311,-0.19,-0.45,-1.26
0.642538,-0.18,-0.48,-1.31
0.646071,-0.17,-0.50,-1.36
0.648557,-0.16,-0.51,-1.42
0.649894,-0.15,-0.50,-1.47
0.652134,-0.14,-0.50,-1.53
0.654478,-0.13,-0.49,-1.59
0.658045,-0.13,-0.49,-1.66
0.659117,-0.12,-0.50,-1.72
0.661661,-0.11,-0.50,-1.79
0.664145,-0.10,-0.48,-1.87
0.667012,-0.09,-0.46,-1.94
0.668977,-0.08,-0.44,-2.02
0.671208,-0.06,-0.41,-2.11
0.673575,-0.04,-0.39,-2.19
0.675843,-0.02,-0.37,-2.28
0.679139,-0.00,-0.36,-2.37
0.680621,0.02,-0.34,-2.46
0.688772,0.04,-0.32,-2.55
0.688982,0.06,-0.30,-2.65
0.689161,0.08,-0.27,-2.75
0.690086,0.10,-0.24,-2.85
0.692566,0.12,-0.20,-2.95
0.694789,0.14,-0.16,-3.06
0.698314,0.17,-0.12,-3.16
0.699471,0.19,-0.09,-3.26
0.701894,0.21,-0.07,-3.35
0.704229,0.23,-0.04,-3.43
0.706649,0.25,-0.01,-3.51
0.709154,0.27,0.04,-3.58
0.711443,0.29,0.09,-3.65
0.713741,0.30,0.14,-3.71
0.716124,0.30,0.17,-3.76
0.718601,0.30,0.19,-3.80
0.720885,0.30,0.19,-3.83
