time,wx (rad/s),wy (rad/s),wz (rad/s)
0.001115,-0.00,-0.03,0.05
0.001418,-0.00,-0.03,0.05
0.001633,-0.01,-0.03,0.05
0.003751,-0.01,-0.03,0.05
0.006049,-0.01,-0.03,0.04
0.009683,-0.01,-0.03,0.05
0.010542,-0.01,-0.03,0.05
0.014357,-0.01,-0.03,0.04
0.015426,-0.01,-0.03,0.04
0.017930,-0.01,-0.03,0.04
0.020199,-0.01,-0.03,0.04
0.022602,-0.01,-0.03,0.04
0.024918,-0.01,-0.03,0.04
0.027202,-0.01,-0.03,0.04
0.030100,-0.01,-0.03,0.04
0.032294,-0.01,-0.03,0.04
0.034549,-0.01,-0.03,0.04
0.036802,-0.01,-0.04,0.04
0.039072,-0.01,-0.04,0.04
0.041845,-0.01,-0.04,0.04
0.043862,-0.01,-0.04,0.04
0.046457,-0.01,-0.04,0.04
0.050083,-0.01,-0.04,0.04
0.051081,-0.01,-0.04,0.04
0.053378,-0.01,-0.04,0.04
0.055740,-0.01,-0.04,0.04
0.058216,-0.01,-0.04,0.04
0.060477,-0.01,-0.04,0.03
0.063393,-0.01,-0.05,0.03
0.065112,-0.01,-0.05,0.03
0.067773,-0.01,-0.05,0.04
0.070286,-0.01,-0.05,0.03
0.072372,-0.01,-0.05,0.03
0.074742,-0.01,-0.05,0.03
0.077188,-0.01,-0.05,0.03
0.080059,-0.01,-0.06,0.03
0.081932,-0.01,-0.06,0.03
0.084378,-0.01,-0.07,0.03
0.086618,-0.01,-0.07,0.03
0.090068,-0.00,-0.07,0.03
0.091397,-0.00,-0.07,0.03
0.094025,-0.00,-0.08,0.03
0.096201,-0.00,-0.08,0.03
0.099560,-0.00,-0.08,0.03
0.101087,-0.00,-0.08,0.03
0.103260,-0.00,-0.08,0.03
0.105621,-0.00,-0.08,0.02
0.109429,0.00,-0.07,0.02
0.110452,0.00,-0.07,0.02
0.112780,0.00,-0.06,0.02
0.115189,0.00,-0.06,0.02
0.117609,0.00,-0.05,0.01
0.119807,0.00,-0.05,0.01
0.122799,0.00,-0.04,0.01
0.124537,0.00,-0.04,0.01
0.127127,0.00,-0.03,0.01
0.131036,0.00,-0.03,0.00
0.131616,0.00,-0.03,0.01
0.134062,0.00,-0.02,0.00
0.136656,0.00,-0.02,0.00
0.138969,0.00,-0.02,0.00
0.141097,0.01,-0.02,0.00
0.143797,0.00,-0.02,0.00
0.147826,0.00,-0.01,0.00
0.149737,0.00,-0.01,0.00
0.150649,0.00,-0.01,0.00
0.153295,0.00,-0.02,0.00
0.155556,-0.00,-0.02,0.01
0.159228,-0.00,-0.02,0.01
0.160100,-0.00,-0.02,0.01
0.162659,-0.00,-0.03,0.01
0.164992,-0.00,-0.03,0.01
0.167315,-0.00,-0.04,0.01
0.169993,-0.00,-0.04,0.01
0.172132,-0.00,-0.04,0.02
0.174589,-0.00,-0.04,0.02
0.176855,-0.01,-0.05,0.02
0.179175,-0.00,-0.05,0.03
0.182508,-0.01,-0.05,0.03
0.184886,-0.01,-0.05,0.03
0.186334,-0.01,-0.05,0.03
0.190153,-0.01,-0.06,0.03
0.191033,-0.01,-0.06,0.03
0.193817,-0.01,-0.06,0.03
0.195745,-0.01,-0.06,0.04
0.198308,-0.01,-0.06,0.04
0.200669,-0.02,-0.06,0.04
0.202851,-0.02,-0.06,0.04
0.205345,-0.01,-0.05,0.04
0.207614,-0.02,-0.05,0.04
0.209999,-0.02,-0.04,0.04
0.212376,-0.02,-0.04,0.04
0.215712,-0.02,-0.04,0.04
0.217035,-0.02,-0.03,0.04
0.219486,-0.02,-0.03,0.04
0.221987,-0.02,-0.02,0.04
0.224182,-0.02,-0.02,0.04
0.226647,-0.02,-0.02,0.04
0.230001,-0.02,-0.01,0.04
0.231461,-0.02,-0.01,0.04
0.233599,-0.02,-0.01,0.04
0.236145,-0.02,-0.01,0.05
0.238589,-0.02,-0.01,0.05
0.240748,-0.02,-0.01,0.05
0.243072,-0.02,-0.01,0.05
0.246523,-0.02,-0.01,0.05
0.247969,-0.02,-0.02,0.06
0.250611,-0.02,-0.02,0.06
0.252619,-0.02,-0.02,0.06
0.255114,-0.02,-0.02,0.06
0.257610,-0.02,-0.01,0.06
0.259813,-0.02,-0.01,0.07
0.262013,-0.03,-0.01,0.07
0.265204,-0.03,-0.01,0.07
0.266825,-0.03,-0.01,0.07
0.270354,-0.03,-0.01,0.07
0.271607,-0.03,-0.01,0.07
0.274046,-0.03,-0.01,0.07
0.276304,-0.03,-0.00,0.07
0.279113,-0.02,-0.00,0.07
0.281037,-0.02,0.00,0.07
0.283409,-0.02,0.00,0.07
0.285895,-0.02,0.01,0.07
0.289886,-0.02,0.01,0.06
0.290362,-0.02,0.01,0.06
0.292861,-0.02,0.02,0.06
0.295612,-0.02,0.02,0.06
0.297600,-0.02,0.02,0.06
0.299872,-0.02,0.02,0.06
0.302308,-0.02,0.02,0.06
0.304543,-0.02,0.02,0.06
0.306923,-0.02,0.02,0.06
0.309678,-0.02,0.02,0.06
0.311657,-0.02,0.02,0.06
0.314128,-0.02,0.01,0.06
0.316573,-0.02,0.01,0.06
0.318876,-0.02,0.01,0.06
0.321094,-0.02,0.01,0.06
0.323476,-0.02,0.01,0.06
0.325918,-0.02,0.01,0.06
0.329600,-0.02,0.01,0.06
0.330651,-0.02,0.01,0.06
0.333136,-0.02,0.01,0.06
0.335601,-0.02,0.01,0.06
0.338065,-0.02,0.01,0.07
0.340106,-0.02,0.00,0.07
0.342438,-0.02,0.00,0.07
0.344914,-0.02,-0.00,0.07
0.347227,-0.02,-0.00,0.07
0.349868,-0.02,-0.01,0.07
0.352280,-0.02,-0.01,0.06
0.354560,-0.02,-0.01,0.07
0.356970,-0.02,-0.01,0.07
0.359178,-0.02,-0.01,0.06
0.361678,-0.02,-0.01,0.06
0.364165,-0.02,-0.01,0.06
0.366421,-0.02,-0.01,0.06
0.370267,-0.02,-0.01,0.06
0.371031,-0.02,-0.02,0.06
0.373477,-0.02,-0.02,0.06
0.375846,-0.02,-0.02,0.06
0.378175,-0.02,-0.02,0.06
0.380858,-0.02,-0.02,0.06
0.382963,-0.01,-0.02,0.06
0.385300,-0.01,-0.02,0.06
0.387728,-0.01,-0.02,0.06
0.389989,-0.01,-0.02,0.06
0.392345,-0.01,-0.02,0.05
