time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.000998,-0.0360,0.0027,0.0127,0.038
0.004012,-0.0381,-0.0021,-0.0041,0.038
0.008546,-0.0283,-0.0044,-0.0113,0.031
0.013441,-0.0068,0.0004,-0.0090,0.011
0.017065,-0.0116,-0.0020,-0.0161,0.020
0.022328,-0.0211,0.0122,0.0029,0.025
0.027478,-0.0282,0.0122,0.0004,0.031
0.031898,0.0003,-0.0188,0.0050,0.019
0.036685,-0.0070,0.0170,0.0096,0.021
0.041626,-0.0119,0.0335,0.0213,0.041
0.046415,-0.0048,0.0142,0.0044,0.016
0.050836,-0.0310,0.0165,0.0019,0.035
0.055732,-0.0120,0.0069,-0.0124,0.019
0.059685,-0.0383,0.0044,-0.0076,0.039
0.064568,-0.0193,0.0163,-0.0101,0.027
0.070176,-0.0051,0.0114,0.0089,0.015
0.074995,0.0088,0.0161,-0.0079,0.020
0.079124,0.0013,0.0041,-0.0340,0.034
0.083509,0.0129,0.0112,-0.0363,0.040
0.088189,-0.0088,-0.0102,-0.0171,0.022
0.093909,-0.0115,0.0089,-0.0124,0.019
0.098246,-0.0165,0.0112,-0.0173,0.026
0.102824,0.0236,0.0016,-0.0126,0.027
0.107362,0.0018,-0.0102,-0.0032,0.011
0.112484,-0.0057,-0.0148,0.0037,0.016
0.117179,-0.0060,0.0019,-0.0013,0.006
0.122398,-0.0016,-0.0099,0.0152,0.018
0.126278,0.0099,-0.0027,0.0124,0.016
0.131124,0.0071,-0.0027,0.0121,0.014
0.135930,0.0019,-0.0050,0.0214,0.022
0.140712,0.0205,-0.0002,0.0068,0.022
0.152826,0.0176,0.0046,0.0184,0.026
0.153324,0.0172,0.0069,0.0205,0.028
0.154652,0.0429,-0.0168,0.0154,0.049
0.159274,0.0113,0.0023,0.0176,0.021
0.164179,0.0157,-0.0024,-0.0135,0.021
0.169232,0.0343,0.0071,0.0150,0.038
0.173962,0.0244,0.0070,0.0124,0.028
0.178527,0.0050,0.0023,-0.0068,0.009
0.183754,-0.0096,0.0117,-0.0235,0.028
0.188221,-0.0145,-0.0026,-0.0282,0.032
0.192634,-0.0098,-0.0025,-0.0139,0.017
0.197375,-0.0052,-0.0025,-0.0115,0.013
0.202040,0.0183,0.0070,-0.0163,0.025
0.207874,-0.0130,0.0189,-0.0092,0.025
0.212955,-0.0060,0.0068,0.0050,0.010
0.216921,0.0057,0.0115,0.0190,0.023
0.221053,0.0268,-0.0146,0.0045,0.031
0.225694,0.0501,-0.0026,-0.0004,0.050
0.231424,0.0116,-0.0002,-0.0100,0.015
0.235481,-0.0006,-0.0026,0.0089,0.009
0.240077,0.0088,-0.0144,0.0087,0.019
0.252601,0.0038,-0.0190,0.0298,0.036
0.252924,0.0203,-0.0070,0.0034,0.022
0.254324,0.0176,-0.0117,-0.0062,0.022
0.258917,-0.0112,-0.0068,-0.0110,0.017
