time,wx (rad/s),wy (rad/s),wz (rad/s)
0.001329,0.01,0.01,-0.04
0.001585,0.01,0.00,-0.03
0.002619,0.01,0.00,-0.03
0.004653,0.01,0.00,-0.03
0.007064,0.01,-0.00,-0.03
0.009400,0.01,-0.00,-0.03
0.012020,0.01,-0.00,-0.03
0.014262,0.01,-0.00,-0.03
0.016689,0.00,0.00,-0.03
0.019297,0.01,0.00,-0.03
0.021475,0.01,0.00,-0.02
0.023702,0.00,-0.00,-0.02
0.026003,0.00,-0.00,-0.02
0.028814,0.00,-0.00,-0.02
0.031772,0.00,-0.00,-0.02
0.033239,0.00,-0.00,-0.02
0.035562,0.00,-0.00,-0.02
0.037920,0.00,-0.00,-0.02
0.040350,0.00,-0.00,-0.02
0.042676,0.00,-0.00,-0.01
0.045039,-0.00,-0.00,-0.01
0.047402,-0.00,-0.00,-0.02
0.050823,-0.00,-0.00,-0.01
0.052070,-0.00,-0.00,-0.01
0.054460,-0.00,-0.00,-0.01
0.056824,-0.00,-0.00,-0.01
0.059326,-0.00,-0.00,-0.01
0.061654,-0.00,-0.00,-0.01
0.063937,-0.00,-0.00,-0.01
0.066271,-0.00,-0.00,-0.01
0.069802,-0.01,0.00,-0.01
0.072083,-0.00,0.00,-0.01
0.073424,-0.01,0.00,-0.01
0.076900,-0.01,0.00,-0.01
0.078393,-0.01,0.00,-0.01
0.081750,-0.01,0.00,-0.01
0.083556,-0.01,0.00,-0.01
0.085350,-0.01,0.00,-0.01
0.088274,-0.01,0.00,-0.01
0.089982,-0.01,0.00,-0.01
0.092330,-0.01,0.00,-0.01
0.095384,-0.01,0.00,-0.01
0.097167,-0.01,0.00,-0.01
0.099588,-0.01,-0.00,-0.01
0.101867,-0.01,-0.00,-0.01
0.104160,-0.01,-0.00,-0.01
0.107013,-0.01,-0.00,-0.01
0.109214,-0.01,-0.00,-0.01
0.112541,-0.01,-0.00,-0.01
0.114822,-0.01,-0.01,-0.01
0.116932,-0.01,-0.01,-0.01
0.118484,-0.01,-0.01,-0.01
0.120883,-0.01,-0.01,-0.01
0.123388,-0.01,-0.01,-0.01
0.126082,-0.01,-0.01,-0.01
0.128743,-0.01,-0.01,-0.01
0.131490,-0.01,-0.00,-0.01
0.133333,-0.01,-0.00,-0.02
0.135236,-0.01,-0.00,-0.02
0.137763,-0.01,-0.00,-0.02
0.139897,-0.00,-0.00,-0.02
0.142631,-0.00,-0.00,-0.02
0.145814,-0.00,0.00,-0.02
0.148022,-0.00,-0.00,-0.02
0.149947,-0.00,-0.00,-0.02
0.151724,-0.00,0.00,-0.02
0.154149,-0.00,0.00,-0.02
0.156396,-0.00,0.00,-0.02
0.158836,-0.00,0.00,-0.02
0.161171,-0.00,0.00,-0.02
0.164140,-0.00,0.01,-0.03
0.166853,-0.00,0.01,-0.03
0.169403,-0.00,0.01,-0.03
0.170812,-0.00,0.01,-0.03
0.173518,-0.00,0.01,-0.03
0.175870,-0.00,0.01,-0.03
0.178650,-0.00,0.01,-0.03
0.180700,-0.00,0.01,-0.03
0.183636,-0.00,0.01,-0.03
0.184906,-0.00,0.01,-0.03
0.187284,-0.00,0.01,-0.03
0.189731,-0.00,0.01,-0.03
0.192075,-0.00,0.01,-0.04
0.195648,-0.00,0.01,-0.04
0.196735,-0.00,0.01,-0.04
0.199154,-0.00,0.01,-0.04
0.201523,-0.00,0.02,-0.04
0.203836,0.00,0.02,-0.04
0.207278,-0.00,0.02,-0.04
0.208548,0.00,0.02,-0.04
0.211397,0.00,0.02,-0.04
0.214266,0.00,0.02,-0.04
0.216299,0.00,0.02,-0.04
0.218402,-0.00,0.03,-0.04
0.220622,0.00,0.03,-0.04
0.223302,0.00,0.03,-0.04
0.225127,0.00,0.03,-0.05
0.228138,0.00,0.03,-0.04
0.231058,0.00,0.03,-0.05
0.232842,0.00,0.03,-0.05
0.234710,0.00,0.03,-0.05
0.237559,0.00,0.03,-0.05
0.239937,0.01,0.04,-0.05
0.243124,0.00,0.04,-0.05
0.244643,0.00,0.04,-0.05
0.246959,0.00,0.04,-0.05
0.250399,0.00,0.04,-0.05
0.251268,0.00,0.04,-0.05
0.253596,0.01,0.04,-0.05
0.255862,0.01,0.04,-0.05
0.258855,0.01,0.04,-0.05
0.261847,0.01,0.05,-0.05
0.263260,0.01,0.05,-0.05
0.265520,0.01,0.05,-0.05
0.267881,0.01,0.05,-0.05
0.270106,0.01,0.05,-0.06
0.273451,0.01,0.06,-0.06
0.275785,0.01,0.06,-0.06
0.279496,0.01,0.06,-0.06
0.279674,0.01,0.07,-0.06
0.282128,0.01,0.07,-0.06
0.284452,0.01,0.07,-0.07
0.286907,0.01,0.07,-0.07
0.289082,0.01,0.07,-0.07
0.291478,0.01,0.07,-0.07
0.293844,0.01,0.07,-0.07
0.296924,0.02,0.07,-0.07
0.299287,0.01,0.07,-0.07
0.301184,0.02,0.07,-0.08
0.303842,0.02,0.07,-0.08
0.305840,0.02,0.07,-0.08
0.308076,0.02,0.07,-0.08
0.311477,0.02,0.07,-0.08
0.313209,0.02,0.07,-0.09
0.315884,0.03,0.08,-0.09
0.317559,0.03,0.08,-0.09
0.319935,0.03,0.08,-0.10
0.322352,0.03,0.08,-0.10
0.325684,0.03,0.08,-0.10
0.327029,0.03,0.09,-0.11
0.330051,0.03,0.09,-0.11
0.331964,0.03,0.09,-0.11
0.335076,0.03,0.09,-0.12
0.336580,0.04,0.09,-0.12
0.338951,0.04,0.10,-0.13
0.341498,0.04,0.10,-0.13
0.343814,0.04,0.10,-0.13
0.346584,0.04,0.10,-0.14
0.348843,0.04,0.11,-0.14
0.351233,0.04,0.12,-0.14
0.353260,0.04,0.12,-0.15
0.355550,0.04,0.13,-0.15
0.357958,0.04,0.14,-0.16
0.360282,0.05,0.14,-0.17
0.363687,0.05,0.15,-0.17
0.365562,0.05,0.16,-0.18
0.367932,0.05,0.16,-0.19
0.369725,0.05,0.17,-0.20
0.372108,0.05,0.18,-0.20
0.374447,0.05,0.18,-0.21
0.376818,0.06,0.19,-0.22
0.380028,0.06,0.19,-0.23
0.382625,0.06,0.20,-0.24
0.384962,0.06,0.20,-0.24
0.386364,0.07,0.21,-0.25
0.388768,0.07,0.21,-0.26
0.391100,0.08,0.21,-0.27
0.393436,0.08,0.21,-0.28
0.395884,0.08,0.21,-0.29
0.398734,0.09,0.21,-0.30
0.401022,0.09,0.21,-0.31
0.402917,0.10,0.20,-0.32
0.405294,0.10,0.20,-0.33
0.408049,0.10,0.19,-0.35
0.411147,0.11,0.19,-0.36
0.412407,0.11,0.18,-0.37
0.414891,0.12,0.18,-0.39
0.417204,0.12,0.17,-0.40
0.419798,0.13,0.16,-0.42
0.421849,0.13,0.16,-0.43
0.424243,0.14,0.15,-0.45
0.427714,0.14,0.14,-0.47
0.429573,0.15,0.13,-0.48
0.432416,0.15,0.12,-0.50
0.434409,0.16,0.11,-0.52
0.436269,0.16,0.10,-0.53
0.438673,0.17,0.09,-0.55
0.440962,0.17,0.08,-0.57
0.443704,0.18,0.07,-0.58
0.445795,0.18,0.06,-0.60
0.448795,0.18,0.05,-0.62
0.451071,0.19,0.04,-0.64
0.452870,0.19,0.03,-0.66
0.455253,0.19,0.02,-0.68
0.458028,0.19,0.01,-0.69
0.460255,0.19,0.01,-0.71
0.463336,0.20,0.00,-0.73
0.465057,0.20,0.00,-0.74
0.467218,0.21,0.00,-0.76
0.469890,0.22,0.00,-0.77
0.471821,0.23,0.00,-0.78
0.474447,0.24,0.00,-0.79
0.477734,0.26,0.00,-0.80
0.479599,0.27,0.00,-0.81
0.482356,0.29,0.01,-0.82
0.483575,0.30,0.01,-0.83
0.486269,0.32,0.02,-0.83
0.488320,0.33,0.03,-0.84
0.491044,0.35,0.03,-0.85
0.493255,0.36,0.04,-0.86
0.496924,0.37,0.05,-0.87
0.498384,0.38,0.05,-0.87
0.500330,0.40,0.05,-0.88
0.502777,0.42,0.05,-0.90
0.504988,0.44,0.06,-0.91
0.508392,0.47,0.05,-0.94
0.509622,0.51,0.04,-0.97
0.512160,0.54,0.03,-0.99
0.514611,0.58,0.00,-1.00
0.516791,0.61,-0.04,-0.99
0.519188,0.63,-0.09,-0.96
0.521490,0.66,-0.15,-0.92
0.524438,0.68,-0.23,-0.88
0.526840,0.72,-0.31,-0.83
0.529938,0.76,-0.38,-0.78
0.531661,0.80,-0.44,-0.73
0.535044,0.84,-0.50,-0.68
0.536275,0.88,-0.54,-0.63
0.538403,0.90,-0.56,-0.59
0.540927,0.93,-0.58,-0.56
0.543512,0.95,-0.60,-0.52
0.546517,0.96,-0.60,-0.50
0.548043,0.98,-0.61,-0.48
0.551007,1.00,-0.62,-0.45
0.552856,1.02,-0.63,-0.42
0.554975,1.04,-0.63,-0.38
0.557221,1.06,-0.65,-0.34
0.559601,1.07,-0.67,-0.30
0.562713,1.07,-0.70,-0.26
0.564306,1.07,-0.74,-0.21
0.566745,1.05,-0.78,-0.16
0.569016,1.04,-0.82,-0.11
0.571402,1.02,-0.87,-0.06
0.573704,1.01,-0.92,-0.01
0.575992,1.00,-0.96,0.04
0.578929,0.99,-0.99,0.10
0.581155,0.98,-1.02,0.15
0.583245,0.97,-1.05,0.20
0.585669,0.96,-1.07,0.25
0.587976,0.95,-1.09,0.29
0.590309,0.94,-1.10,0.34
0.592607,0.93,-1.11,0.38
0.598855,0.92,-1.12,0.42
0.599314,0.90,-1.12,0.45
0.599901,0.89,-1.14,0.49
0.602308,0.87,-1.15,0.52
0.604686,0.85,-1.17,0.56
0.607272,0.84,-1.19,0.60
0.609284,0.82,-1.21,0.64
0.612163,0.81,-1.23,0.68
0.614058,0.79,-1.25,0.72
0.616357,0.78,-1.27,0.76
0.619110,0.76,-1.29,0.80
0.621293,0.75,-1.31,0.84
0.623470,0.73,-1.33,0.88
0.625908,0.72,-1.34,0.93
0.629516,0.70,-1.36,0.97
0.631111,0.69,-1.37,1.01
0.633273,0.67,-1.38,1.05
0.635548,0.66,-1.39,1.09
0.638828,0.64,-1.40,1.13
0.640212,0.63,-1.40,1.17
0.642913,0.61,-1.40,1.20
0.645181,0.60,-1.40,1.24
0.647625,0.59,-1.40,1.27
0.649844,0.57,-1.39,1.31
0.652318,0.56,-1.38,1.34
0.654993,0.54,-1.36,1.37
0.657042,0.53,-1.34,1.40
0.659256,0.52,-1.31,1.43
0.663014,0.50,-1.28,1.46
0.664296,0.49,-1.25,1.48
0.666876,0.48,-1.21,1.51
0.668840,0.47,-1.17,1.53
0.671659,0.45,-1.13,1.55
0.673286,0.44,-1.08,1.57
0.676088,0.43,-1.03,1.58
0.679612,0.41,-0.98,1.60
0.680963,0.40,-0.94,1.62
0.683435,0.39,-0.88,1.63
0.685484,0.38,-0.83,1.64
0.687737,0.37,-0.78,1.65
0.690219,0.35,-0.73,1.66
0.692599,0.34,-0.68,1.68
0.695157,0.33,-0.63,1.68
0.702356,0.32,-0.57,1.69
0.703554,0.31,-0.52,1.70
0.704130,0.30,-0.47,1.71
0.704561,0.29,-0.43,1.71
0.706909,0.28,-0.38,1.72
0.709140,0.27,-0.33,1.72
0.714006,0.26,-0.29,1.73
0.714803,0.25,-0.25,1.73
0.717782,0.25,-0.21,1.74
0.718434,0.24,-0.18,1.74
0.721198,0.23,-0.14,1.74
0.723206,0.22,-0.11,1.74
0.725443,0.22,-0.08,1.74
0.727868,0.22,-0.06,1.74
0.730268,0.21,-0.04,1.73
0.732866,0.21,-0.02,1.73
0.735581,0.21,-0.01,1.73
0.737496,0.21,0.00,1.72
0.739925,0.21,0.01,1.72
0.742624,0.21,0.02,1.71
0.744624,0.21,0.02,1.70
0.747272,0.20,0.01,1.70
0.749930,0.20,0.01,1.69
0.751960,0.20,-0.00,1.68
0.754241,0.20,-0.01,1.67
0.756600,0.20,-0.02,1.66
0.759618,0.20,-0.04,1.65
0.761358,0.21,-0.06,1.64
0.763880,0.21,-0.08,1.63
0.766114,0.21,-0.10,1.62
0.768536,0.22,-0.13,1.61
0.770975,0.22,-0.16,1.59
0.773151,0.23,-0.19,1.57
0.775541,0.23,-0.22,1.56
0.777957,0.24,-0.24,1.54
0.785570,0.25,-0.27,1.52
0.786321,0.25,-0.30,1.50
0.787412,0.26,-0.34,1.47
0.787893,0.26,-0.37,1.45
0.789822,0.27,-0.40,1.43
0.792206,0.27,-0.44,1.41
0.794718,0.28,-0.48,1.38
0.800962,0.28,-0.52,1.36
0.801453,0.29,-0.56,1.34
0.803796,0.30,-0.59,1.31
0.804044,0.30,-0.63,1.29
0.806016,0.31,-0.66,1.26
0.808493,0.31,-0.69,1.23
0.811371,0.32,-0.71,1.21
0.813518,0.32,-0.74,1.18
0.815793,0.33,-0.76,1.15
0.818310,0.33,-0.77,1.12
0.820548,0.34,-0.79,1.09
0.823091,0.34,-0.80,1.06
0.825597,0.34,-0.81,1.03
0.827604,0.35,-0.82,1.00
0.830079,0.35,-0.83,0.97
0.832478,0.35,-0.83,0.93
0.835084,0.36,-0.83,0.90
0.837126,0.36,-0.83,0.86
0.839330,0.36,-0.83,0.83
0.841715,0.36,-0.83,0.79
0.844237,0.37,-0.82,0.76
0.847158,0.37,-0.81,0.72
0.849075,0.37,-0.81,0.69
0.851699,0.38,-0.80,0.65
