time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.000790,0.6954,0.1422,0.2711,0.760
0.003498,0.7628,0.0020,0.4160,0.869
0.008205,0.7612,-0.1229,0.4746,0.905
0.012939,0.7790,-0.2113,0.4832,0.941
0.017909,0.7259,-0.2990,0.4491,0.904
0.022326,0.7021,-0.3219,0.3819,0.862
0.027189,0.6838,-0.3564,0.3031,0.829
0.031976,0.6707,-0.3668,0.2600,0.807
0.037047,0.6818,-0.3675,0.2192,0.805
0.041524,0.6955,-0.3777,0.1902,0.814
0.046229,0.7569,-0.3664,0.1851,0.861
0.050895,0.8086,-0.3100,0.1656,0.882
0.055882,0.8531,-0.1996,0.1295,0.886
0.060362,0.8974,-0.0711,0.0796,0.904
0.065309,0.8989,0.0943,0.0204,0.904
0.070331,0.9074,0.2607,-0.0622,0.946
0.075633,0.9134,0.3832,-0.1255,0.998
0.080023,0.9359,0.4525,-0.1743,1.054
0.084196,0.9867,0.4739,-0.2138,1.115
0.088738,1.0679,0.4596,-0.2247,1.184
0.093436,1.1416,0.4074,-0.2120,1.231
0.098810,1.1985,0.2775,-0.1616,1.241
0.103019,1.2223,0.1248,-0.0857,1.232
0.108068,1.2417,-0.0242,-0.0221,1.242
0.113232,1.2047,-0.1697,0.0695,1.219
0.117615,1.1756,-0.3022,0.1510,1.223
0.122007,1.1282,-0.4099,0.2177,1.220
0.126884,1.0767,-0.4930,0.2768,1.216
0.131528,1.0209,-0.5564,0.2857,1.197
0.136318,0.9939,-0.5742,0.2850,1.183
0.140938,0.9907,-0.5706,0.2394,1.168
0.145525,1.0844,-0.5526,0.1583,1.227
0.150807,1.1392,-0.5656,0.0279,1.272
0.155824,1.2411,-0.5665,-0.1279,1.370
0.159809,1.3162,-0.5815,-0.2332,1.458
0.164805,1.3815,-0.6034,-0.3049,1.538
0.169375,1.4326,-0.6369,-0.3599,1.609
0.176439,1.4578,-0.6725,-0.3887,1.652
0.179009,1.3768,-0.6721,-0.4318,1.592
0.183788,1.2639,-0.6788,-0.4629,1.507
0.188536,1.1003,-0.6808,-0.4724,1.377
0.193226,0.9363,-0.6447,-0.4748,1.232
0.198512,0.7716,-0.5615,-0.4984,1.077
0.202508,0.6013,-0.4624,-0.4910,0.904
0.207856,0.4658,-0.3641,-0.5003,0.775
0.220567,0.3428,-0.2216,-0.4810,0.631
0.221293,0.2964,-0.0612,-0.4709,0.560
0.221848,0.2687,0.0882,-0.4606,0.541
0.227186,0.2902,0.2175,-0.4619,0.587
0.231022,0.3558,0.3100,-0.4580,0.658
0.236112,0.4342,0.3424,-0.4444,0.709
0.240481,0.5443,0.3176,-0.4212,0.758
0.245506,0.6766,0.2621,-0.3839,0.821
0.250036,0.8192,0.1431,-0.2851,0.879
0.257430,0.9391,0.0321,-0.2249,0.966
0.259314,1.0938,-0.0614,-0.1031,1.100
0.264241,1.2336,-0.0878,0.0585,1.238
0.269018,1.4186,-0.1095,0.1649,1.432
