time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.002364,-0.0676,-0.0339,-0.0831,0.112
0.002745,0.0926,-0.1356,0.0589,0.174
0.002942,0.2354,-0.1866,0.1311,0.328
0.005858,0.2918,-0.2016,0.1556,0.387
0.010391,0.2979,-0.1810,0.1328,0.373
0.014645,0.2895,-0.1130,0.0912,0.324
0.019692,0.2213,-0.0291,0.0073,0.223
0.024235,0.2077,0.0281,-0.0619,0.219
0.028900,0.1773,0.0634,-0.1210,0.224
0.034050,0.1898,0.0795,-0.1466,0.253
0.038551,0.1668,0.0314,-0.1033,0.199
0.043233,0.1633,0.0051,-0.0557,0.173
0.047903,0.1318,-0.0471,-0.0182,0.141
0.052939,0.1272,-0.0917,0.0191,0.158
0.058572,0.0972,-0.1217,0.0631,0.168
0.062063,0.0774,-0.0969,0.1092,0.165
0.067141,0.0629,-0.0652,0.1243,0.154
0.071875,0.0489,-0.0361,0.1465,0.159
0.076463,0.0329,0.0307,0.1353,0.143
0.081132,0.0265,0.0804,0.0766,0.114
0.087617,0.0343,0.1107,0.0253,0.119
0.090849,0.0346,0.1336,-0.0162,0.139
0.095710,0.0204,0.1042,-0.0317,0.111
0.100235,0.0535,0.0845,-0.0330,0.105
0.104834,0.0837,0.0626,-0.0533,0.117
0.112812,0.0971,0.0030,-0.0261,0.101
0.114103,0.0915,-0.0206,0.0035,0.094
0.119303,0.0932,-0.0369,0.0092,0.101
0.124415,0.0570,-0.0554,0.0246,0.083
0.128604,0.0260,-0.0691,0.0305,0.080
0.133453,-0.0166,-0.0352,0.0104,0.040
0.138247,-0.0567,-0.0443,-0.0094,0.073
0.143457,-0.0966,-0.0201,-0.0100,0.099
0.147518,-0.1174,-0.0057,0.0013,0.118
0.152115,-0.1216,-0.0055,0.0172,0.123
0.157023,-0.0759,0.0207,0.0661,0.103
0.161727,-0.0115,0.0158,0.0910,0.093
0.166470,0.0408,0.0158,0.1087,0.117
0.171430,0.0622,0.0204,0.1025,0.122
0.175849,0.1194,0.0251,0.0726,0.142
0.180713,0.1196,0.0013,0.0452,0.128
0.185557,0.1225,0.0014,-0.0248,0.125
0.190342,0.0781,0.0110,-0.0849,0.116
0.194885,0.0936,-0.0340,-0.1280,0.162
0.199700,0.1377,-0.0454,-0.1187,0.187
0.204296,0.1175,-0.0424,-0.0575,0.138
0.209358,0.0285,-0.0395,-0.0347,0.060
0.213865,-0.0174,-0.0508,-0.0050,0.054
0.218826,-0.0609,-0.0218,0.0270,0.070
0.223852,-0.0810,-0.0167,0.0731,0.110
0.228281,-0.0895,-0.0022,0.0551,0.105
0.232702,-0.1150,-0.0021,0.0587,0.129
0.238560,-0.1289,-0.0187,0.0388,0.136
0.242379,-0.0977,-0.0209,0.0168,0.101
0.247285,-0.0858,-0.0302,-0.0216,0.093
0.251863,-0.0644,-0.0347,-0.0454,0.086
0.258302,0.0044,-0.0605,-0.0453,0.076
0.261491,0.0326,-0.0386,-0.0263,0.057
0.265970,0.0846,-0.0240,-0.0336,0.094
0.270991,0.1438,0.0024,-0.0124,0.144
0.275441,0.1436,0.0072,-0.0270,0.146
0.280530,0.1056,0.0001,-0.0011,0.106
0.285701,0.0681,0.0168,0.0081,0.071
0.289942,0.0166,0.0286,0.0124,0.035
0.294509,0.0009,0.0165,0.0072,0.018
0.299146,-0.0483,0.0093,-0.0170,0.052
0.304762,-0.0642,-0.0026,-0.0385,0.075
0.309190,-0.0828,0.0070,-0.0552,0.100
0.313440,-0.1063,-0.0239,-0.0431,0.117
0.318261,-0.1133,-0.0261,-0.0240,0.119
0.323337,-0.1204,-0.0258,0.0046,0.123
0.327703,-0.1369,-0.0019,0.0260,0.139
0.332374,-0.1414,-0.0281,0.0259,0.146
0.337583,-0.1456,0.0006,0.0282,0.148
0.342533,-0.1543,-0.0018,0.0471,0.161
0.346611,-0.1223,0.0148,0.0421,0.130
0.351253,-0.0902,0.0384,0.0418,0.107
0.357571,-0.0558,0.0310,0.0178,0.066
0.362138,-0.0191,0.0118,0.0009,0.022
0.365389,0.0032,0.0141,-0.0134,0.020
0.370540,0.0513,-0.0074,-0.0396,0.065
0.375662,0.0587,-0.0310,-0.0537,0.085
0.380064,0.0919,-0.0473,-0.0558,0.117
0.385418,0.1198,-0.0682,-0.0555,0.149
0.389197,0.1236,-0.0819,-0.0434,0.154
0.394102,0.1081,-0.0622,-0.0219,0.127
0.398853,0.0902,-0.0356,-0.0242,0.100
0.403912,0.0866,-0.0400,-0.0124,0.096
0.408529,0.0473,-0.0302,0.0042,0.056
0.413842,0.0060,-0.0086,0.0277,0.030
0.418465,-0.0254,0.0058,0.0273,0.038
0.422334,-0.0469,0.0057,0.0269,0.054
0.427555,-0.0751,0.0223,0.0669,0.103
0.431893,-0.0697,0.0340,0.0687,0.104
0.437834,-0.0760,0.0171,0.1014,0.128
0.441505,-0.0654,0.0145,0.0723,0.099
0.446268,-0.0168,0.0405,0.0386,0.058
0.451021,-0.0206,0.0639,-0.0161,0.069
0.456521,0.0088,0.0183,-0.0705,0.073
0.460938,0.0166,0.0087,-0.1152,0.117
0.465223,-0.0068,-0.0032,-0.1549,0.155
0.471091,0.0005,-0.0078,-0.1683,0.169
0.475011,-0.0186,-0.0314,-0.1319,0.137
0.479400,-0.0498,-0.0311,-0.1291,0.142
0.484429,-0.0763,-0.0403,-0.0883,0.123
0.489731,-0.0885,-0.0280,-0.0502,0.106
0.494722,-0.0866,-0.0135,-0.0149,0.089
0.498414,-0.0919,-0.0134,0.0013,0.093
0.503763,-0.0804,0.0105,0.0435,0.092
0.508140,-0.0666,0.0341,0.0594,0.096
0.512637,-0.0503,0.0600,0.0561,0.096
0.518677,-0.0291,0.0548,0.0624,0.088
0.522519,0.0135,0.0686,0.0781,0.105
0.526873,0.0822,0.0609,0.0701,0.124
0.531501,0.1221,0.0628,0.0337,0.141
0.536874,0.1428,0.0410,0.0308,0.152
0.541386,0.1326,0.0098,-0.0266,0.136
0.545977,0.1415,-0.0329,-0.0292,0.148
0.550548,0.1359,-0.0278,-0.0509,0.148
0.555296,0.1160,-0.0512,-0.0510,0.137
0.559905,0.0961,-0.0721,-0.0274,0.123
0.564621,0.0597,-0.0620,-0.0277,0.090
0.569507,0.0067,-0.0685,-0.0208,0.072
0.574190,-0.0032,-0.0655,-0.0044,0.066
0.578822,-0.0296,-0.0697,-0.0166,0.078
0.584158,-0.0439,-0.0406,-0.0025,0.060
0.590069,-0.0391,-0.0498,0.0116,0.064
0.595256,-0.0461,-0.0517,0.0255,0.074
0.598049,-0.0528,-0.0417,0.0013,0.067
0.602750,-0.0286,-0.0295,-0.0156,0.044
0.607464,0.0074,-0.0268,-0.0205,0.035
0.612214,0.0289,-0.0266,-0.0372,0.054
0.616770,0.0503,0.0069,-0.0324,0.060
0.621789,0.0691,0.0187,-0.0180,0.074
0.626471,0.0474,0.0660,-0.0251,0.085
0.631022,0.0471,0.0892,-0.0060,0.101
0.635717,0.0396,0.1027,0.0225,0.112
0.640734,0.0012,0.0971,0.0270,0.101
0.645235,-0.0109,0.0868,0.0457,0.099
0.649981,0.0032,0.0576,0.0430,0.072
0.654923,-0.0113,0.0239,0.0688,0.074
0.659998,0.0077,-0.0190,0.0495,0.054
0.664736,0.0243,-0.0260,0.0329,0.048
0.670008,0.0314,-0.0211,-0.0167,0.041
0.673695,0.0458,-0.0423,-0.0328,0.071
0.678602,0.0721,-0.0468,-0.0416,0.095
0.684602,0.0743,-0.0393,-0.0457,0.096
0.695976,0.0481,-0.0437,-0.0355,0.074
0.696510,0.0647,-0.0363,-0.0468,0.088
0.697641,0.0455,-0.0384,-0.0722,0.094
0.702415,0.0429,-0.0642,-0.0713,0.105
0.707058,0.0213,-0.0589,-0.0705,0.094
0.711765,-0.0074,-0.0585,-0.0814,0.101
0.716384,-0.0145,-0.0509,-0.0614,0.081
0.721149,-0.0168,-0.0244,-0.0558,0.063
0.726108,-0.0333,-0.0148,-0.0312,0.048
0.730568,-0.0497,0.0019,-0.0188,0.053
0.735607,-0.0423,0.0137,-0.0112,0.046
0.740454,-0.0301,0.0041,0.0035,0.031
0.744958,0.0079,0.0277,0.0276,0.040
0.749615,-0.0090,0.0345,0.0113,0.037
0.755575,-0.0044,0.0295,0.0022,0.030
0.759828,0.0098,0.0268,0.0074,0.029
0.763846,0.0190,0.0360,-0.0088,0.042
0.768594,0.0188,0.0285,0.0345,0.049
0.773957,0.0163,0.0377,0.0465,0.062
0.779156,0.0234,0.0421,0.0608,0.078
0.784027,0.0117,0.0322,0.0750,0.082
0.790061,0.0334,0.0485,0.0629,0.086
0.795269,0.0124,0.0362,0.0508,0.064
0.797136,0.0105,0.0146,0.0221,0.029
0.801981,0.0039,-0.0117,-0.0063,0.014
0.806701,0.0211,0.0098,-0.0085,0.025
0.811497,0.0095,-0.0046,-0.0343,0.036
0.815924,0.0240,-0.0093,-0.0337,0.042
0.820848,0.0359,-0.0448,-0.0546,0.079
0.825628,0.0381,-0.0326,-0.0705,0.087
0.830275,0.0379,-0.0585,-0.0745,0.102
0.834896,0.0376,-0.0390,-0.0784,0.095
0.839898,0.0064,-0.0435,-0.0586,0.073
0.844458,-0.0175,-0.0336,-0.0556,0.067
0.849819,-0.0581,-0.0025,-0.0335,0.067
0.854405,-0.0745,0.0141,-0.0236,0.079
0.858706,-0.0458,-0.0050,-0.0162,0.049
0.863599,-0.0458,-0.0169,0.0053,0.049
0.868337,-0.0432,-0.0239,0.0147,0.052
0.873300,-0.0478,-0.0450,0.0145,0.067
0.877833,-0.0308,-0.0684,0.0333,0.082
0.882626,-0.0398,-0.0512,0.0377,0.075
0.887281,-0.0368,-0.0104,0.0659,0.076
0.892723,-0.0338,-0.0056,0.0464,0.058
0.896922,-0.0189,0.0467,0.0270,0.057
0.901515,-0.0018,0.0534,0.0079,0.054
0.906203,0.0174,0.0625,-0.0184,0.067
0.910974,0.0339,0.0667,-0.0800,0.110
0.915627,0.0358,0.0330,-0.0724,0.087
0.920321,0.0494,0.0375,-0.0958,0.114
0.925286,0.0341,0.0229,-0.0952,0.104
0.929837,0.0330,-0.0176,-0.0756,0.084
