time,gFx,gFy,gFz,TgF
5.10521E-4,0.1194,0.9845,0.0579,0.993
7.08385E-4,0.1218,0.9876,0.0642,0.997
8.19375E-4,0.1221,0.9925,0.0684,1.002
0.001991562,0.1209,0.9967,0.0696,1.006
0.004226406,0.1194,0.9991,0.0686,1.009
0.006507864,0.1174,1.0001,0.0667,1.009
0.009108177,0.1155,0.9994,0.0657,1.008
0.013304062,0.1138,0.9972,0.0659,1.006
0.013679844,0.1111,0.9950,0.0667,1.003
0.016289635,0.1079,0.9933,0.0679,1.001
0.018552656,0.1047,0.9908,0.0689,0.999
0.02073651,0.1028,0.9876,0.0698,0.995
0.023282291,0.1021,0.9840,0.0720,0.992
0.025635573,0.1018,0.9806,0.0737,0.989
0.027934375,0.1018,0.9786,0.0742,0.987
0.030308698,0.1011,0.9786,0.0735,0.987
0.032616875,0.1001,0.9798,0.0732,0.988
0.036175416,0.1001,0.9823,0.0742,0.990
0.037303125,0.1001,0.9852,0.0757,0.993
0.039769062,0.0991,0.9889,0.0769,0.997
0.042138489,0.0969,0.9925,0.0784,1.000
0.044652187,0.0952,0.9952,0.0803,1.003
0.04728901,0.0945,0.9972,0.0830,1.005
0.049447083,0.0947,0.9986,0.0867,1.007
0.051934896,0.0962,0.9999,0.0903,1.009
0.054050052,0.0984,1.0003,0.0928,1.009
0.056473229,0.1001,0.9996,0.0942,1.009
0.059084948,0.1013,0.9984,0.0950,1.008
0.061950312,0.1016,0.9969,0.0952,1.007
0.063937291,0.1004,0.9960,0.0947,1.005
0.066468541,0.0974,0.9952,0.0935,1.004
0.068562344,0.0945,0.9952,0.0916,1.004
0.070554531,0.0925,0.9950,0.0894,1.003
0.072938333,0.0913,0.9942,0.0874,1.002
0.076605521,0.0913,0.9938,0.0864,1.002
0.077713802,0.0913,0.9952,0.0867,1.003
0.080257812,0.0916,0.9981,0.0867,1.006
0.08270526,0.0916,1.0025,0.0864,1.010
0.085213177,0.0921,1.0062,0.0867,1.014
0.087176666,0.0928,1.0086,0.0881,1.017
0.089623125,0.0928,1.0094,0.0901,1.018
0.091906875,0.0925,1.0084,0.0925,1.017
0.094598698,0.0923,1.0057,0.0957,1.014
0.097543698,0.0928,1.0016,0.0996,1.011
0.099540573,0.0942,0.9977,0.1050,1.008
0.101709948,0.0955,0.9950,0.1106,1.006
0.103942552,0.0972,0.9938,0.1140,1.005
0.106215156,0.0996,0.9933,0.1157,1.005
0.108452343,0.1028,0.9925,0.1162,1.005
0.110967083,0.1062,0.9918,0.1172,1.004
0.113679843,0.1087,0.9911,0.1192,1.004
0.116754531,0.1089,0.9908,0.1211,1.004
0.118168489,0.1065,0.9908,0.1216,1.004
0.120368802,0.1013,0.9911,0.1209,1.004
0.122901146,0.0933,0.9911,0.1187,1.002
0.125189479,0.0833,0.9911,0.1150,1.001
0.12783776,0.0718,0.9906,0.1104,0.999
0.130063437,0.0601,0.9896,0.1062,0.997
0.132610729,0.0488,0.9889,0.1030,0.995
0.135791666,0.0391,0.9881,0.1013,0.994
0.137461927,0.0300,0.9881,0.1008,0.994
0.139312552,0.0220,0.9886,0.1008,0.994
0.141820885,0.0149,0.9891,0.1006,0.994
0.144185364,0.0088,0.9894,0.0994,0.994
0.146623593,0.0042,0.9898,0.0969,0.995
0.148832448,0.0005,0.9908,0.0940,0.995
0.15111776,-0.0022,0.9928,0.0908,0.997
0.153466771,-0.0042,0.9955,0.0869,0.999
0.156284271,-0.0056,0.9986,0.0818,1.002
0.158159271,-0.0061,1.0023,0.0762,1.005
0.16076776,-0.0046,1.0060,0.0701,1.008
0.162897135,-0.0012,1.0086,0.0632,1.011
0.165358385,0.0039,1.0106,0.0574,1.012
0.167898229,0.0110,1.0118,0.0520,1.013
0.170366406,0.0200,1.0123,0.0471,1.014
0.172714896,0.0295,1.0111,0.0422,1.012
0.176516875,0.0386,1.0096,0.0371,1.011
0.178794114,0.0479,1.0084,0.0317,1.010
0.180423541,0.0569,1.0077,0.0264,1.010
0.182041979,0.0664,1.0077,0.0212,1.010
0.184660885,0.0759,1.0089,0.0171,1.012
0.186635781,0.0857,1.0113,0.0142,1.015
0.189225833,0.0960,1.0145,0.0112,1.019
0.191556927,0.1062,1.0167,0.0090,1.022
0.194064062,0.1162,1.0172,0.0085,1.024
0.196285156,0.1248,1.0157,0.0103,1.023
0.198576875,0.1304,1.0138,0.0137,1.022
0.20105901,0.1326,1.0116,0.0178,1.020
0.203323593,0.1311,1.0099,0.0222,1.019
0.205653906,0.1260,1.0086,0.0254,1.017
0.208108958,0.1167,1.0084,0.0273,1.016
0.210467396,0.1047,1.0082,0.0278,1.014
0.213114948,0.0913,1.0074,0.0281,1.012
0.216413593,0.0772,1.0062,0.0281,1.010
0.21781625,0.0635,1.0040,0.0288,1.006
0.219959375,0.0523,1.0021,0.0305,1.004
0.222441614,0.0435,0.9999,0.0337,1.001
0.22463375,0.0378,0.9981,0.0378,1.000
0.22703875,0.0359,0.9962,0.0435,0.998
0.229418177,0.0371,0.9942,0.0493,0.996
0.232056927,0.0396,0.9920,0.0549,0.994
0.234050156,0.0425,0.9906,0.0593,0.993
0.236685937,0.0452,0.9903,0.0625,0.993
0.238813489,0.0479,0.9916,0.0649,0.995
0.241294271,0.0510,0.9930,0.0674,0.997
0.243597343,0.0549,0.9928,0.0706,0.997
0.24598776,0.0588,0.9901,0.0742,0.995
0.248525156,0.0610,0.9850,0.0781,0.990
0.250791875,0.0606,0.9789,0.0823,0.984
0.252997552,0.0571,0.9737,0.0872,0.979
0.256587291,0.0515,0.9706,0.0933,0.976
0.258001614,0.0437,0.9703,0.0996,0.976
0.260512396,0.0335,0.9725,0.1052,0.979
0.26261151,0.0195,0.9769,0.1082,0.983
0.265390573,0.0015,0.9818,0.1079,0.988
0.267362083,-0.0208,0.9850,0.1065,0.991
0.269790677,-0.0452,0.9847,0.1072,0.992
0.272195937,-0.0718,0.9813,0.1111,0.990
0.274444323,-0.0989,0.9762,0.1160,0.988
0.276948073,-0.1243,0.9725,0.1199,0.988
0.279365156,-0.1438,0.9728,0.1221,0.991
0.281546093,-0.1553,0.9779,0.1233,0.998
0.2841675,-0.1602,0.9867,0.1240,1.007
0.286295989,-0.1594,0.9974,0.1245,1.018
0.28885,-0.1546,1.0072,0.1245,1.027
0.291103593,-0.1450,1.0138,0.1240,1.032
0.293320312,-0.1316,1.0172,0.1245,1.033
0.296437864,-0.1140,1.0184,0.1265,1.033
0.298708229,-0.0928,1.0184,0.1306,1.031
0.30046026,-0.0686,1.0177,0.1365,1.029
0.30279625,-0.0435,1.0177,0.1416,1.028
0.30571401,-0.0205,1.0191,0.1453,1.030
0.3075475,-0.0020,1.0218,0.1463,1.032
0.309952343,0.0137,1.0240,0.1445,1.034
0.312472864,0.0271,1.0245,0.1402,1.034
0.316172083,0.0413,1.0218,0.1336,1.031
0.317187083,0.0564,1.0165,0.1260,1.026
0.319442343,0.0708,1.0104,0.1189,1.020
0.321893385,0.0837,1.0052,0.1113,1.015
0.324244895,0.0955,1.0043,0.1023,1.014
0.326562395,0.1089,1.0079,0.0908,1.018
0.328892552,0.1275,1.0099,0.0813,1.021
0.331586198,0.1482,1.0096,0.0750,1.023
0.333707291,0.1660,1.0094,0.0701,1.025
0.336513958,0.1787,1.0099,0.0654,1.028
0.338381354,0.1858,1.0111,0.0608,1.030
0.341139375,0.1883,1.0130,0.0579,1.032
0.343242187,0.1890,1.0145,0.0569,1.034
0.345739114,0.1895,1.0148,0.0591,1.034
0.348042239,0.1909,1.0143,0.0628,1.034
0.350316979,0.1931,1.0143,0.0654,1.035
0.352682552,0.1961,1.0152,0.0657,1.036
0.356837708,0.1988,1.0172,0.0625,1.038
0.357443281,0.1997,1.0194,0.0552,1.040
0.359726614,0.1973,1.0218,0.0449,1.042
0.362181823,0.1909,1.0238,0.0337,1.042
0.364674323,0.1824,1.0245,0.0232,1.041
0.36694026,0.1734,1.0238,0.0154,1.038
0.369715729,0.1665,1.0223,0.0105,1.036
0.371854375,0.1619,1.0194,0.0083,1.032
0.373998698,0.1582,1.0160,0.0071,1.028
0.376495937,0.1538,1.0126,0.0056,1.024
0.379130729,0.1489,1.0096,0.0015,1.021
0.381490573,0.1455,1.0065,-0.0032,1.017
0.383553645,0.1465,1.0033,-0.0066,1.014
0.385898073,0.1531,1.0008,-0.0088,1.013
0.388251406,0.1631,1.0003,-0.0105,1.014
0.390759843,0.1765,0.9999,-0.0120,1.015
0.393267031,0.1912,0.9972,-0.0127,1.015
0.397251354,0.1970,1.0008,-0.0122,1.020
0.398320364,0.1990,1.0082,-0.0100,1.028
0.400248177,0.2017,1.0133,-0.0049,1.033
0.402534948,0.2053,1.0143,0.0020,1.035
0.405202291,0.2102,1.0111,0.0095,1.033
0.407289479,0.2168,1.0050,0.0186,1.028
0.409772395,0.2259,0.9981,0.0283,1.024
0.412167916,0.2364,0.9920,0.0381,1.021
0.414557031,0.2473,0.9872,0.0461,1.019
0.417412552,0.2593,0.9835,0.0527,1.018
0.419556614,0.2730,0.9806,0.0566,1.019
0.421946979,0.2881,0.9791,0.0584,1.022
0.423968958,0.3030,0.9803,0.0610,1.028
0.42648125,0.3128,0.9850,0.0649,1.035
0.428933958,0.3203,0.9913,0.0654,1.044
0.431183958,0.3247,0.9962,0.0620,1.050
0.433550677,0.3189,0.9994,0.0606,1.051
0.436608802,0.3035,1.0003,0.0635,1.047
0.438203281,0.2823,0.9986,0.0671,1.040
0.44073052,0.2586,0.9947,0.0654,1.030
0.442940781,0.2376,0.9903,0.0608,1.020
0.445576145,0.2234,0.9857,0.0593,1.012
0.447837239,0.2144,0.9820,0.0620,1.007
0.450191354,0.2092,0.9779,0.0657,1.002
0.452357239,0.2073,0.9740,0.0686,0.998
0.456113437,0.2078,0.9710,0.0718,0.996
0.457466354,0.2097,0.9688,0.0757,0.994
0.459708698,0.2127,0.9664,0.0784,0.993
0.462710677,0.2156,0.9657,0.0811,0.993
0.464438385,0.2195,0.9669,0.0855,0.995
0.466720677,0.2241,0.9691,0.0911,0.999
0.469033385,0.2295,0.9720,0.0955,1.003
0.471255,0.2351,0.9754,0.0982,1.008
0.473751354,0.2407,0.9796,0.1001,1.014
0.476419062,0.2461,0.9833,0.1011,1.019
0.478865156,0.2512,0.9859,0.1006,1.022
0.480934948,0.2559,0.9872,0.0991,1.025
0.483403437,0.2595,0.9867,0.0969,1.025
0.485535156,0.2615,0.9855,0.0938,1.024
0.487995781,0.2617,0.9842,0.0891,1.022
0.490180208,0.2608,0.9833,0.0835,1.021
0.492746354,0.2586,0.9842,0.0772,1.021
0.496928125,0.2554,0.9869,0.0701,1.022
0.497789479,0.2512,0.9925,0.0620,1.026
0.500033489,0.2471,1.0011,0.0537,1.033
0.502467291,0.2437,1.0118,0.0459,1.042
0.504928073,0.2410,1.0245,0.0386,1.053
0.50716026,0.2388,1.0370,0.0315,1.065
0.509502083,0.2371,1.0472,0.0256,1.074
0.512738281,0.2354,1.0546,0.0222,1.081
0.513965468,0.2332,1.0577,0.0210,1.083
0.516815833,0.2315,1.0565,0.0222,1.082
0.518616718,0.2300,1.0524,0.0259,1.078
0.521445208,0.2271,1.0487,0.0313,1.073
0.523383802,0.2222,1.0477,0.0374,1.072
0.526394375,0.2156,1.0506,0.0427,1.073
0.528122239,0.2088,1.0575,0.0459,1.079
