time,gFx,gFy,gFz,TgF
8.66666E-4,-0.0005,0.9774,-0.0671,0.980
0.0010525,0.0139,0.9842,-0.0403,0.985
0.002859114,0.0039,0.9938,-0.0303,0.994
0.004010625,-0.0230,1.0045,-0.0381,1.005
0.006162968,-0.0510,1.0077,-0.0559,1.011
0.00849677,-0.0701,1.0101,-0.0718,1.015
0.012338593,-0.0759,1.0089,-0.0801,1.015
0.013289739,-0.0769,1.0113,-0.0774,1.017
0.015745625,-0.0728,1.0113,-0.0671,1.016
0.017913593,-0.0691,1.0116,-0.0586,1.016
0.020333645,-0.0637,1.0106,-0.0535,1.014
0.022673385,-0.0603,1.0065,-0.0540,1.010
0.025333385,-0.0574,0.9991,-0.0576,1.002
0.028908125,-0.0542,0.9940,-0.0588,0.997
0.03031276,-0.0586,0.9896,-0.0554,0.993
0.032740104,-0.0613,0.9833,-0.0466,0.986
0.034837343,-0.0652,0.9850,-0.0349,0.988
0.03698302,-0.0735,0.9833,-0.0283,0.986
0.039713958,-0.0855,0.9806,-0.0283,0.985
0.041757395,-0.1006,0.9837,-0.0356,0.990
0.044129739,-0.1101,0.9859,-0.0449,0.993
0.046855989,-0.1118,0.9876,-0.0508,0.995
0.04911927,-0.1128,0.9894,-0.0544,0.997
0.051401979,-0.1148,0.9935,-0.0527,1.002
0.053773333,-0.1165,0.9935,-0.0461,1.001
0.055952395,-0.1130,0.9911,-0.0430,0.998
0.058741927,-0.1123,0.9894,-0.0413,0.997
0.062171354,-0.1077,0.9857,-0.0369,0.992
0.063936927,-0.0984,0.9781,-0.0300,0.984
0.065674739,-0.0896,0.9750,-0.0212,0.979
0.068382187,-0.0852,0.9742,-0.0186,0.978
0.071318802,-0.0857,0.9764,-0.0303,0.981
0.072969374,-0.0867,0.9855,-0.0439,0.990
0.075117083,-0.0850,0.9962,-0.0493,1.001
0.077354895,-0.0820,1.0021,-0.0505,1.007
0.079838906,-0.0806,1.0096,-0.0518,1.014
0.082143593,-0.0803,1.0167,-0.0554,1.021
0.084405624,-0.0791,1.0191,-0.0584,1.024
0.086804947,-0.0752,1.0174,-0.0606,1.022
0.08911901,-0.0715,1.0167,-0.0669,1.021
0.091782395,-0.0657,1.0206,-0.0742,1.025
0.094067552,-0.0598,1.0233,-0.0828,1.028
0.096606874,-0.0501,1.0270,-0.0916,1.032
0.098653906,-0.0435,1.0279,-0.1004,1.034
0.10101276,-0.0376,1.0304,-0.1079,1.037
0.103551041,-0.0330,1.0304,-0.1140,1.037
0.105927968,-0.0298,1.0296,-0.1113,1.036
0.112003593,-0.0281,1.0294,-0.1040,1.035
0.114807656,-0.0298,1.0282,-0.0913,1.033
0.117231979,-0.0376,1.0248,-0.0796,1.029
0.117305312,-0.0469,1.0213,-0.0735,1.025
0.117562135,-0.0581,1.0191,-0.0742,1.023
0.120303437,-0.0674,1.0184,-0.0813,1.024
0.123710156,-0.0779,1.0169,-0.0869,1.024
0.124751666,-0.0862,1.0162,-0.0874,1.024
0.127533645,-0.0925,1.0138,-0.0820,1.021
0.129800885,-0.0969,1.0101,-0.0711,1.017
0.131953802,-0.0989,1.0067,-0.0596,1.013
0.134123124,-0.0994,1.0003,-0.0452,1.006
0.136515364,-0.0955,0.9952,-0.0315,1.000
0.139574062,-0.0935,0.9925,-0.0251,0.997
0.141504531,-0.0899,0.9906,-0.0220,0.995
0.144076927,-0.0862,0.9918,-0.0210,0.996
0.145894374,-0.0828,0.9952,-0.0220,0.999
0.14882552,-0.0847,1.0001,-0.0276,1.004
0.150780833,-0.0813,1.0030,-0.0300,1.007
0.153292499,-0.0796,1.0033,-0.0313,1.007
0.15573276,-0.0945,1.0050,-0.0425,1.010
0.158517552,-0.1035,1.0008,-0.0503,1.007
0.161016093,-0.1060,0.9950,-0.0481,1.002
0.164292864,-0.1133,0.9940,-0.0520,1.002
0.165018906,-0.1157,0.9991,-0.0586,1.008
0.167980468,-0.1079,1.0038,-0.0625,1.011
0.170086927,-0.1028,1.0055,-0.0684,1.013
0.172414895,-0.0928,1.0060,-0.0781,1.013
0.174612135,-0.0818,1.0060,-0.0862,1.013
0.177650624,-0.0693,1.0072,-0.0916,1.014
0.179732708,-0.0625,1.0062,-0.0972,1.013
0.181794062,-0.0581,1.0079,-0.1006,1.015
0.184293854,-0.0542,1.0077,-0.1033,1.014
0.186460937,-0.0491,1.0099,-0.1069,1.017
