time,gFx,gFy,gFz,TgF
5.95573E-4,0.1211,1.0021,-0.0615,1.011
0.00127901,0.1211,0.9955,-0.0418,1.004
0.001453125,0.1148,0.9898,-0.0310,0.997
0.003367656,0.1033,0.9857,-0.0256,0.991
0.005682917,0.0928,0.9842,-0.0273,0.989
0.009422292,0.0872,0.9840,-0.0325,0.988
0.010426875,0.0862,0.9889,-0.0391,0.993
0.013832604,0.0881,0.9923,-0.0396,0.997
0.015273333,0.0894,1.0001,-0.0378,1.005
0.017773021,0.0913,1.0050,-0.0320,1.010
0.02033875,0.0940,1.0079,-0.0281,1.013
0.022310885,0.0962,1.0079,-0.0256,1.013
0.024717187,0.0967,1.0084,-0.0234,1.013
0.02706526,0.0972,1.0067,-0.0247,1.012
0.029569323,0.0962,1.0040,-0.0242,1.009
0.031806979,0.0955,1.0021,-0.0273,1.007
0.034287604,0.0925,1.0001,-0.0293,1.005
0.036886823,0.0916,0.9999,-0.0322,1.005
0.038909792,0.0891,0.9989,-0.0349,1.003
0.041356875,0.0847,1.0008,-0.0391,1.005
0.043589635,0.0837,1.0023,-0.0435,1.007
0.046892344,0.0816,1.0011,-0.0464,1.005
0.049088177,0.0823,1.0023,-0.0503,1.007
0.050993021,0.0813,1.0040,-0.0530,1.009
0.053256562,0.0789,1.0028,-0.0552,1.007
0.055740989,0.0801,1.0018,-0.0588,1.007
0.057792187,0.0813,0.9999,-0.0591,1.005
0.060381146,0.0816,0.9972,-0.0586,1.002
0.062839323,0.0857,0.9986,-0.0574,1.004
0.065557552,0.0869,0.9981,-0.0569,1.004
0.068644062,0.0859,0.9979,-0.0554,1.003
0.070065,0.0881,0.9984,-0.0549,1.004
0.072178073,0.0894,0.9996,-0.0549,1.005
0.074694375,0.0891,1.0023,-0.0547,1.008
0.076892448,0.0864,1.0035,-0.0552,1.009
0.079472604,0.0842,1.0016,-0.0527,1.006
0.081620677,0.0825,1.0013,-0.0508,1.006
0.084298646,0.0803,1.0013,-0.0466,1.006
0.08621026,0.0798,1.0013,-0.0425,1.005
0.08919026,0.0769,1.0038,-0.0405,1.008
0.091294479,0.0745,1.0040,-0.0393,1.008
0.093620416,0.0732,1.0030,-0.0403,1.007
0.096034948,0.0737,1.0006,-0.0432,1.004
0.098162708,0.0757,1.0008,-0.0469,1.005
0.100661614,0.0779,0.9996,-0.0479,1.004
0.103185,0.0767,0.9979,-0.0466,1.002
0.105534791,0.0754,0.9996,-0.0447,1.003
0.109263281,0.0740,1.0033,-0.0430,1.007
0.110041719,0.0711,1.0065,-0.0393,1.010
0.112945729,0.0674,1.0057,-0.0361,1.009
0.114671041,0.0671,1.0050,-0.0347,1.008
0.117367396,0.0664,1.0069,-0.0354,1.010
0.119566562,0.0667,1.0069,-0.0378,1.010
0.122073333,0.0669,1.0069,-0.0422,1.010
0.124195573,0.0640,1.0060,-0.0439,1.009
0.126769166,0.0637,1.0057,-0.0449,1.009
0.129565469,0.0618,1.0038,-0.0474,1.007
0.131387969,0.0618,1.0043,-0.0459,1.007
0.133974166,0.0625,1.0040,-0.0435,1.007
0.136294479,0.0659,1.0050,-0.0427,1.008
0.138511458,0.0676,1.0028,-0.0432,1.006
0.14107026,0.0691,1.0016,-0.0447,1.005
0.143166562,0.0723,1.0006,-0.0476,1.004
0.145954166,0.0762,1.0021,-0.0491,1.006
0.149605833,0.0774,1.0008,-0.0498,1.005
0.150993021,0.0818,1.0013,-0.0501,1.006
0.152848802,0.0845,1.0008,-0.0501,1.006
0.155023489,0.0855,0.9989,-0.0503,1.004
0.157476666,0.0908,0.9981,-0.0501,1.004
0.160064427,0.0942,0.9974,-0.0483,1.003
0.162150416,0.1008,0.9989,-0.0486,1.005
0.164815521,0.1045,1.0003,-0.0508,1.007
