time,gFx,gFy,gFz,TgF
0.001101302,0.0308,1.0067,-0.0098,1.007
0.001290625,0.0249,1.0047,-0.0088,1.005
0.002106146,0.0195,1.0030,-0.0103,1.003
0.004129844,0.0151,1.0043,-0.0090,1.004
0.009701198,0.0134,1.0050,-0.0088,1.005
0.009946042,0.0137,1.0091,-0.0078,1.009
0.011330886,0.0137,1.0133,-0.0085,1.013
0.013547396,0.0144,1.0140,-0.0068,1.014
0.016103594,0.0149,1.0148,-0.0032,1.015
0.018226354,0.0256,1.0133,0.0000,1.014
0.020666823,0.0352,1.0143,0.0063,1.015
0.022945208,0.0286,1.0150,0.0085,1.015
0.025468125,0.0156,1.0123,0.0081,1.012
0.027713958,0.0076,1.0108,0.0056,1.011
0.030384636,0.0054,1.0082,0.0063,1.008
0.032593906,0.0039,1.0038,0.0078,1.004
0.034937292,0.0012,1.0018,0.0115,1.002
0.037154688,-0.0012,1.0016,0.0164,1.002
0.039675,-0.0015,1.0021,0.0171,1.002
0.041991354,0.0015,1.0030,0.0137,1.003
0.044366354,0.0002,1.0069,0.0090,1.007
0.046767865,-0.0007,1.0113,0.0027,1.011
0.049202865,-0.0007,1.0133,0.0017,1.013
0.051593333,0.0000,1.0160,0.0022,1.016
0.053832552,0.0007,1.0157,0.0022,1.016
0.05623125,0.0002,1.0130,0.0044,1.013
0.058494531,-0.0015,1.0104,0.0044,1.010
0.060935729,-0.0027,1.0077,0.0046,1.008
0.063815,-0.0017,1.0060,0.0042,1.006
0.065876667,0.0015,1.0011,0.0032,1.001
0.068238958,0.0051,0.9960,0.0015,0.996
0.070465521,0.0105,0.9960,0.0000,0.996
0.073224479,0.0122,0.9974,-0.0012,0.997
0.075223802,0.0122,0.9991,-0.0022,0.999
0.078532136,0.0127,1.0028,-0.0039,1.003
0.08041974,0.0129,1.0040,-0.0054,1.004
0.083934011,0.0107,1.0062,-0.0083,1.006
0.084939063,0.0110,1.0079,-0.0117,1.008
0.087468021,0.0127,1.0079,-0.0125,1.008
0.08935375,0.0134,1.0084,-0.0122,1.009
0.091706354,0.0166,1.0055,-0.0115,1.006
0.094379636,0.0193,1.0038,-0.0098,1.004
0.096953958,0.0205,1.0018,-0.0083,1.002
0.099098125,0.0256,0.9996,-0.0083,1.000
0.101702448,0.0271,1.0003,-0.0107,1.001
0.103539219,0.0298,1.0035,-0.0144,1.004
0.10603,0.0322,1.0038,-0.0168,1.004
0.108223802,0.0342,1.0043,-0.0190,1.005
0.111220521,0.0337,1.0077,-0.0203,1.008
0.113101927,0.0327,1.0077,-0.0208,1.008
0.115766719,0.0298,1.0094,-0.0215,1.010
0.118156927,0.0300,1.0091,-0.0181,1.010
0.120230625,0.0315,1.0084,-0.0161,1.009
0.122703958,0.0317,1.0050,-0.0132,1.006
0.125012292,0.0310,1.0030,-0.0122,1.004
0.127176458,0.0295,1.0043,-0.0103,1.005
0.129637604,0.0300,1.0023,-0.0071,1.003
0.132007292,0.0298,0.9996,-0.0032,1.000
0.134508646,0.0281,0.9955,0.0002,0.996
0.136732396,0.0237,0.9913,0.0034,0.992
0.139699844,0.0173,0.9908,0.0054,0.991
0.141579271,0.0098,0.9925,0.0027,0.993
0.144148698,0.0024,0.9957,-0.0005,0.996
0.146377708,-0.0022,1.0006,-0.0020,1.001
0.148906823,-0.0076,1.0069,-0.0024,1.007
0.151078229,-0.0117,1.0113,-0.0007,1.011
0.153657865,-0.0151,1.0116,0.0000,1.012
0.155800886,-0.0125,1.0138,0.0049,1.014
0.158145886,-0.0081,1.0148,0.0083,1.015
0.160538542,-0.0022,1.0143,0.0088,1.014
0.162863229,0.0071,1.0148,0.0083,1.015
0.165283125,0.0132,1.0145,0.0085,1.015
0.167596146,0.0188,1.0157,0.0093,1.016
0.170018021,0.0210,1.0160,0.0105,1.016
0.172491563,0.0210,1.0150,0.0068,1.015
0.174633906,0.0176,1.0145,0.0032,1.015
0.177538594,0.0132,1.0118,-0.0012,1.012
0.180898125,0.0061,1.0099,-0.0049,1.010
0.182012761,-0.0029,1.0057,-0.0054,1.006
0.184359323,-0.0081,1.0016,-0.0039,1.002
0.186747448,-0.0120,0.9967,0.0037,0.997
0.189371771,-0.0103,0.9957,0.0122,0.996
0.191610625,-0.0090,0.9999,0.0164,1.000
0.193680573,-0.0132,1.0067,0.0156,1.007
0.196110261,-0.0125,1.0155,0.0112,1.016
0.198556667,-0.0103,1.0204,0.0044,1.020
0.201153229,-0.0042,1.0209,0.0010,1.021
0.203299167,0.0015,1.0182,0.0000,1.018
0.206187604,0.0039,1.0135,-0.0007,1.014
0.208129271,0.0049,1.0094,-0.0017,1.009
0.210455313,0.0051,1.0072,0.0010,1.007
0.212900573,0.0073,1.0030,0.0015,1.003
0.21527599,0.0093,1.0008,0.0017,1.001
0.217513854,0.0120,1.0001,0.0020,1.000
0.21981401,0.0132,1.0016,-0.0005,1.002
0.222111667,0.0181,1.0055,-0.0056,1.006
0.224407448,0.0237,1.0065,-0.0088,1.007
0.226835,0.0283,1.0069,-0.0105,1.007
0.230029531,0.0313,1.0074,-0.0117,1.008
0.231542708,0.0317,1.0062,-0.0127,1.007
0.23407849,0.0305,1.0057,-0.0137,1.006
0.236365469,0.0291,1.0023,-0.0134,1.003
0.238778438,0.0273,1.0011,-0.0122,1.002
0.241031563,0.0261,1.0018,-0.0132,1.002
0.24354375,0.0247,1.0006,-0.0120,1.001
0.2458825,0.0237,1.0016,-0.0139,1.002
0.24879625,0.0234,1.0043,-0.0171,1.005
0.25055651,0.0222,1.0045,-0.0200,1.005
0.253202552,0.0193,1.0038,-0.0205,1.004
0.255555,0.0168,1.0021,-0.0195,1.002
0.257713594,0.0168,1.0047,-0.0171,1.005
0.260042917,0.0164,1.0050,-0.0139,1.005
0.263124063,0.0159,1.0052,-0.0090,1.005
0.265479792,0.0181,1.0038,-0.0051,1.004
0.267463542,0.0203,1.0038,-0.0029,1.004
0.269854427,0.0217,1.0047,-0.0015,1.005
0.27260651,0.0251,1.0084,0.0012,1.009
0.274212292,0.0283,1.0126,0.0042,1.013
0.276760781,0.0332,1.0150,0.0049,1.016
0.279041615,0.0361,1.0169,0.0066,1.018
0.281872396,0.0391,1.0167,0.0042,1.017
0.283803281,0.0405,1.0150,0.0005,1.016
0.286190625,0.0386,1.0121,-0.0034,1.013
0.288565885,0.0366,1.0108,-0.0081,1.012
0.290998594,0.0364,1.0060,-0.0103,1.007
0.293438021,0.0359,1.0028,-0.0098,1.003
0.295936823,0.0322,1.0021,-0.0093,1.003
0.298093594,0.0300,0.9999,-0.0078,1.000
0.300721302,0.0291,1.0003,-0.0085,1.001
0.302859479,0.0286,1.0028,-0.0115,1.003
0.305437865,0.0278,1.0035,-0.0176,1.004
0.307653802,0.0264,1.0050,-0.0234,1.006
0.310205313,0.0249,1.0018,-0.0261,1.002
0.312130313,0.0273,0.9967,-0.0232,0.997
0.314625365,0.0291,0.9891,-0.0151,0.990
0.317040885,0.0195,0.9876,-0.0100,0.988
0.319389792,0.0022,0.9913,-0.0120,0.991
0.321781406,-0.0168,1.0001,-0.0173,1.000
0.324040365,-0.0339,1.0060,-0.0220,1.007
0.326422396,-0.0479,1.0094,-0.0278,1.011
0.328874375,-0.0552,1.0089,-0.0327,1.011
0.331244375,-0.0593,1.0050,-0.0347,1.007
0.333640052,-0.0620,0.9999,-0.0315,1.002
0.335929844,-0.0608,0.9913,-0.0212,0.993
0.338336719,-0.0606,0.9872,-0.0081,0.989
0.340661198,-0.0630,0.9903,0.0000,0.992
0.342984792,-0.0667,0.9947,0.0022,0.997
0.345358646,-0.0669,1.0025,-0.0015,1.005
0.348204583,-0.0654,1.0057,-0.0034,1.008
0.350424375,-0.0623,1.0116,-0.0044,1.014
0.352639792,-0.0598,1.0174,-0.0024,1.019
0.354883385,-0.0596,1.0194,0.0000,1.021
0.357435781,-0.0576,1.0191,0.0059,1.021
0.359687708,-0.0581,1.0184,0.0122,1.020
0.361996771,-0.0569,1.0150,0.0190,1.017
